Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180306,1.77700000,1.83000000,1.77700000,1.79500000,513,921,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.79500000,1.79500000
20180307,1.76000000,1.76000000,1.71000000,1.75000000,243,425,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.75000000,1.75000000
20180308,1.74600000,1.76000000,1.65000000,1.69000000,820,1386,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.69000000,1.69000000
20180309,1.68600000,1.70000000,1.65000000,1.66700000,204,340,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.66700000,1.66700000
20180312,1.74000000,1.74000000,1.61700000,1.69900000,288,489,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.69900000,1.69900000
20180313,1.68000000,1.68000000,1.63000000,1.64600000,164,270,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64600000,1.64600000
20180314,1.65800000,1.65800000,1.58000000,1.59000000,275,437,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.59000000,1.59000000
20180315,1.56300000,1.58000000,1.55000000,1.58000000,205,324,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.58000000,1.58000000
20180316,1.55000000,1.62100000,1.55000000,1.57800000,174,275,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.57800000,1.57800000
20180319,1.60000000,1.61600000,1.56500000,1.60000000,348,557,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60000000,1.60000000
20180320,1.60000000,1.60000000,1.56000000,1.56200000,83,130,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.56200000,1.56200000
20180321,1.52500000,1.56000000,1.50000000,1.51300000,466,705,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.51300000,1.51300000
20180322,1.48000000,1.52700000,1.45200000,1.50000000,470,705,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.50000000,1.50000000
