Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20031125,6.63365665,6.70397810,6.53989472,6.65709714,66516,442803,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.65709714,6.65709714
20031126,6.70397810,6.84462100,6.65709714,6.68053762,17088,114157,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.68053762,6.68053762
20031127,6.70397810,6.84462100,6.65709714,6.68053762,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",14.25000000,6.68053762
20031128,6.68053762,6.70397810,6.57271140,6.68053762,3444,23008,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.68053762,6.68053762
20031201,6.63365665,6.65240904,6.39925182,6.56333520,17956,117851,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.56333520,6.56333520
20031202,6.53989472,6.61021617,6.39925182,6.47894947,3872,25086,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.47894947,6.47894947
20031203,6.49301376,6.65709714,6.42269231,6.64303285,4710,31289,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.64303285,6.64303285
20031204,6.68053762,6.81180432,6.63834475,6.73679478,6540,44059,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.73679478,6.73679478
20031205,6.72741858,6.83993290,6.68522571,6.78836384,3324,22565,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.78836384,6.78836384
20031208,6.75085907,6.83524481,6.72741858,6.75085907,3038,20509,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.75085907,6.75085907
20031209,6.77898765,6.79774003,6.70397810,6.70397810,2154,14440,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.70397810,6.70397810
20031210,6.68053762,6.68053762,6.42269231,6.52114233,4618,30115,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.52114233,6.52114233
20031211,6.53989472,6.72741858,6.53989472,6.63365665,4738,31430,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.63365665,6.63365665
20031212,6.65709714,6.70397810,6.63365665,6.65709714,750,4993,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.65709714,6.65709714
20031215,6.65709714,6.77429955,6.64772094,6.68053762,1448,9673,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.68053762,6.68053762
20031216,6.70397810,6.70397810,6.56802330,6.69929000,924,6190,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.69929000,6.69929000
20031217,6.68053762,6.71335429,6.65709714,6.68053762,732,4890,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.68053762,6.68053762
20031218,6.65709714,6.75085907,6.63365665,6.72741858,320,2153,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.72741858,6.72741858
20031219,6.70397810,6.70397810,6.63365665,6.65709714,404,2689,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.65709714,6.65709714
20031222,6.65709714,6.65709714,6.61021617,6.61490427,206,1363,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.61490427,6.61490427
20031223,6.61490427,6.62428046,6.58677569,6.61021617,130,859,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.61021617,6.61021617
20031224,6.62428046,6.68053762,6.56333520,6.61021617,1124,7430,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.61021617,6.61021617
20031225,6.62428046,6.68053762,6.56333520,6.61021617,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",14.10000000,6.61021617
20031226,6.58677569,6.58677569,6.46957327,6.53989472,808,5284,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.53989472,6.53989472
20031229,6.56333520,6.56333520,6.39925182,6.50707805,3138,20419,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.50707805,6.50707805
20031230,6.49301376,6.50238995,6.46019708,6.48832566,566,3672,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.48832566,6.48832566
20031231,6.48832566,6.49301376,6.45082089,6.45082089,1656,10683,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.45082089,6.45082089
20040101,6.48832566,6.49301376,6.45082089,6.45082089,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.76000000,6.45082089
20040102,6.44613279,6.46957327,6.43675660,6.44613279,2544,16399,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.44613279,6.44613279
20040105,6.46957327,6.56333520,6.46957327,6.46957327,2886,18671,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.46957327,6.46957327
20040106,6.46957327,6.55864711,6.42269231,6.55864711,4266,27979,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",6.55864711,6.55864711
20040107,6.91494245,7.17278776,6.84462100,7.17278776,5702,40899,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",7.17278776,7.17278776
20040108,7.18216395,7.96976418,7.18216395,7.80568080,4472,34907,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",7.80568080,7.80568080
20040109,8.90738349,9.00114542,8.25104997,8.90738349,18624,165891,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.90738349,8.90738349
20040112,8.90738349,9.30587170,8.86050253,9.09490735,7718,70194,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.09490735,9.09490735
20040113,9.09959545,9.13241213,8.68235486,8.95895255,2214,19835,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.95895255,8.95895255
20040114,8.90738349,8.94488826,8.76674059,8.76674059,938,8223,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.76674059,8.76674059
20040115,8.71985963,8.95426446,8.68235486,8.83706204,1768,15624,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.83706204,8.83706204
20040116,8.83706204,8.93082397,8.71985963,8.76674059,1112,9749,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.76674059,8.76674059
20040119,8.83706204,8.93082397,8.71985963,8.76674059,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.70000000,8.76674059
20040120,8.86050253,8.86050253,8.79018108,8.83237395,2854,25208,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.83237395,8.83237395
20040121,8.86050253,8.89800730,8.76674059,8.86050253,1440,12759,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.86050253,8.86050253
20040122,8.86050253,8.86987872,8.79018108,8.81362156,2500,22034,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.81362156,8.81362156
20040123,8.81830966,8.87456682,8.81830966,8.85581443,292,2586,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.85581443,8.85581443
20040126,8.85581443,8.85581443,8.49483099,8.66360247,436,3777,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",8.66360247,8.66360247
