Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19931214,5.04566915,5.04566915,4.98960616,5.04566915,77173,389389,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931215,5.04566915,5.04566915,4.98960616,5.04566915,18339,92533,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931216,5.04566915,5.07370064,5.01763765,5.04566915,6247,31520,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931217,5.04566915,5.04566915,5.01763765,5.01763765,4908,24627,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.01763765,5.01763765
19931220,5.01763765,5.04566915,5.01763765,5.04566915,5461,27554,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931221,5.01763765,5.04566915,4.98960616,5.01763765,3115,15630,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.01763765,5.01763765
19931222,5.01763765,5.04566915,5.01763765,5.04566915,2750,13876,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931223,5.04566915,5.04566915,5.01763765,5.04566915,1474,7437,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931224,5.04566915,5.04566915,5.01763765,5.04566915,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",22.50000000,5.04566915
19931227,5.04566915,5.04566915,5.01763765,5.01763765,1643,8244,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.01763765,5.01763765
19931228,5.01763765,5.04566915,5.01763765,5.04566915,2836,14310,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931229,5.04566915,5.07370064,5.01763765,5.04566915,2565,12942,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931230,5.07370064,5.07370064,5.04566915,5.04566915,1539,7765,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19931231,5.04566915,5.07370064,5.01763765,5.07370064,2009,10193,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.07370064,5.07370064
19940103,5.04566915,5.07370064,5.04566915,5.04566915,3122,15753,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19940104,5.07370064,5.07370064,5.04566915,5.07370064,2365,11999,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.07370064,5.07370064
19940105,5.04566915,5.10173214,5.04566915,5.04566915,2402,12120,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19940106,5.04566915,5.07370064,5.04566915,5.04566915,1506,7599,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.04566915,5.04566915
19940107,5.07370064,5.10173214,5.04566915,5.10173214,3128,15958,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.10173214,5.10173214
19940110,5.10173214,5.18582662,5.07370064,5.15779513,4362,22498,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.15779513,5.15779513
19940111,5.12976363,5.26992111,5.12976363,5.21385812,5147,26836,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.21385812,5.21385812
19940112,5.24188961,5.24188961,5.21385812,5.21385812,3643,18994,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.21385812,5.21385812
19940113,5.21385812,5.29795260,5.21385812,5.29795260,4205,22278,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.29795260,5.29795260
19940114,5.29795260,5.32598410,5.21385812,5.26992111,4172,21986,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.26992111,5.26992111
19940117,5.29795260,5.29795260,5.24188961,5.26992111,1657,8732,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.26992111,5.26992111
19940118,5.24188961,5.29795260,5.24188961,5.29795260,3435,18198,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.29795260,5.29795260
19940119,5.26992111,5.26992111,5.24188961,5.26992111,2564,13512,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.26992111,5.26992111
19940120,5.26992111,5.29795260,5.24188961,5.29795260,2205,11682,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.29795260,5.29795260
19940121,5.26992111,5.32598410,5.24188961,5.29795260,2529,13399,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.29795260,5.29795260
19940124,5.26992111,5.29795260,5.24188961,5.24188961,3629,19023,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.24188961,5.24188961
19940125,5.21385812,5.29795260,5.21385812,5.29795260,2674,14167,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.29795260,5.29795260
19940126,5.32598410,5.43811008,5.32598410,5.38204709,8529,45903,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38204709,5.38204709
