Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20151119,11.20000000,14.78000000,9.00000000,13.07000000,474661,6203819,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.07000000,13.07000000
20151120,13.92000000,14.05000000,12.50000000,12.85000000,165503,2126714,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.85000000,12.85000000
20151123,13.00000000,13.15000000,12.10000000,12.12000000,51722,626871,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.12000000,12.12000000
20151124,12.00000000,12.23000000,11.52000000,12.02000000,47147,566707,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.02000000,12.02000000
20151125,12.12000000,12.40000000,11.85000000,11.90000000,35834,426425,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.90000000,11.90000000
20151126,12.12000000,12.40000000,11.85000000,11.90000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.90000000,11.90000000
20151127,12.05000000,12.31000000,11.90000000,12.05000000,9423,113547,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.05000000,12.05000000
20151130,12.28000000,12.35000000,11.90000000,12.04000000,19971,240451,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.04000000,12.04000000
20151201,12.12000000,12.18000000,11.89000000,11.91000000,12561,149602,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.91000000,11.91000000
20151202,11.97000000,12.15500000,11.90000000,11.93000000,17081,203776,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.93000000,11.93000000
20151203,12.04000000,12.25000000,11.91000000,11.92000000,14314,170623,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.92000000,11.92000000
20151204,11.95000000,12.04000000,11.80000000,12.04000000,13316,160325,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.04000000,12.04000000
20151207,12.14000000,12.60000000,12.10000000,12.36000000,26604,328825,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.36000000,12.36000000
20151208,12.36000000,12.44000000,12.03000000,12.12000000,10477,126981,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.12000000,12.12000000
20151209,12.00000000,12.24000000,11.90000000,11.99000000,10757,128976,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.99000000,11.99000000
20151210,12.00000000,12.13000000,11.91000000,12.05000000,7113,85712,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.05000000,12.05000000
20151211,12.00000000,12.02000000,11.90000000,11.95000000,8825,105459,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.95000000,11.95000000
