Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19891116,2.13288739,2.14621794,2.13288739,2.13288739,14,30,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.13288739,2.13288739
19891117,2.13288739,2.13288739,2.13288739,2.13288739,6,13,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.13288739,2.13288739
19891120,2.13288739,2.13288739,2.13288739,2.13288739,4,9,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.13288739,2.13288739
19891121,2.13288739,2.14621794,2.11955685,2.11955685,2,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.11955685,2.11955685
19891122,2.11955685,2.13288739,2.11955685,2.11955685,8,17,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.11955685,2.11955685
19891123,2.11955685,2.13288739,2.11955685,2.11955685,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",19.87500000,2.11955685
19891124,2.09289575,2.09289575,2.09289575,2.09289575,1,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.09289575,2.09289575
19891127,2.09289575,2.09289575,2.09289575,2.09289575,2,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.09289575,2.09289575
19891128,2.09289575,2.09289575,2.09289575,2.09289575,1,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.09289575,2.09289575
19891129,2.09289575,2.11955685,2.09289575,2.10622630,13,27,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.10622630,2.10622630
19891130,2.10622630,2.10622630,2.09289575,2.09289575,2,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.09289575,2.09289575
19891201,2.07956521,2.07956521,2.06623466,2.06623466,3,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.06623466,2.06623466
19891204,2.05290412,2.05290412,2.05290412,2.05290412,2,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.05290412,2.05290412
19891205,2.03957357,2.03957357,2.02624302,2.02624302,4,8,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.02624302,2.02624302
19891206,2.02624302,2.03957357,2.01291248,2.02624302,5,10,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.02624302,2.02624302
19891207,1.99958193,1.99958193,1.97292084,1.97292084,6,12,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.97292084,1.97292084
19891208,1.95959029,1.95959029,1.94625975,1.94625975,3,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.94625975,1.94625975
19891211,1.94625975,1.94625975,1.94625975,1.94625975,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.94625975,1.94625975
19891212,1.95959029,1.95959029,1.95959029,1.95959029,1,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.95959029,1.95959029
19891213,1.95959029,1.95959029,1.95959029,1.95959029,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.95959029,1.95959029
19891214,1.94625975,1.94625975,1.93292920,1.93292920,1,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.93292920,1.93292920
19891215,1.91959865,1.91959865,1.91959865,1.91959865,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.91959865,1.91959865
