Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100331,94.85279731,95.96871257,90.01716451,93.43930464,2962,276767,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.43930464,93.43930464
20100401,94.70400861,94.70400861,92.84414984,93.36491029,747,69744,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.36491029,93.36491029
20100402,94.70400861,94.70400861,92.84414984,93.36491029,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",12.55000000,93.36491029
20100405,94.10885380,94.10885380,92.99293854,93.06733289,209,19451,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.06733289,93.06733289
20100406,93.06733289,93.06733289,90.76110801,91.28186847,298,27202,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",91.28186847,91.28186847
20100407,91.13307977,92.84414984,90.90989672,92.54657243,373,34520,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",92.54657243,92.54657243
20100408,92.54657243,92.54657243,91.13307977,91.43065717,97,8869,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",91.43065717,91.43065717
20100409,91.13307977,92.54657243,90.38913626,91.87702328,594,54575,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",91.87702328,91.87702328
20100412,92.47217808,95.22476906,90.76110801,92.76975549,398,36922,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",92.76975549,92.76975549
20100413,92.76975549,94.25764250,91.50505152,93.73688205,214,20060,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.73688205,93.73688205
20100414,93.43930464,94.40643120,93.14172724,94.40643120,136,12839,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",94.40643120,94.40643120
20100415,94.18324815,95.59674082,93.81127640,95.52234647,203,19391,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",95.52234647,95.52234647
20100416,92.24899503,95.52234647,90.24034756,95.37355777,103,9823,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",95.37355777,95.37355777
20100419,95.07598036,95.07598036,92.99293854,93.21612159,143,13330,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.21612159,93.21612159
20100420,91.87702328,94.85279731,91.87702328,94.70400861,183,17331,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",94.70400861,94.70400861
20100421,94.77840296,95.52234647,93.06733289,94.92719166,135,12815,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",94.92719166,94.92719166
20100422,94.10885380,95.00158601,93.73688205,94.77840296,52,4928,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",94.77840296,94.77840296
20100423,94.33203685,94.77840296,92.99293854,93.36491029,201,18766,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.36491029,93.36491029
20100426,93.06733289,94.10885380,92.99293854,93.58809335,152,14225,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.58809335,93.58809335
20100427,93.14172724,94.48082556,91.95141763,93.06733289,549,51094,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",93.06733289,93.06733289
