Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20020717,12.98835289,12.98835289,12.98835289,12.98835289,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.98835289,12.98835289
20020718,12.98835289,12.98835289,12.98835289,12.98835289,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.98835289,12.98835289
20020719,12.98835289,12.98835289,12.98835289,12.98835289,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.98835289,12.98835289
20020722,12.52448315,12.52448315,12.17658084,12.40851571,70,869,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.40851571,12.40851571
20020723,12.40851571,12.40851571,11.73126588,11.73126588,22,258,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",11.73126588,11.73126588
20020724,12.06061340,12.06061340,12.06061340,12.06061340,10,121,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.06061340,12.06061340
20020725,12.01422643,12.98835289,12.01422643,12.98835289,16,208,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.98835289,12.98835289
20020726,12.75641802,12.75641802,12.64972798,12.64972798,4,51,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.64972798,12.64972798
20020729,12.75641802,13.42902915,12.75641802,13.42902915,32,430,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.42902915,13.42902915
20020730,13.49860961,13.49860961,13.45222264,13.45222264,4,54,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.45222264,13.45222264
20020731,13.67951882,13.67951882,13.42902915,13.42902915,14,188,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.42902915,13.42902915
20020801,13.22028777,13.22028777,12.98835289,13.06721075,24,314,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.06721075,13.06721075
20020802,13.08112684,13.26667474,12.91877243,12.96515941,284,3682,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.96515941,12.96515941
20020805,13.03473987,13.38264218,13.03473987,13.17390079,28,369,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.17390079,13.17390079
20020806,13.33625520,13.75373797,13.33625520,13.47077743,38,512,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.47077743,13.47077743
20020807,13.56819008,13.67024142,13.26667474,13.61457705,164,2233,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.61457705,13.61457705
20020808,13.66096403,14.20369163,13.66096403,14.07844680,28,394,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",14.07844680,14.07844680
20020809,13.84651192,14.00886634,13.84651192,14.00886634,16,224,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",14.00886634,14.00886634
20020812,13.91609239,13.96711806,13.75373797,13.96711806,44,615,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.96711806,13.96711806
20020813,14.10164028,14.19441423,13.93000848,13.93000848,18,251,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.93000848,13.93000848
20020814,13.80012495,13.91609239,13.49860961,13.58210617,40,543,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.58210617,13.58210617
20020815,13.45222264,13.45222264,13.45222264,13.45222264,6,81,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.45222264,13.45222264
20020816,13.68415751,13.77693146,13.68415751,13.77693146,10,138,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.77693146,13.77693146
20020819,13.77693146,13.77693146,13.77693146,13.77693146,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.77693146,13.77693146
20020820,13.77693146,13.77693146,13.77693146,13.77693146,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.77693146,13.77693146
20020821,13.49860961,13.49860961,13.49860961,13.49860961,2,27,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.49860961,13.49860961
20020822,13.63777054,13.63777054,13.38264218,13.38264218,18,241,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.38264218,13.38264218
20020823,13.22028777,13.26667474,13.15070730,13.26667474,16,212,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.26667474,13.26667474
20020826,13.26667474,13.26667474,13.26667474,13.26667474,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.26667474,13.26667474
20020827,13.33161651,13.33161651,12.84919197,12.84919197,24,308,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.84919197,12.84919197
20020828,12.59406361,12.59406361,12.52448315,12.52448315,12,150,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.52448315,12.52448315
20020829,12.89557894,12.98835289,12.71930844,12.98835289,46,597,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.98835289,12.98835289
20020830,13.22028777,13.22028777,13.22028777,13.22028777,2,26,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.22028777,13.22028777
20020902,13.22028777,13.22028777,13.22028777,13.22028777,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",28.50000000,13.22028777
20020903,12.98835289,12.98835289,12.70539235,12.70539235,8,102,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.70539235,12.70539235
20020904,12.75641802,12.89557894,12.75641802,12.89557894,18,232,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.89557894,12.89557894
20020905,12.89557894,12.89557894,12.89557894,12.89557894,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.89557894,12.89557894
20020906,12.89557894,12.89557894,12.89557894,12.89557894,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",12.89557894,12.89557894
20020909,12.99299159,13.33161651,12.99299159,13.10432033,18,236,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.10432033,13.10432033
20020910,12.99299159,13.41047436,12.99299159,13.41047436,28,375,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.41047436,13.41047436
20020911,13.44758394,13.45222264,13.44758394,13.45222264,12,161,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.45222264,13.45222264
20020912,13.38264218,13.38264218,13.33625520,13.33625520,12,160,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.33625520,13.33625520
20020913,13.19709428,13.54499659,13.19709428,13.54499659,18,244,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.54499659,13.54499659
20020916,13.38264218,13.54499659,13.38264218,13.54499659,22,298,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.54499659,13.54499659
20020917,13.56819008,13.93928587,13.56819008,13.56819008,64,868,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.56819008,13.56819008
20020918,13.35480999,13.35480999,13.35480999,13.35480999,6,80,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.35480999,13.35480999
20020919,13.26667474,13.31306172,13.26667474,13.31306172,24,320,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.31306172,13.31306172
20020920,13.22028777,13.22028777,13.22028777,13.22028777,2,26,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",13.22028777,13.22028777
20020923,12.52448315,12.52448315,11.00762908,11.24884135,122,1372,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",11.24884135,11.24884135
20020924,11.01690647,11.17926088,10.66900416,11.17926088,16,179,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",11.17926088,11.17926088
20020925,11.36017008,11.77765286,11.36017008,11.77765286,28,330,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",11.77765286,11.77765286
