Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19931209,3.43206378,3.60260111,3.43206378,3.45338095,16006,55275,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.45338095,3.45338095
19931210,3.45338095,3.45338095,3.43206378,3.43206378,1947,6682,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.43206378,3.43206378
19931213,3.43206378,3.45338095,3.41074662,3.43206378,890,3055,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.43206378,3.43206378
19931214,3.41074662,3.43206378,3.41074662,3.41074662,1070,3649,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.41074662,3.41074662
19931215,3.41074662,3.43206378,3.41074662,3.41074662,482,1644,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.41074662,3.41074662
19931216,3.43206378,3.49601528,3.41074662,3.49601528,920,3216,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.49601528,3.49601528
19931217,3.47469811,3.49601528,3.45338095,3.45338095,330,1140,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.45338095,3.45338095
19931220,3.43206378,3.45338095,3.43206378,3.43206378,294,1009,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.43206378,3.43206378
19931221,3.45338095,3.47469811,3.43206378,3.43206378,678,2327,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.43206378,3.43206378
19931222,3.45338095,3.49601528,3.45338095,3.49601528,315,1101,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.49601528,3.49601528
19931223,3.49601528,3.49601528,3.43206378,3.45338095,88,304,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.45338095,3.45338095
19931224,3.49601528,3.49601528,3.43206378,3.45338095,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",20.25000000,3.45338095
19931227,3.42376538,3.48796098,3.42376538,3.46656244,55,191,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.46656244,3.46656244
19931228,3.46656244,3.48796098,3.44516391,3.44516391,93,320,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.44516391,3.44516391
19931229,3.46656244,3.46656244,3.46656244,3.46656244,61,211,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.46656244,3.46656244
19931230,3.46656244,3.46656244,3.46656244,3.46656244,84,291,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.46656244,3.46656244
19931231,3.46656244,3.46656244,3.44516391,3.44516391,30,103,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.44516391,3.44516391
