Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.25996205,0.27673379,0.25157617,0.26834792,279,75,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.26834792,0.26834792
19800804,0.27673379,0.27673379,0.27673379,0.27673379,53,15,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800805,0.27673379,0.27673379,0.26834792,0.26834792,249,67,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.26834792,0.26834792
19800806,0.26834792,0.28511966,0.26834792,0.28511966,438,125,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.28511966,0.28511966
19800807,0.28511966,0.29350554,0.27673379,0.27673379,294,81,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800808,0.27673379,0.29350554,0.27673379,0.27673379,302,84,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800811,0.27673379,0.28511966,0.27673379,0.27673379,528,146,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800812,0.27673379,0.29350554,0.26834792,0.26834792,989,265,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.26834792,0.26834792
19800813,0.26834792,0.28511966,0.26834792,0.27673379,377,104,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800814,0.28511966,0.30189141,0.28511966,0.28511966,951,271,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.28511966,0.28511966
19800815,0.28511966,0.29350554,0.27673379,0.27673379,393,109,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800818,0.27673379,0.27673379,0.26834792,0.27673379,408,113,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.27673379,0.27673379
19800819,0.27673379,0.36059252,0.26834792,0.36059252,1683,607,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36059252,0.36059252
19800820,0.36059252,0.36059252,0.31866315,0.35220664,3020,1064,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.35220664,0.35220664
19800821,0.34382077,0.34382077,0.33543490,0.34382077,642,221,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.34382077,0.34382077
19800822,0.34382077,0.35220664,0.32704903,0.33543490,544,182,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.33543490,0.33543490
19800825,0.34382077,0.35220664,0.34382077,0.35220664,921,324,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.35220664,0.35220664
19800826,0.35220664,0.35220664,0.33543490,0.33543490,234,78,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.33543490,0.33543490
19800827,0.33543490,0.34382077,0.33543490,0.34382077,242,83,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.34382077,0.34382077
19800828,0.34382077,0.34382077,0.33543490,0.33543490,332,111,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.33543490,0.33543490
19800829,0.33543490,0.34382077,0.32704903,0.33543490,544,182,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.33543490,0.33543490
19800901,0.33543490,0.34382077,0.32704903,0.33543490,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",5.00000000,0.33543490
19800902,0.33543490,0.36059252,0.33543490,0.36059252,370,133,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36059252,0.36059252
19800903,0.36059252,0.36897839,0.35220664,0.36059252,453,163,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36059252,0.36059252
19800904,0.36059252,0.36897839,0.36059252,0.36897839,521,192,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36897839,0.36897839
19800905,0.36897839,0.37736426,0.36059252,0.37736426,408,154,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.37736426,0.37736426
19800908,0.37736426,0.37736426,0.36059252,0.36897839,664,245,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36897839,0.36897839
19800909,0.36897839,0.37736426,0.36059252,0.37736426,762,288,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.37736426,0.37736426
19800910,0.39413601,0.43606537,0.39413601,0.41929362,3042,1275,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.41929362,0.41929362
19800911,0.41929362,0.44445124,0.41929362,0.43606537,438,191,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.43606537,0.43606537
19800912,0.43606537,0.43606537,0.41929362,0.42767950,823,352,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.42767950,0.42767950
19800915,0.41929362,0.41929362,0.40252188,0.41929362,377,158,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.41929362,0.41929362
19800916,0.42767950,0.45283711,0.42767950,0.43606537,1132,494,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.43606537,0.43606537
19800917,0.43606537,0.44445124,0.41090775,0.41090775,264,108,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.41090775,0.41090775
19800918,0.41090775,0.42767950,0.40252188,0.42767950,702,300,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.42767950,0.42767950
19800919,0.42767950,0.42767950,0.41090775,0.42767950,159,68,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.42767950,0.42767950
19800922,0.42767950,0.42767950,0.41090775,0.41929362,423,177,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.41929362,0.41929362
19800923,0.41090775,0.41090775,0.40252188,0.40252188,362,146,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.40252188,0.40252188
19800924,0.40252188,0.40252188,0.36897839,0.36897839,717,265,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",0.36897839,0.36897839
