Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19941216,8.91666667,9.08333333,8.66666667,9.08333333,15884,144280,N/A,N/A,0,0,"NYSE","","","Common Stock",9.08333333,9.08333333
19941219,9.08333333,9.08333333,8.83333333,9.08333333,1512,13734,N/A,N/A,0,0,"NYSE","","","Common Stock",9.08333333,9.08333333
19941220,9.08333333,9.08333333,8.83333333,9.00000000,5606,50454,N/A,N/A,0,0,"NYSE","","","Common Stock",9.00000000,9.00000000
19941221,9.08333333,9.08333333,8.91666667,9.00000000,3219,28971,N/A,N/A,0,0,"NYSE","","","Common Stock",9.00000000,9.00000000
19941222,9.08333333,9.08333333,8.91666667,9.08333333,153,1390,N/A,N/A,0,0,"NYSE","","","Common Stock",9.08333333,9.08333333
19941223,9.08333333,9.08333333,8.91666667,9.00000000,96,864,N/A,N/A,0,0,"NYSE","","","Common Stock",9.00000000,9.00000000
19941226,9.08333333,9.08333333,8.91666667,9.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.50000000,9.00000000
19941227,8.95833333,9.08333333,8.83333333,8.83333333,1074,9487,N/A,N/A,0,0,"NYSE","","","Common Stock",8.83333333,8.83333333
19941228,9.08333333,9.08333333,8.83333333,8.83333333,1779,15714,N/A,N/A,0,0,"NYSE","","","Common Stock",8.83333333,8.83333333
19941229,9.08333333,9.08333333,8.91666667,9.00000000,71,639,N/A,N/A,0,0,"NYSE","","","Common Stock",9.00000000,9.00000000
19941230,9.08333333,9.08333333,9.00000000,9.08333333,197,1789,N/A,N/A,0,0,"NYSE","","","Common Stock",9.08333333,9.08333333
19950102,9.08333333,9.08333333,9.00000000,9.08333333,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.62500000,9.08333333
19950103,9.08333333,9.08333333,8.83333333,8.95833333,602,5393,N/A,N/A,0,0,"NYSE","","","Common Stock",8.95833333,8.95833333
19950104,9.08333333,9.08333333,8.83333333,8.91666667,675,6019,N/A,N/A,0,0,"NYSE","","","Common Stock",8.91666667,8.91666667
19950105,9.00000000,9.08333333,8.83333333,8.83333333,2448,21624,N/A,N/A,0,0,"NYSE","","","Common Stock",8.83333333,8.83333333
19950106,9.00000000,9.08333333,8.91666667,9.08333333,185,1680,N/A,N/A,0,0,"NYSE","","","Common Stock",9.08333333,9.08333333
19950109,9.08333333,9.50000000,9.00000000,9.41666667,4292,40416,N/A,N/A,0,0,"NYSE","","","Common Stock",9.41666667,9.41666667
19950110,9.50000000,10.33333333,9.33333333,10.00000000,3047,30470,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
19950111,10.00000000,10.41666667,9.83333333,10.33333333,2475,25575,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950112,10.33333333,10.58333333,10.16666667,10.50000000,1635,17168,N/A,N/A,0,0,"NYSE","","","Common Stock",10.50000000,10.50000000
19950113,10.25000000,11.08333333,10.25000000,11.00000000,1950,21450,N/A,N/A,0,0,"NYSE","","","Common Stock",11.00000000,11.00000000
19950116,11.33333333,11.83333333,11.08333333,11.33333333,6380,72307,N/A,N/A,0,0,"NYSE","","","Common Stock",11.33333333,11.33333333
19950117,11.00000000,11.33333333,10.25000000,10.41666667,1904,19833,N/A,N/A,0,0,"NYSE","","","Common Stock",10.41666667,10.41666667
19950118,10.50000000,10.58333333,10.25000000,10.58333333,474,5016,N/A,N/A,0,0,"NYSE","","","Common Stock",10.58333333,10.58333333
19950119,10.75000000,10.75000000,10.33333333,10.33333333,195,2015,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950120,10.33333333,10.33333333,10.00000000,10.33333333,380,3927,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950123,10.33333333,10.33333333,10.08333333,10.33333333,29,300,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950124,10.25000000,10.33333333,10.08333333,10.33333333,45,465,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950125,10.33333333,10.33333333,10.33333333,10.33333333,14,145,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33333333,10.33333333
19950126,10.08333333,10.33333333,10.08333333,10.08333333,75,756,N/A,N/A,0,0,"NYSE","","","Common Stock",10.08333333,10.08333333
19950127,10.08333333,10.16666667,10.08333333,10.08333333,314,3166,N/A,N/A,0,0,"NYSE","","","Common Stock",10.08333333,10.08333333
19950130,10.33333333,10.33333333,10.08333333,10.12500000,399,4040,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12500000,10.12500000
19950131,10.08333333,10.33333333,10.08333333,10.08333333,35,353,N/A,N/A,0,0,"NYSE","","","Common Stock",10.08333333,10.08333333
19950201,10.08333333,10.16666667,9.54166667,9.58333333,1512,14490,N/A,N/A,0,0,"NYSE","","","Common Stock",9.58333333,9.58333333
19950202,9.58333333,9.83333333,9.58333333,9.66666667,849,8207,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66666667,9.66666667
19950203,9.83333333,9.83333333,9.58333333,9.70833333,93,903,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70833333,9.70833333
19950206,9.83333333,9.83333333,9.58333333,9.58333333,227,2175,N/A,N/A,0,0,"NYSE","","","Common Stock",9.58333333,9.58333333
19950207,9.58333333,9.66666667,9.16666667,9.16666667,192,1760,N/A,N/A,0,0,"NYSE","","","Common Stock",9.16666667,9.16666667
19950208,9.16666667,9.50000000,8.83333333,9.16666667,288,2640,N/A,N/A,0,0,"NYSE","","","Common Stock",9.16666667,9.16666667
19950209,9.16666667,9.41666667,9.16666667,9.41666667,468,4407,N/A,N/A,0,0,"NYSE","","","Common Stock",9.41666667,9.41666667
19950210,9.41666667,9.75000000,9.25000000,9.66666667,501,4843,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66666667,9.66666667
19950213,9.75000000,9.75000000,9.33333333,9.50000000,99,941,N/A,N/A,0,0,"NYSE","","","Common Stock",9.50000000,9.50000000
19950214,9.50000000,9.50000000,9.25000000,9.41666667,242,2279,N/A,N/A,0,0,"NYSE","","","Common Stock",9.41666667,9.41666667
19950215,9.41666667,9.41666667,9.33333333,9.33333333,20,187,N/A,N/A,0,0,"NYSE","","","Common Stock",9.33333333,9.33333333
19950216,9.41666667,9.41666667,9.29166667,9.29166667,683,6346,N/A,N/A,0,0,"NYSE","","","Common Stock",9.29166667,9.29166667
19950217,9.41666667,9.66666667,9.16666667,9.25000000,5481,50699,N/A,N/A,0,0,"NYSE","","","Common Stock",9.25000000,9.25000000
19950220,9.41666667,9.66666667,9.16666667,9.25000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.87500000,9.25000000
19950221,9.33333333,9.41666667,9.33333333,9.41666667,188,1770,N/A,N/A,0,0,"NYSE","","","Common Stock",9.41666667,9.41666667
19950222,9.41666667,9.75000000,9.41666667,9.75000000,264,2574,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
19950223,9.91666667,10.16666667,9.66666667,10.08333333,495,4991,N/A,N/A,0,0,"NYSE","","","Common Stock",10.08333333,10.08333333
