Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19911011,1.56076936,1.69565067,1.56076936,1.65711315,6077,10070,N/A,N/A,0,0,"NYSE","","","Common Stock",1.65711315,1.65711315
19911014,1.65711315,1.69565067,1.58003812,1.65711315,1453,2408,N/A,N/A,0,0,"NYSE","","","Common Stock",1.65711315,1.65711315
19911015,1.59930688,1.65711315,1.59930688,1.61857564,630,1020,N/A,N/A,0,0,"NYSE","","","Common Stock",1.61857564,1.61857564
19911016,1.61857564,1.65711315,1.59930688,1.61857564,540,874,N/A,N/A,0,0,"NYSE","","","Common Stock",1.61857564,1.61857564
19911017,1.61857564,1.69565067,1.61857564,1.65711315,1474,2443,N/A,N/A,0,0,"NYSE","","","Common Stock",1.65711315,1.65711315
19911018,1.67638191,1.67638191,1.63784440,1.65711315,761,1261,N/A,N/A,0,0,"NYSE","","","Common Stock",1.65711315,1.65711315
19911021,1.65711315,1.67638191,1.63784440,1.63784440,834,1366,N/A,N/A,0,0,"NYSE","","","Common Stock",1.63784440,1.63784440
19911022,1.63784440,1.67638191,1.63784440,1.67638191,1397,2342,N/A,N/A,0,0,"NYSE","","","Common Stock",1.67638191,1.67638191
19911023,1.63784440,1.67638191,1.63784440,1.63784440,526,862,N/A,N/A,0,0,"NYSE","","","Common Stock",1.63784440,1.63784440
19911024,1.63784440,1.65711315,1.63784440,1.65711315,1221,2023,N/A,N/A,0,0,"NYSE","","","Common Stock",1.65711315,1.65711315
19911025,1.63784440,1.67638191,1.63784440,1.67638191,1079,1809,N/A,N/A,0,0,"NYSE","","","Common Stock",1.67638191,1.67638191
19911028,1.63784440,1.67638191,1.63784440,1.63784440,159,260,N/A,N/A,0,0,"NYSE","","","Common Stock",1.63784440,1.63784440
19911029,1.65711315,1.65711315,1.58003812,1.63784440,491,804,N/A,N/A,0,0,"NYSE","","","Common Stock",1.63784440,1.63784440
19911030,1.56076936,1.61857564,1.54150061,1.56076936,937,1462,N/A,N/A,0,0,"NYSE","","","Common Stock",1.56076936,1.56076936
19911031,1.59930688,1.63784440,1.58003812,1.63784440,176,288,N/A,N/A,0,0,"NYSE","","","Common Stock",1.63784440,1.63784440
19911101,1.63784440,1.63784440,1.56076936,1.59930688,1384,2213,N/A,N/A,0,0,"NYSE","","","Common Stock",1.59930688,1.59930688
19911104,1.61857564,1.61857564,1.58003812,1.61857564,796,1288,N/A,N/A,0,0,"NYSE","","","Common Stock",1.61857564,1.61857564
19911105,1.58003812,1.61857564,1.58003812,1.58003812,1055,1667,N/A,N/A,0,0,"NYSE","","","Common Stock",1.58003812,1.58003812
19911106,1.58003812,1.61857564,1.56076936,1.56076936,574,896,N/A,N/A,0,0,"NYSE","","","Common Stock",1.56076936,1.56076936
19911107,1.56076936,1.58003812,1.56076936,1.56076936,495,773,N/A,N/A,0,0,"NYSE","","","Common Stock",1.56076936,1.56076936
