Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.11029943,0.11156724,0.11029943,0.11029943,8262,911,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11029943,0.11029943
19800804,0.11093334,0.11220115,0.11093334,0.11093334,4860,539,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11093334,0.11093334
19800805,0.11093334,0.11220115,0.11093334,0.11093334,6318,701,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11093334,0.11093334
19800806,0.11093334,0.11220115,0.11093334,0.11093334,3078,341,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11093334,0.11093334
19800807,0.11346896,0.11473677,0.11346896,0.11346896,14256,1618,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11346896,0.11346896
19800808,0.11663848,0.11854020,0.11663848,0.11663848,15228,1776,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800811,0.12297753,0.12424534,0.12297753,0.12297753,22032,2709,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12297753,0.12297753
19800812,0.12297753,0.12297753,0.12170972,0.12170972,14742,1794,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12170972,0.12170972
19800813,0.11854020,0.11854020,0.11790629,0.11790629,15390,1815,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11790629,0.11790629
19800814,0.11790629,0.11790629,0.11663848,0.11663848,4536,529,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800815,0.11663848,0.11790629,0.11663848,0.11663848,10044,1172,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800818,0.11663848,0.11727239,0.11600458,0.11600458,5346,620,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11600458,0.11600458
19800819,0.11663848,0.11727239,0.11663848,0.11663848,5670,661,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800820,0.11663848,0.11790629,0.11663848,0.11663848,7452,869,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800821,0.11727239,0.11790629,0.11727239,0.11727239,5346,627,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11727239,0.11727239
19800822,0.11727239,0.11854020,0.11663848,0.11663848,2430,283,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11663848,0.11663848
19800825,0.11727239,0.11854020,0.11727239,0.11727239,5508,646,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11727239,0.11727239
19800826,0.11727239,0.11790629,0.11727239,0.11727239,3078,361,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11727239,0.11727239
19800827,0.11029943,0.11029943,0.10903163,0.10903163,23166,2526,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.10903163,0.10903163
19800828,0.10839772,0.10839772,0.10776382,0.10776382,27054,2915,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.10776382,0.10776382
19800829,0.10776382,0.10903163,0.10712991,0.10712991,8910,955,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.10712991,0.10712991
19800901,0.10776382,0.10903163,0.10712991,0.10712991,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",21.12500000,0.10712991
19800902,0.10839772,0.10966553,0.10839772,0.10839772,1620,176,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.10839772,0.10839772
19800903,0.10903163,0.11029943,0.10903163,0.10903163,2106,230,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.10903163,0.10903163
19800904,0.11093334,0.11220115,0.11093334,0.11093334,16524,1833,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11093334,0.11093334
19800905,0.11093334,0.11220115,0.11093334,0.11093334,11340,1258,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11093334,0.11093334
19800908,0.11093334,0.11156724,0.11029943,0.11029943,3078,340,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11029943,0.11029943
19800909,0.11029943,0.11156724,0.11029943,0.11029943,1944,214,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11029943,0.11029943
19800910,0.11029943,0.11156724,0.11029943,0.11029943,1134,125,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11029943,0.11029943
19800911,0.11156724,0.11346896,0.11156724,0.11156724,15066,1681,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11156724,0.11156724
19800912,0.11346896,0.11473677,0.11346896,0.11346896,9882,1121,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11346896,0.11346896
19800915,0.11410286,0.11537067,0.11410286,0.11410286,4860,555,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11410286,0.11410286
19800916,0.11537067,0.11600458,0.11537067,0.11537067,4050,467,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11537067,0.11537067
19800917,0.11980801,0.12107582,0.11980801,0.11980801,19116,2290,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11980801,0.11980801
19800918,0.11980801,0.12044191,0.11980801,0.11980801,4536,543,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.11980801,0.11980801
19800919,0.12170972,0.12297753,0.12170972,0.12170972,11988,1459,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12170972,0.12170972
19800922,0.13121829,0.13248610,0.13121829,0.13121829,18306,2402,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13121829,0.13121829
19800923,0.13502172,0.13628953,0.13502172,0.13502172,17172,2319,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13502172,0.13502172
19800924,0.13692344,0.13819125,0.13692344,0.13692344,16362,2240,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13692344,0.13692344
19800925,0.13628953,0.13628953,0.13438782,0.13438782,22518,3026,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13438782,0.13438782
19800926,0.12931658,0.12931658,0.12804877,0.12804877,16362,2095,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12804877,0.12804877
19800929,0.12804877,0.12868267,0.12741486,0.12741486,3888,495,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12741486,0.12741486
19800930,0.12804877,0.12931658,0.12804877,0.12804877,15552,1991,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12804877,0.12804877
19801001,0.13058439,0.13121829,0.13058439,0.13058439,7776,1015,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13058439,0.13058439
19801002,0.13058439,0.13185220,0.13058439,0.13058439,3726,487,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13058439,0.13058439
19801003,0.13248610,0.13375391,0.13248610,0.13248610,13284,1760,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13248610,0.13248610
19801006,0.13692344,0.13819125,0.13692344,0.13692344,14094,1930,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13692344,0.13692344
19801007,0.14579810,0.14769982,0.14579810,0.14579810,27702,4039,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14579810,0.14579810
19801008,0.15340496,0.15530668,0.15340496,0.15340496,20736,3181,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.15340496,0.15340496
19801009,0.15340496,0.15403887,0.15277106,0.15277106,14418,2203,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.15277106,0.15277106
19801010,0.15213715,0.15213715,0.15086934,0.15086934,6804,1027,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.15086934,0.15086934
19801013,0.15086934,0.15086934,0.14896763,0.14896763,8910,1327,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14896763,0.14896763
19801014,0.14896763,0.15086934,0.14896763,0.14896763,3726,555,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14896763,0.14896763
19801015,0.14706591,0.14706591,0.14579810,0.14579810,6966,1016,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14579810,0.14579810
19801016,0.14833372,0.14960153,0.14833372,0.14833372,15066,2235,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14833372,0.14833372
19801017,0.14643201,0.14643201,0.14453029,0.14453029,14580,2107,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.14453029,0.14453029
19801020,0.13819125,0.13819125,0.13692344,0.13692344,19440,2662,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13692344,0.13692344
19801021,0.13692344,0.13882515,0.13692344,0.13692344,31428,4303,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13692344,0.13692344
19801022,0.13628953,0.13628953,0.13438782,0.13438782,7128,958,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13438782,0.13438782
19801023,0.13185220,0.13185220,0.13058439,0.13058439,10692,1396,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.13058439,0.13058439
19801024,0.13058439,0.13185220,0.12995048,0.12995048,2430,316,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.12995048,0.12995048
