Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20010731,6.36672803,6.36672803,6.19319516,6.19705145,508,3148,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.19705145,6.19705145
20010801,6.11221316,6.24718317,6.11221316,6.24718317,190,1187,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.24718317,6.24718317
20010802,6.24332688,6.33587774,6.21633288,6.28574603,260,1634,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.28574603,6.28574603
20010803,6.29345860,6.32045260,6.20862031,6.32045260,177,1119,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.32045260,6.32045260
20010806,6.32045260,6.32045260,6.30502746,6.30888374,26,164,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.30888374,6.30888374
20010807,6.28574603,6.38215317,6.26646460,6.37829689,249,1588,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.37829689,6.37829689
20010808,6.38215317,6.40529089,6.33202146,6.33973403,176,1116,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.33973403,6.33973403
20010809,6.34359031,6.38215317,6.34359031,6.35515917,114,724,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.35515917,6.35515917
20010810,6.36287174,6.36287174,6.09293173,6.09293173,372,2267,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.09293173,6.09293173
20010813,6.09678802,6.24718317,6.09678802,6.15848859,93,573,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.15848859,6.15848859
20010814,6.18933888,6.24332688,6.08136287,6.08136287,106,645,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.08136287,6.08136287
20010815,6.11992573,6.15077602,5.92711144,6.01580601,176,1059,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.01580601,6.01580601
20010816,6.03508744,6.30502746,6.03508744,6.20862031,194,1204,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.20862031,6.20862031
20010817,6.19319516,6.19319516,6.09293173,6.11221316,87,532,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.11221316,6.11221316
20010820,6.11992573,6.23561431,6.11992573,6.18933888,32,198,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.18933888,6.18933888
20010821,6.17005745,6.17005745,6.04280001,6.04280001,78,471,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.04280001,6.04280001
20010822,6.08521916,6.25875202,6.08521916,6.25875202,86,538,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.25875202,6.25875202
20010823,6.27032088,6.33587774,6.27032088,6.33587774,102,646,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.33587774,6.33587774
20010824,6.33973403,6.36672803,6.33587774,6.33587774,98,621,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.33587774,6.33587774
20010827,6.28574603,6.28574603,6.22790174,6.23947060,15,94,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.23947060,6.23947060
20010828,6.23947060,6.24332688,6.23947060,6.24332688,11,69,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.24332688,6.24332688
20010829,6.28249455,6.29816162,6.27857779,6.29816162,34,214,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.29816162,6.29816162
20010830,6.30599516,6.30599516,6.30599516,6.30599516,5,32,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.30599516,6.30599516
20010831,6.34907960,6.34907960,6.21199274,6.21199274,26,162,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.21199274,6.21199274
20010903,6.34907960,6.34907960,6.21199274,6.21199274,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",15.86000000,6.21199274
20010904,6.27074425,6.29816162,6.18849214,6.18849214,107,662,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.18849214,6.18849214
20010905,6.20807598,6.20807598,6.12974063,6.15715800,37,228,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",6.15715800,6.15715800
20010906,6.11015680,6.11015680,5.82423279,5.83206633,102,595,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",5.83206633,5.83206633
20010907,5.77723159,5.77723159,5.58531000,5.67931241,83,471,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",5.67931241,5.67931241
20010910,5.67931241,5.81639926,5.67931241,5.78898189,46,266,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",5.78898189,5.78898189
20010911,5.67931241,5.81639926,5.67931241,5.78898189,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",14.78000000,5.78898189
20010912,5.67931241,5.81639926,5.67931241,5.78898189,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",14.78000000,5.78898189
20010913,5.67931241,5.81639926,5.67931241,5.78898189,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",14.78000000,5.78898189
20010914,5.67931241,5.81639926,5.67931241,5.78898189,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",14.78000000,5.78898189
20010917,5.61664413,5.81639926,5.61664413,5.79289866,39,226,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",5.79289866,5.79289866
