Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100923,8.61582922,8.62521466,8.61582922,8.62521466,6,52,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.62521466,8.62521466
20100924,8.60644379,8.71906901,8.60644379,8.62521466,90,776,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.62521466,8.62521466
20100927,8.75661075,8.75661075,8.45627683,8.45627683,20,169,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.45627683,8.45627683
20100928,8.39996422,8.55951661,8.39996422,8.55951661,61,522,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.55951661,8.55951661
20100929,8.63460009,8.63460009,8.60644379,8.60644379,6,52,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.60644379,8.60644379
20100930,8.60644379,8.60644379,8.60644379,8.60644379,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.60644379,8.60644379
20101001,8.51258944,8.52197487,8.35303705,8.39996422,65,546,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.39996422,8.39996422
20101004,8.31549531,8.34365161,8.21225552,8.22164096,24,197,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.22164096,8.22164096
20101005,8.36242248,8.59705835,8.36242248,8.54074574,23,196,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.54074574,8.54074574
20101006,8.54074574,8.54074574,8.54074574,8.54074574,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.54074574,8.54074574
20101007,8.80353792,8.85985053,8.80353792,8.84107966,77,681,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",8.84107966,8.84107966
20101008,9.00063205,9.03817379,9.00063205,9.03817379,22,199,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.03817379,9.03817379
20101011,9.03817379,9.03817379,9.03817379,9.03817379,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.03817379,9.03817379
20101012,9.06633010,9.30096597,9.06633010,9.19772618,15,138,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.19772618,9.19772618
20101013,9.37604945,9.71392510,9.37604945,9.64822706,28,270,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.64822706,9.64822706
20101014,9.78900858,9.78900858,9.67638336,9.67638336,8,77,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.67638336,9.67638336
20101015,9.46990380,9.49806010,9.46990380,9.49806010,4,38,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",9.49806010,9.49806010
