Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20060227,22.94767779,22.94767779,22.94767779,22.94767779,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",22.94767779,22.94767779
20060228,23.00228911,23.05325968,22.93675552,22.93675552,24,550,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",22.93675552,22.93675552
20060301,22.86394043,22.86758118,22.86394043,22.86758118,20,457,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",22.86758118,22.86758118
20060302,23.23165666,23.50471328,23.23165666,23.50471328,60,1410,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.50471328,23.50471328
20060303,23.86878876,23.86878876,23.86878876,23.86878876,2,48,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.86878876,23.86878876
20060306,23.86878876,23.86878876,23.86878876,23.86878876,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.86878876,23.86878876
20060307,23.86878876,23.86878876,23.86878876,23.86878876,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.86878876,23.86878876
20060308,24.30203859,24.41854274,24.30203859,24.41854274,48,1172,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.41854274,24.41854274
20060309,24.41854274,24.41854274,24.41854274,24.41854274,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.41854274,24.41854274
20060310,24.75713294,24.84815182,24.75713294,24.84815182,12,298,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.84815182,24.84815182
20060313,24.75713294,24.75713294,24.71708464,24.71708464,70,1730,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.71708464,24.71708464
20060314,24.71708464,24.71708464,24.71708464,24.71708464,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.71708464,24.71708464
20060315,24.88455936,25.23407183,24.88455936,25.23043107,18,454,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.23043107,25.23043107
20060316,25.66732166,25.66732166,25.66732166,25.66732166,4,103,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.66732166,25.66732166
20060317,25.48528391,25.48528391,25.24863485,25.24863485,12,303,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.24863485,25.24863485
20060320,25.49984693,25.49984693,25.49984693,25.49984693,2,51,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.49984693,25.49984693
20060321,25.49984693,25.49984693,25.49984693,25.49984693,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.49984693,25.49984693
20060322,25.49984693,25.49984693,25.49984693,25.49984693,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.49984693,25.49984693
20060323,25.49984693,25.49984693,25.49984693,25.49984693,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.49984693,25.49984693
20060324,25.59086580,25.59086580,25.59086580,25.59086580,2,51,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.59086580,25.59086580
20060327,25.59086580,25.59086580,25.59086580,25.59086580,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.59086580,25.59086580
20060328,25.47436165,25.47436165,25.12120843,25.12120843,8,201,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.12120843,25.12120843
20060329,25.48528391,25.48528391,25.48528391,25.48528391,16,408,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060330,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060331,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060403,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060404,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060405,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060406,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060407,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060410,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060411,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060412,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060413,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060414,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",70.00000000,25.48528391
20060417,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060418,25.12120843,25.12120843,25.12120843,25.12120843,2,50,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.12120843,25.12120843
20060419,25.12120843,25.12120843,25.12120843,25.12120843,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.12120843,25.12120843
20060420,24.57509520,24.57509520,24.55689143,24.55689143,10,246,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.55689143,24.55689143
20060421,25.26683862,25.84935940,25.26683862,25.84935940,16,414,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.84935940,25.84935940
20060424,25.84935940,25.84935940,25.84935940,25.84935940,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.84935940,25.84935940
20060425,25.84935940,25.84935940,25.84935940,25.84935940,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.84935940,25.84935940
20060426,26.52289904,26.52289904,26.52289904,26.52289904,2,53,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",26.52289904,26.52289904
20060427,26.52289904,26.52289904,26.52289904,26.52289904,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",26.52289904,26.52289904
20060428,26.52289904,26.52289904,26.52289904,26.52289904,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",26.52289904,26.52289904
20060501,26.52289904,26.52289904,26.52289904,26.52289904,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",26.52289904,26.52289904
20060502,26.15882356,26.15882356,25.84935940,25.84935940,8,207,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.84935940,25.84935940
20060503,25.48528391,25.48528391,25.48528391,25.48528391,2,51,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060504,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060505,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060508,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060509,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060510,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060511,25.48528391,25.48528391,25.48528391,25.48528391,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",25.48528391,25.48528391
20060512,25.03018956,25.03018956,24.46223180,24.46223180,10,245,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.46223180,24.46223180
20060515,24.46223180,24.46223180,24.46223180,24.46223180,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.46223180,24.46223180
20060516,24.46223180,24.46223180,24.46223180,24.46223180,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.46223180,24.46223180
20060517,24.46223180,24.46223180,24.46223180,24.46223180,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",24.46223180,24.46223180
20060518,23.91611858,23.91611858,23.91611858,23.91611858,2,48,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.91611858,23.91611858
20060519,23.91611858,23.91611858,23.91611858,23.91611858,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.91611858,23.91611858
20060522,23.91611858,23.91611858,23.91611858,23.91611858,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.91611858,23.91611858
20060523,23.91611858,23.91611858,23.91611858,23.91611858,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.91611858,23.91611858
20060524,23.91611858,23.91611858,23.91611858,23.91611858,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",23.91611858,23.91611858
