Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131101,32.71739130,34.58695652,30.00652174,33.83913043,146676,4963388,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",33.83913043,33.83913043
20131104,34.40000000,34.40000000,32.42760870,33.04456522,15866,524285,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",33.04456522,33.04456522
20131105,32.82021739,33.18478261,32.54913043,33.04456522,3377,111591,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",33.04456522,33.04456522
20131106,33.28760870,34.11021739,33.28760870,33.55869565,5496,184439,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",33.55869565,33.55869565
20131107,34.40000000,34.40000000,31.89478261,33.00717391,8837,291684,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",33.00717391,33.00717391
20131108,32.99782609,33.14739130,32.46500000,32.67065217,4883,159531,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",32.67065217,32.67065217
20131111,33.04456522,33.04456522,31.70782609,32.00695652,4305,137790,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",32.00695652,32.00695652
20131112,32.28739130,32.28739130,31.54891304,31.77326087,3314,105297,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",31.77326087,31.77326087
20131113,31.31521739,32.25000000,30.89456522,31.92282609,4195,133916,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",31.92282609,31.92282609
20131114,31.92282609,32.01630435,31.35260870,31.45543478,5863,184423,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",31.45543478,31.45543478
20131115,31.54891304,31.64239130,31.15630435,31.36195652,9242,289847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",31.36195652,31.36195652
20131118,32.48369565,35.82086957,32.04434783,35.18521739,6696,235600,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",35.18521739,35.18521739
20131119,35.31608696,35.64326087,32.67065217,32.86695652,8153,267964,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",32.86695652,32.86695652
20131120,33.63347826,33.63347826,31.54891304,31.91347826,4176,133271,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Specialty Retail","Common Stock",31.91347826,31.91347826
