Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19880803,14.00000000,15.00000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880804,14.50000000,16.00000000,14.50000000,14.50000000,13,189,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.50000000,14.50000000
19880805,15.00000000,16.00000000,15.00000000,15.00000000,4,60,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.00000000,15.00000000
19880808,15.00000000,15.50000000,14.00000000,14.00000000,7,98,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880809,14.00000000,15.50000000,14.00000000,14.00000000,9,126,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880810,14.00000000,15.50000000,14.00000000,14.00000000,3,42,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880811,14.00000000,15.00000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880812,14.00000000,15.00000000,14.00000000,14.00000000,2,28,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880815,14.00000000,14.00000000,14.00000000,14.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880816,15.00000000,15.75000000,15.00000000,15.00000000,15,225,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.00000000,15.00000000
19880817,15.00000000,15.75000000,15.00000000,15.00000000,6,90,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.00000000,15.00000000
19880818,15.25000000,16.00000000,15.25000000,15.25000000,2,31,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.25000000,15.25000000
19880819,15.25000000,15.75000000,15.00000000,15.00000000,12,180,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.00000000,15.00000000
19880822,15.00000000,15.75000000,15.00000000,15.00000000,5,75,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.00000000,15.00000000
19880823,15.00000000,15.75000000,14.00000000,14.00000000,3,42,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880824,14.00000000,15.00000000,14.00000000,14.00000000,15,210,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880825,14.00000000,15.00000000,14.00000000,14.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880826,14.00000000,15.00000000,14.00000000,14.00000000,13,182,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880829,14.00000000,15.00000000,13.50000000,13.50000000,11,149,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",13.50000000,13.50000000
19880830,14.00000000,15.00000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880831,14.00000000,15.00000000,14.00000000,14.00000000,9,126,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880901,14.00000000,15.00000000,13.50000000,13.50000000,14,189,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",13.50000000,13.50000000
19880902,15.50000000,16.50000000,15.50000000,15.50000000,41,636,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.50000000,15.50000000
19880905,15.50000000,16.50000000,15.50000000,15.50000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",1.93750000,15.50000000
19880906,15.50000000,16.00000000,14.00000000,14.00000000,6,84,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880907,14.00000000,15.00000000,14.00000000,14.00000000,35,490,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880908,14.00000000,15.00000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880909,14.00000000,15.00000000,14.00000000,14.00000000,16,224,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880912,14.50000000,16.00000000,14.50000000,14.50000000,5,73,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.50000000,14.50000000
19880913,14.50000000,16.00000000,14.50000000,14.50000000,1,15,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.50000000,14.50000000
19880914,14.50000000,15.00000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880915,14.00000000,15.50000000,14.00000000,14.00000000,1,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880916,14.00000000,15.00000000,14.00000000,14.00000000,12,168,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.00000000,14.00000000
19880919,14.50000000,15.50000000,14.50000000,14.50000000,2,29,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.50000000,14.50000000
19880920,14.50000000,15.50000000,14.50000000,14.50000000,1,15,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.50000000,14.50000000
