Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150507,23.30441259,24.32256654,22.68597834,23.94547248,268759,6435561,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.94547248,23.94547248
20150508,23.86251179,23.98318189,23.47033397,23.86251179,18821,449116,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.86251179,23.86251179
20150511,23.76446734,23.82480239,23.59854595,23.75692546,5537,131542,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.75692546,23.75692546
20150512,23.70413229,24.13401951,23.49295962,23.75692546,9357,222294,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.75692546,23.75692546
20150513,24.03597506,24.13401951,23.76446734,23.87759555,3693,88180,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.87759555,23.87759555
20150514,23.88513743,24.61669990,23.77955110,24.48848792,4445,108851,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.48848792,24.48848792
20150515,24.42061099,24.60915802,23.99072377,24.11893575,2178,52531,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.11893575,24.11893575
20150518,24.20189644,24.66572213,24.01334941,24.26223149,3136,76086,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.26223149,24.26223149
20150519,24.34519218,25.25775979,23.97564001,24.82033069,4818,119584,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.82033069,24.82033069
20150520,24.76753752,24.92591703,24.17549986,24.33010842,2454,59706,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.33010842,24.33010842
20150521,24.16418703,25.01641960,23.75692546,24.29994089,2112,51321,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.29994089,24.29994089
20150522,24.27731525,24.27731525,23.99072377,24.05860070,1080,25983,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.05860070,24.05860070
20150525,24.27731525,24.27731525,23.99072377,24.05860070,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",31.90000000,24.05860070
20150526,24.02089129,24.17172892,23.53821090,23.75692546,1638,38914,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.75692546,23.75692546
20150527,23.93038872,23.94547248,23.59100407,23.70413229,1672,39633,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.70413229,23.70413229
20150528,23.71921605,23.81952307,23.57592031,23.71921605,1663,39445,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",23.71921605,23.71921605
20150529,23.77200922,24.26977337,23.68904853,24.17172892,3235,78196,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.17172892,24.17172892
20150601,24.11893575,24.75999564,24.11893575,24.60161614,3971,97693,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",24.60161614,24.60161614
20150602,24.57899050,25.40784323,24.42739868,25.18988286,3298,83076,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",25.18988286,25.18988286
