Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20071010,9.98941236,10.52938059,9.95941412,10.19940001,49611,506002,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.19940001,10.19940001
20071011,10.36739012,10.37338977,9.71342859,9.77942471,12191,119221,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.77942471,9.77942471
20071012,9.86341977,10.07940706,9.74942648,9.85142048,2870,28274,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.85142048,9.85142048
20071015,9.85742012,9.92941589,9.71942824,9.78542436,1533,15001,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.78542436,9.78542436
20071016,9.74942648,9.90541730,9.71942824,9.90541730,2436,24130,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.90541730,9.90541730
20071017,9.95941412,10.07340742,9.59943530,9.98941236,2751,27481,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.98941236,9.98941236
20071018,9.91141695,10.07340742,9.73742718,9.88741836,2472,24442,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.88741836,9.88741836
20071019,9.87541906,10.01941059,9.48544201,9.73742718,2414,23506,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.73742718,9.73742718
20071022,9.68343036,9.77942471,9.04746777,9.77942471,3442,33661,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.77942471,9.77942471
20071023,9.65943177,9.94741483,9.65943177,9.77342506,1474,14406,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.77342506,9.77342506
20071024,9.74942648,9.86941942,9.56943706,9.59943530,536,5145,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.59943530,9.59943530
20071025,9.62943354,9.89941765,9.62943354,9.87541906,1055,10419,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.87541906,9.87541906
20071026,9.88141871,9.93541554,9.81542259,9.86341977,1331,13128,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.86341977,9.86341977
20071029,9.86941942,9.93541554,9.67143106,9.71942824,1146,11138,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.71942824,9.71942824
20071030,9.68943001,9.77942471,9.45544377,9.55743777,1938,18522,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.55743777,9.55743777
