Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19950720,5.39221649,5.45082754,5.30429992,5.45082754,17016,92751,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.45082754,5.45082754
19950721,5.45082754,5.50943859,5.39221649,5.39221649,3070,16554,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.39221649,5.39221649
19950724,5.42152202,5.45082754,5.39221649,5.42152202,1888,10236,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.42152202,5.42152202
19950725,5.45082754,5.45082754,5.39221649,5.42152202,1022,5541,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.42152202,5.42152202
19950726,5.42152202,5.42152202,5.39221649,5.39221649,1330,7172,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.39221649,5.39221649
19950727,5.39221649,5.50943859,5.39221649,5.45082754,1132,6170,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.45082754,5.45082754
19950728,5.42152202,5.56804964,5.42152202,5.50943859,1552,8551,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.50943859,5.50943859
19950731,5.50943859,5.56804964,5.45082754,5.56804964,1332,7417,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.56804964,5.56804964
19950801,5.53874412,5.62666069,5.50943859,5.62666069,994,5593,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.62666069,5.62666069
19950802,5.62666069,5.71457726,5.62666069,5.68527174,432,2456,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.68527174,5.68527174
19950803,5.68527174,5.71457726,5.62666069,5.65596621,486,2749,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.65596621,5.65596621
19950804,5.65596621,5.65596621,5.59735516,5.59735516,338,1892,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.59735516,5.59735516
