Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,3.82682200,3.84409885,3.80090673,3.83546042,196,752,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",3.83546042,3.83546042
19800804,3.83546042,3.85273727,3.80954515,3.85273727,117,451,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",3.85273727,3.85273727
19800805,3.87001412,3.97367521,3.87001412,3.97367521,218,866,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",3.97367521,3.97367521
19800806,3.97367521,4.03414418,3.97367521,4.00822891,73,293,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.00822891,4.00822891
19800807,4.00822891,4.10325158,4.00822891,4.09461316,279,1142,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.09461316,4.09461316
19800808,4.09461316,4.11189000,4.07733631,4.07733631,285,1162,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.07733631,4.07733631
19800811,4.09461316,4.15508213,4.09461316,4.13780528,212,877,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.13780528,4.13780528
19800812,4.13780528,4.16372055,4.13780528,4.15508213,363,1508,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.15508213,4.15508213
19800813,4.15508213,4.16372055,4.14644370,4.16372055,525,2186,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.16372055,4.16372055
19800814,4.13780528,4.13780528,4.09461316,4.13780528,279,1154,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.13780528,4.13780528
19800815,4.16372055,4.19827425,4.16372055,4.18099740,196,819,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.18099740,4.18099740
19800818,4.18099740,4.20691267,4.16372055,4.20691267,190,799,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.20691267,4.20691267
19800819,4.20691267,4.21555110,4.09461316,4.12916685,251,1036,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.12916685,4.12916685
19800820,4.12916685,4.14644370,4.11189000,4.13780528,89,368,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.13780528,4.13780528
19800821,4.13780528,4.14644370,4.12916685,4.13780528,827,3422,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.13780528,4.13780528
19800822,4.14644370,4.20691267,4.14644370,4.14644370,654,2712,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.14644370,4.14644370
19800825,4.14644370,4.18099740,4.13780528,4.18099740,251,1049,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.18099740,4.18099740
19800826,4.18099740,4.18099740,4.14644370,4.16372055,419,1745,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.16372055,4.16372055
19800827,4.14644370,4.14644370,4.12916685,4.14644370,162,672,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.14644370,4.14644370
19800828,4.12916685,4.12916685,4.02550576,4.04278261,285,1152,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.04278261,4.04278261
19800829,4.04278261,4.04278261,4.00822891,4.00822891,67,269,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",4.00822891,4.00822891
