Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210322,9.67000000,9.69000000,9.67000000,9.67000000,155,1499,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210323,9.68000000,9.68000000,9.60000000,9.60000000,23,221,N/A,N/A,0,0,"NYSE","","","Common Stock",9.60000000,9.60000000
20210324,9.55000000,9.64000000,9.55000000,9.64000000,381,3673,N/A,N/A,0,0,"NYSE","","","Common Stock",9.64000000,9.64000000
20210325,9.60000000,9.75000000,9.60000000,9.70000000,653,6334,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210326,9.72000000,9.73000000,9.70000000,9.73000000,83,808,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210329,9.58000000,9.73000000,9.58000000,9.70000000,1426,13832,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210330,9.50000000,9.70000000,9.50000000,9.69000000,589,5707,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210331,9.71000000,9.71500000,9.68000000,9.68000000,208,2013,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20210401,9.70000000,9.73000000,9.66000000,9.69000000,9705,94041,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210402,9.70000000,9.73000000,9.66000000,9.69000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210405,9.60000000,9.73000000,9.60000000,9.72000000,488,4743,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210406,9.71500000,9.77000000,9.67000000,9.70000000,771,7479,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210407,9.74000000,9.75000000,9.74000000,9.75000000,156,1521,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210408,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210409,9.71000000,9.77000000,9.70000000,9.74000000,474,4617,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210412,9.74000000,9.80000000,9.74000000,9.80000000,469,4596,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210413,9.80000000,9.83000000,9.75000000,9.81000000,67,657,N/A,N/A,0,0,"NYSE","","","Common Stock",9.81000000,9.81000000
20210414,9.79000000,9.85000000,9.77000000,9.85000000,325,3201,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210415,9.77000000,9.80000000,9.76000000,9.80000000,57,559,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210416,9.76000000,9.85000000,9.75000000,9.84000000,373,3670,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84000000,9.84000000
20210419,9.84000000,9.84000000,9.84000000,9.84000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84000000,9.84000000
