Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150518,27.00000000,27.00000000,19.85000000,20.75000000,7936,164672,N/A,N/A,0,0,"NYSE","","","Common Stock",20.75000000,20.75000000
20150519,20.90000000,24.05000000,20.50000000,22.75000000,10617,241537,N/A,N/A,0,0,"NYSE","","","Common Stock",22.75000000,22.75000000
20150520,23.50000000,24.44000000,23.00000000,23.48000000,9901,232475,N/A,N/A,0,0,"NYSE","","","Common Stock",23.48000000,23.48000000
20150521,24.90000000,24.90000000,22.00000000,22.30000000,5962,132953,N/A,N/A,0,0,"NYSE","","","Common Stock",22.30000000,22.30000000
20150522,21.80000000,22.39000000,21.10000000,21.23000000,2877,61079,N/A,N/A,0,0,"NYSE","","","Common Stock",21.23000000,21.23000000
20150525,21.80000000,22.39000000,21.10000000,21.23000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",21.23000000,21.23000000
20150526,21.37000000,22.01000000,20.16000000,20.44000000,5619,114852,N/A,N/A,0,0,"NYSE","","","Common Stock",20.44000000,20.44000000
20150527,20.45000000,20.90000000,20.31000000,20.43000000,6407,130895,N/A,N/A,0,0,"NYSE","","","Common Stock",20.43000000,20.43000000
20150528,20.33000000,20.75000000,19.96000000,20.00000000,3662,73240,N/A,N/A,0,0,"NYSE","","","Common Stock",20.00000000,20.00000000
20150529,19.78000000,20.99000000,19.78000000,20.32000000,6636,134844,N/A,N/A,0,0,"NYSE","","","Common Stock",20.32000000,20.32000000
20150601,20.09000000,20.50000000,19.56000000,20.06000000,117274,2352516,N/A,N/A,0,0,"NYSE","","","Common Stock",20.06000000,20.06000000
20150602,18.74000000,18.90500000,18.10000000,18.76000000,100276,1881178,N/A,N/A,0,0,"NYSE","","","Common Stock",18.76000000,18.76000000
20150603,18.90000000,19.58000000,18.53000000,19.07000000,77556,1478993,N/A,N/A,0,0,"NYSE","","","Common Stock",19.07000000,19.07000000
20150604,18.60000000,19.39000000,18.55000000,19.30000000,53648,1035406,N/A,N/A,0,0,"NYSE","","","Common Stock",19.30000000,19.30000000
20150605,19.14000000,19.72000000,18.83000000,19.25000000,35181,677234,N/A,N/A,0,0,"NYSE","","","Common Stock",19.25000000,19.25000000
20150608,19.00000000,19.16000000,18.80000000,19.00000000,28648,544312,N/A,N/A,0,0,"NYSE","","","Common Stock",19.00000000,19.00000000
20150609,18.80000000,18.89000000,18.21000000,18.52000000,58151,1076957,N/A,N/A,0,0,"NYSE","","","Common Stock",18.52000000,18.52000000
20150610,19.37000000,19.41100000,18.83000000,19.09000000,79546,1518533,N/A,N/A,0,0,"NYSE","","","Common Stock",19.09000000,19.09000000
20150611,19.08000000,19.13500000,18.55000000,18.64000000,44293,825622,N/A,N/A,0,0,"NYSE","","","Common Stock",18.64000000,18.64000000
20150612,18.36000000,18.51000000,17.96000000,18.13000000,37059,671880,N/A,N/A,0,0,"NYSE","","","Common Stock",18.13000000,18.13000000
20150615,18.01000000,18.71000000,17.95000000,18.59000000,28179,523848,N/A,N/A,0,0,"NYSE","","","Common Stock",18.59000000,18.59000000
20150616,18.62000000,19.45000000,18.62000000,19.20000000,39329,755117,N/A,N/A,0,0,"NYSE","","","Common Stock",19.20000000,19.20000000
20150617,19.47000000,19.50000000,19.00000000,19.03000000,19138,364196,N/A,N/A,0,0,"NYSE","","","Common Stock",19.03000000,19.03000000
20150618,18.79000000,19.93000000,18.77000000,19.62000000,28189,553068,N/A,N/A,0,0,"NYSE","","","Common Stock",19.62000000,19.62000000
20150619,19.63000000,20.03000000,19.49000000,19.59000000,28651,561273,N/A,N/A,0,0,"NYSE","","","Common Stock",19.59000000,19.59000000
20150622,19.59000000,20.25000000,19.53000000,19.80000000,22867,452767,N/A,N/A,0,0,"NYSE","","","Common Stock",19.80000000,19.80000000
20150623,19.50000000,19.80000000,19.48000000,19.75000000,13272,262122,N/A,N/A,0,0,"NYSE","","","Common Stock",19.75000000,19.75000000
20150624,19.71000000,20.04000000,19.49000000,19.52000000,27743,541543,N/A,N/A,0,0,"NYSE","","","Common Stock",19.52000000,19.52000000
20150625,19.48000000,19.72000000,18.77000000,18.80000000,13849,260361,N/A,N/A,0,0,"NYSE","","","Common Stock",18.80000000,18.80000000
20150626,18.76000000,19.06000000,17.86000000,18.11000000,80418,1456370,N/A,N/A,0,0,"NYSE","","","Common Stock",18.11000000,18.11000000
20150629,17.50000000,18.50000000,17.00000000,17.40000000,29815,518781,N/A,N/A,0,0,"NYSE","","","Common Stock",17.40000000,17.40000000
20150630,17.58000000,17.68000000,16.87000000,17.16000000,28033,481046,N/A,N/A,0,0,"NYSE","","","Common Stock",17.16000000,17.16000000
20150701,17.29000000,17.66000000,17.16000000,17.22000000,21855,376343,N/A,N/A,0,0,"NYSE","","","Common Stock",17.22000000,17.22000000
20150702,17.25000000,17.46000000,16.90000000,16.95000000,9586,162483,N/A,N/A,0,0,"NYSE","","","Common Stock",16.95000000,16.95000000
20150703,17.25000000,17.46000000,16.90000000,16.95000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",16.95000000,16.95000000
20150706,16.92000000,17.56000000,16.91000000,17.31000000,28146,487207,N/A,N/A,0,0,"NYSE","","","Common Stock",17.31000000,17.31000000
20150707,17.33000000,17.48000000,16.80000000,17.24000000,18229,314268,N/A,N/A,0,0,"NYSE","","","Common Stock",17.24000000,17.24000000
20150708,16.87000000,17.27000000,16.86000000,17.01000000,24246,412424,N/A,N/A,0,0,"NYSE","","","Common Stock",17.01000000,17.01000000
20150709,17.15000000,17.36000000,16.92000000,17.04000000,26172,445971,N/A,N/A,0,0,"NYSE","","","Common Stock",17.04000000,17.04000000
20150710,17.10000000,17.35000000,16.85000000,17.26000000,29476,508756,N/A,N/A,0,0,"NYSE","","","Common Stock",17.26000000,17.26000000
20150713,17.20000000,17.69000000,17.15000000,17.58000000,12014,211206,N/A,N/A,0,0,"NYSE","","","Common Stock",17.58000000,17.58000000
20150714,17.41000000,18.02000000,17.40000000,17.72000000,16328,289332,N/A,N/A,0,0,"NYSE","","","Common Stock",17.72000000,17.72000000
20150715,17.59000000,17.82000000,17.30000000,17.37000000,8006,139064,N/A,N/A,0,0,"NYSE","","","Common Stock",17.37000000,17.37000000
20150716,17.68000000,17.75000000,17.22000000,17.49000000,7632,133484,N/A,N/A,0,0,"NYSE","","","Common Stock",17.49000000,17.49000000
20150717,17.49000000,17.61000000,17.13000000,17.51000000,8730,152862,N/A,N/A,0,0,"NYSE","","","Common Stock",17.51000000,17.51000000
20150720,17.56000000,17.75000000,17.12000000,17.31000000,21662,374969,N/A,N/A,0,0,"NYSE","","","Common Stock",17.31000000,17.31000000
