Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210408,10.00000000,10.00000000,10.00000000,10.00000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210409,10.10000000,10.18000000,10.10000000,10.11000000,24999,252740,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20210412,10.11000000,10.14600000,10.08000000,10.10000000,1203,12150,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210413,10.05000000,10.11000000,10.05000000,10.10000000,838,8464,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210414,10.05000000,10.15000000,10.05000000,10.13000000,1094,11082,N/A,N/A,0,0,"NYSE","","","Common Stock",10.13000000,10.13000000
20210415,10.14600000,10.19900000,10.10000000,10.12000000,164,1660,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210416,10.10000000,10.14000000,10.10000000,10.14000000,16,162,N/A,N/A,0,0,"NYSE","","","Common Stock",10.14000000,10.14000000
20210419,10.10000000,10.15300000,10.10000000,10.12000000,36,364,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210420,10.11000000,10.19000000,10.10000000,10.12000000,45,455,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210421,10.10000000,10.13000000,10.10000000,10.13000000,1003,10160,N/A,N/A,0,0,"NYSE","","","Common Stock",10.13000000,10.13000000
20210422,10.10900000,10.15000000,10.10900000,10.14000000,6,61,N/A,N/A,0,0,"NYSE","","","Common Stock",10.14000000,10.14000000
20210423,10.16000000,10.16000000,10.16000000,10.16000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",10.16000000,10.16000000
20210426,10.20000000,10.20000000,10.17000000,10.18000000,28,285,N/A,N/A,0,0,"NYSE","","","Common Stock",10.18000000,10.18000000
20210427,10.10000000,10.13500000,10.08000000,10.12000000,2180,22062,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210428,10.10000000,10.20000000,10.10000000,10.18000000,460,4683,N/A,N/A,0,0,"NYSE","","","Common Stock",10.18000000,10.18000000
20210429,10.10000000,10.16000000,10.10000000,10.16000000,3,30,N/A,N/A,0,0,"NYSE","","","Common Stock",10.16000000,10.16000000
20210430,10.12200000,10.17000000,10.11500000,10.15000000,13,132,N/A,N/A,0,0,"NYSE","","","Common Stock",10.15000000,10.15000000
20210503,10.16000000,10.16000000,10.16000000,10.16000000,44,447,N/A,N/A,0,0,"NYSE","","","Common Stock",10.16000000,10.16000000
20210504,10.10000000,10.12000000,10.10000000,10.12000000,18,182,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210505,10.15000000,10.15000000,10.15000000,10.15000000,28,284,N/A,N/A,0,0,"NYSE","","","Common Stock",10.15000000,10.15000000
20210506,10.20000000,10.20000000,10.07000000,10.10000000,2837,28654,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210507,10.10000000,10.10000000,10.10000000,10.10000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210510,10.10000000,10.10000000,10.02000000,10.10000000,2575,26007,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210511,10.10800000,10.11000000,10.06000000,10.11000000,258,2608,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20210512,10.11000000,10.11000000,10.11000000,10.11000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20210513,10.11000000,10.11000000,10.11000000,10.11000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20210514,10.06000000,10.06000000,10.00000000,10.04000000,180,1807,N/A,N/A,0,0,"NYSE","","","Common Stock",10.04000000,10.04000000
20210517,10.00000000,10.00000000,10.00000000,10.00000000,25,250,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210518,10.05000000,10.05000000,10.05000000,10.05000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210519,10.05000000,10.05500000,10.00000000,10.00000000,30,300,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210520,10.05000000,10.05000000,9.95000000,9.95000000,45,448,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20210521,9.95000000,9.95000000,9.90000000,9.90000000,213,2109,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210524,9.90000000,9.90000000,9.81000000,9.85000000,841,8284,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210525,9.81000000,9.88000000,9.79000000,9.88000000,1804,17824,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210526,9.97000000,9.97000000,9.89000000,9.89000000,3,30,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210527,9.89000000,9.94000000,9.89000000,9.90000000,18,178,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210528,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210531,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210601,9.86500000,9.86500000,9.86500000,9.86500000,8,79,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86500000,9.86500000
20210602,9.86000000,9.86000000,9.86000000,9.86000000,487,4802,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210603,9.84000000,9.90000000,9.84000000,9.88500000,6,59,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88500000,9.88500000
20210604,9.90000000,9.90000000,9.90000000,9.90000000,4,40,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
