Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210426,9.85000000,9.85000000,9.85000000,9.85000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210427,10.19500000,10.19500000,9.85500000,9.85500000,6,59,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85500000,9.85500000
20210428,9.65000000,9.85000000,9.65000000,9.85000000,10,98,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210429,9.90000000,9.90000000,9.75000000,9.82000000,4608,45251,N/A,N/A,0,0,"NYSE","","","Common Stock",9.82000000,9.82000000
20210430,9.65000000,9.85000000,9.65000000,9.70000000,12,116,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210503,9.72000000,9.74000000,9.72000000,9.72000000,29,282,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210504,9.75000000,9.76000000,9.75000000,9.76000000,13,127,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210505,9.76000000,9.76000000,9.75000000,9.75000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210506,9.72000000,9.80000000,9.71000000,9.80000000,16,157,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210507,9.79500000,9.79500000,9.79500000,9.79500000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79500000,9.79500000
20210510,9.79500000,9.79500000,9.79500000,9.79500000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79500000,9.79500000
20210511,9.79500000,9.79500000,9.79500000,9.79500000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79500000,9.79500000
20210512,9.79500000,9.79500000,9.79500000,9.79500000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79500000,9.79500000
20210513,9.79500000,9.79500000,9.79500000,9.79500000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79500000,9.79500000
20210514,9.70000000,9.70000000,9.70000000,9.70000000,476,4617,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210517,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210518,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210519,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210520,9.66000000,9.90000000,9.64000000,9.69000000,3552,34419,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210521,9.69000000,9.69000000,9.66000000,9.66000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210524,9.68000000,9.68000000,9.68000000,9.68000000,16,155,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20210525,9.68000000,9.68000000,9.68000000,9.68000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20210526,9.91000000,9.97000000,9.67000000,9.67000000,1788,17290,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210527,9.67000000,9.67000000,9.67000000,9.67000000,9,87,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210528,9.98700000,9.98700000,9.89100000,9.89100000,30,297,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89100000,9.89100000
20210531,9.98700000,9.98700000,9.89100000,9.89100000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89100000,9.89100000
20210601,9.99000000,9.99000000,9.76000000,9.76000000,19,185,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210602,9.95000000,9.95000000,9.77000000,9.77000000,26,254,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210603,9.77000000,9.77000000,9.77000000,9.77000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210604,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210607,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210608,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210609,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210610,9.78000000,9.80000000,9.71000000,9.80000000,134,1313,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210611,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210614,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210615,9.80000000,9.80000000,9.70000000,9.79000000,169,1655,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210616,9.70000000,9.70000000,9.66000000,9.69000000,60,581,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210617,9.69000000,9.69000000,9.69000000,9.69000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210618,9.69000000,9.69000000,9.69000000,9.69000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210621,9.69000000,9.69000000,9.69000000,9.69000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210622,9.77000000,9.78000000,9.77000000,9.78000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210623,9.76000000,9.76000000,9.76000000,9.76000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210624,9.76000000,9.76000000,9.76000000,9.76000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210625,9.75000000,9.75000000,9.70000000,9.70000000,21,204,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210628,9.69000000,9.69000000,9.66000000,9.67000000,48,464,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210629,9.70000000,9.70000000,9.65000000,9.65000000,22,212,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210630,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210701,9.67500000,9.67500000,9.67500000,9.67500000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67500000,9.67500000
20210702,9.65000000,9.65000000,9.65000000,9.65000000,32,309,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210705,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210706,9.64000000,9.69000000,9.64000000,9.69000000,10,97,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210707,9.63000000,9.68000000,9.63000000,9.68000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20210708,9.65000000,9.67000000,9.65000000,9.67000000,340,3288,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210709,9.67000000,9.67000000,9.67000000,9.67000000,33,319,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210712,9.77000000,9.77000000,9.65000000,9.68500000,61,591,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68500000,9.68500000
20210713,9.69000000,9.69000000,9.64000000,9.69000000,193,1870,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210714,9.67000000,9.69000000,9.65000000,9.69000000,18,174,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210715,9.70000000,9.70000000,9.70000000,9.70000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210716,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210719,9.70000000,9.70000000,9.68100000,9.68100000,18,174,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68100000,9.68100000
20210720,9.68100000,9.68100000,9.68100000,9.68100000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68100000,9.68100000
20210721,9.63000000,9.69500000,9.63000000,9.69500000,32,310,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69500000,9.69500000
20210722,9.79000000,9.79000000,9.71900000,9.71900000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71900000,9.71900000
20210723,9.76000000,9.76000000,9.71000000,9.71000000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210726,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210727,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210728,9.71000000,9.71000000,9.65000000,9.65000000,11,106,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210729,9.65000000,9.65000000,9.65000000,9.65000000,40,386,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210730,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210802,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210803,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210804,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210805,9.71000000,9.71000000,9.71000000,9.71000000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210806,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210809,9.64000000,9.70000000,9.64000000,9.70000000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210810,9.67000000,9.67000000,9.66000000,9.66000000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210811,9.66000000,9.66000000,9.66000000,9.66000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210812,9.66000000,9.66000000,9.66000000,9.66000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
