Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20101207,13.82612245,14.45719028,13.48190363,14.17034126,105776,1498882,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",14.17034126,14.17034126
20101208,14.06133864,14.91614870,13.99823185,14.71535439,8652,127317,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",14.71535439,14.71535439
20101209,14.54324498,15.05957320,14.53750800,14.66945855,8778,128769,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",14.66945855,14.66945855
20101210,14.55471894,14.79567211,14.50882310,14.70961741,4369,64266,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",14.70961741,14.70961741
20101213,14.62929968,15.31200034,14.62356270,15.21447167,3978,60523,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.21447167,15.21447167
20101214,15.14562791,15.26036751,14.79567211,15.22594563,2505,38141,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.22594563,15.22594563
20101215,15.23741959,15.57016445,14.61782572,14.95057058,3961,59219,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",14.95057058,14.95057058
20101216,14.89320078,15.44968786,14.88746380,15.38084410,1330,20457,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.38084410,15.38084410
20101217,15.48410974,15.80538064,15.43247692,15.66769311,1016,15918,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.66769311,15.66769311
20101220,15.61032331,16.29302396,15.59884935,15.79390668,1493,23580,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.79390668,15.79390668
20101221,15.85127648,15.89143534,15.26036751,15.51853163,1392,21602,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.51853163,15.51853163
20101222,15.40379202,15.42100296,15.03662528,15.42100296,1575,24288,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.42100296,15.42100296
20101223,15.33494826,15.40952900,15.31773732,15.40952900,1352,20834,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.40952900,15.40952900
20101224,15.33494826,15.40952900,15.31773732,15.40952900,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",26.86000000,15.40952900
20101227,15.34642222,15.34642222,15.16283885,15.20873469,970,14752,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.20873469,15.20873469
20101228,15.17431281,15.40379202,15.14562791,15.37510712,2040,31365,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.37510712,15.37510712
20101229,15.22594563,15.57590143,15.20299771,15.57590143,752,11713,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.57590143,15.57590143
20101230,15.49558370,15.59884935,15.40379202,15.50705767,2980,46211,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.50705767,15.50705767
20101231,15.48984672,15.51853163,15.36937014,15.38084410,498,7660,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.38084410,15.38084410
20110103,15.44395088,15.51853163,15.20873469,15.48984672,2535,39267,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.48984672,15.48984672
20110104,15.48984672,15.59884935,15.27757845,15.58163841,2323,36196,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.58163841,15.58163841
20110105,15.49558370,15.70211499,15.41526598,15.68490405,618,9693,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.68490405,15.68490405
20110106,15.65048217,16.15533644,15.46116182,16.05780777,1161,18643,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.05780777,16.05780777
20110107,16.00617495,16.13812549,15.72506292,15.94880515,2883,45980,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.94880515,15.94880515
20110110,15.77669574,16.04633381,15.53000559,15.71932594,1211,19036,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.71932594,15.71932594
20110111,15.73653688,15.85701346,15.55869049,15.82832856,1889,29900,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",15.82832856,15.82832856
20110112,15.87996138,16.33891980,15.73653688,16.26433906,1723,28023,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.26433906,16.26433906
20110113,16.12665153,16.32744584,16.00043797,16.08075569,1302,20937,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.08075569,16.08075569
20110114,16.11517757,16.33318282,16.04059683,16.24139114,2490,40441,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.24139114,16.24139114
20110117,16.11517757,16.33318282,16.04059683,16.24139114,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",28.31000000,16.24139114
20110118,16.40776357,17.35436531,16.30449792,16.83230011,6920,116480,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.83230011,16.83230011
20110119,17.03309442,17.12488610,16.52250317,16.56266203,2277,37713,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.56266203,16.56266203
20110120,16.57413600,17.23388873,15.64474519,16.87245897,3546,59830,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.87245897,16.87245897
20110121,16.92409179,16.96998763,16.18402134,16.87245897,1181,19926,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.87245897,16.87245897
20110124,16.86672199,17.34289135,16.35613075,17.26831061,1294,22345,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.26831061,17.26831061
20110125,17.23388873,17.77316487,17.13062308,17.31994343,2040,35333,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.31994343,17.31994343
20110126,17.34289135,17.67563621,16.98146159,17.44042002,1252,21835,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.44042002,17.44042002
20110127,17.34862833,17.55515962,17.21094081,17.43468304,373,6503,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.43468304,17.43468304
20110128,17.33141739,17.64695131,16.62576882,17.54368566,2564,44982,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.54368566,17.54368566
20110131,18.09443577,18.19196443,17.35436531,17.62974036,2029,35771,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.62974036,17.62974036
20110201,17.91831900,17.91831900,17.31471827,17.61939292,855,15065,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.61939292,17.61939292
20110202,17.49867278,18.06203346,17.26872964,17.33771258,886,15361,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.33771258,17.33771258
20110203,17.44693557,17.56765572,16.81459194,16.88932346,2879,48624,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",16.88932346,16.88932346
20110204,16.99854645,17.28597537,16.88932346,17.25723248,1315,22693,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.25723248,17.25723248
20110207,17.35495832,17.67113013,17.24573532,17.24573532,972,16763,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.24573532,17.24573532
20110208,17.26872964,18.15401072,17.21699243,17.93556474,2706,48534,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.93556474,17.93556474
20110209,18.04478773,18.10802209,17.91257042,18.02754199,451,8130,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",18.02754199,18.02754199
20110210,17.96430763,18.24023940,17.55040998,17.80909601,741,13197,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",17.80909601,17.80909601
