Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19830810,0.19982319,0.20304614,0.19982319,0.19982319,32886,6571,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19982319,0.19982319
19830811,0.19982319,0.20304614,0.19982319,0.19982319,31914,6377,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19982319,0.19982319
19830812,0.20304614,0.20949205,0.20304614,0.20304614,10260,2083,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.20304614,0.20304614
19830815,0.20304614,0.20626910,0.19982319,0.19982319,5994,1198,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19982319,0.19982319
19830816,0.19982319,0.20304614,0.19660023,0.19660023,27972,5499,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19660023,0.19660023
19830817,0.19660023,0.20304614,0.19660023,0.19660023,3402,669,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19660023,0.19660023
19830818,0.19660023,0.20304614,0.19660023,0.19660023,4050,796,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19660023,0.19660023
19830819,0.19660023,0.19982319,0.19660023,0.19660023,2322,457,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19660023,0.19660023
19830822,0.19660023,0.20626910,0.19660023,0.19660023,4428,871,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19660023,0.19660023
19830823,0.19660023,0.20304614,0.19337728,0.19337728,1026,198,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19337728,0.19337728
19830824,0.19337728,0.19982319,0.19015433,0.19015433,3564,678,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19015433,0.19015433
19830825,0.19015433,0.19660023,0.19015433,0.19015433,810,154,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19015433,0.19015433
19830826,0.19015433,0.19660023,0.18693137,0.18693137,1674,313,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.18693137,0.18693137
19830829,0.18693137,0.19337728,0.18693137,0.18693137,1512,283,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.18693137,0.18693137
19830830,0.19015433,0.19660023,0.19015433,0.19015433,3402,647,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19015433,0.19015433
19830831,0.19015433,0.19660023,0.18693137,0.18693137,756,141,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.18693137,0.18693137
19830901,0.18693137,0.19337728,0.18693137,0.18693137,540,101,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.18693137,0.18693137
19830902,0.19015433,0.19660023,0.19015433,0.19015433,540,103,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19015433,0.19015433
19830905,0.19015433,0.19660023,0.19015433,0.19015433,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",14.75000000,0.19015433
19830906,0.19337728,0.19660023,0.19337728,0.19337728,1026,198,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19337728,0.19337728
19830907,0.19337728,0.19982319,0.19337728,0.19337728,216,42,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19337728,0.19337728
19830908,0.19337728,0.19982319,0.19337728,0.19337728,1188,230,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19337728,0.19337728
19830909,0.19337728,0.19982319,0.19337728,0.19337728,486,94,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",0.19337728,0.19337728
