Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131107,45.10000000,50.09000000,44.00000000,44.90000000,1177016,52848018,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",44.90000000,44.90000000
20131108,45.93000000,46.94000000,40.69000000,41.65000000,279253,11630887,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.65000000,41.65000000
20131111,40.50000000,43.00000000,39.40000000,42.90000000,161139,6912863,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",42.90000000,42.90000000
20131112,43.66000000,43.78000000,41.83000000,41.90000000,63167,2646697,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.90000000,41.90000000
20131113,41.03000000,42.87000000,40.76000000,42.60000000,86883,3701216,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",42.60000000,42.60000000
20131114,42.34000000,45.67000000,42.24000000,44.69000000,110994,4960322,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",44.69000000,44.69000000
20131115,45.25000000,45.27000000,43.43000000,43.98000000,80106,3523062,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",43.98000000,43.98000000
20131118,43.50000000,43.95000000,40.85000000,41.14000000,128106,5270281,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.14000000,41.14000000
20131119,41.39000000,41.90000000,40.00000000,41.75000000,74366,3104781,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.75000000,41.75000000
20131120,41.40000000,41.75000000,40.51000000,41.05000000,57673,2367477,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.05000000,41.05000000
20131121,41.25000000,42.49000000,40.37000000,42.06000000,83247,3501369,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",42.06000000,42.06000000
20131122,41.81000000,42.28000000,40.97000000,41.00000000,61852,2535932,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.00000000,41.00000000
20131125,41.08000000,41.14000000,38.80000000,39.06000000,143333,5598587,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",39.06000000,39.06000000
20131126,39.16000000,40.55000000,38.92000000,40.18000000,98284,3949051,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",40.18000000,40.18000000
20131127,40.47000000,41.40000000,40.35000000,40.90000000,55363,2264347,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",40.90000000,40.90000000
20131128,40.47000000,41.40000000,40.35000000,40.90000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",40.90000000,40.90000000
20131129,41.40000000,41.58000000,40.90000000,41.57000000,41070,1707280,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.57000000,41.57000000
20131202,41.79000000,42.00000000,40.40000000,40.78000000,64243,2619830,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",40.78000000,40.78000000
20131203,40.69000000,41.60000000,40.54000000,41.37000000,57710,2387463,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",41.37000000,41.37000000
20131204,41.27000000,43.92000000,41.27000000,43.69000000,110149,4812410,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",43.69000000,43.69000000
20131205,43.45000000,46.35000000,42.83000000,45.62000000,117294,5350952,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",45.62000000,45.62000000
20131206,45.75000000,45.80000000,44.54000000,44.95000000,62300,2800385,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",44.95000000,44.95000000
20131209,45.59000000,49.84000000,45.02000000,49.14000000,173666,8533947,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",49.14000000,49.14000000
20131210,48.90000000,52.58000000,48.70000000,51.99000000,257920,13409261,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",51.99000000,51.99000000
20131211,52.40000000,53.87000000,51.00000000,52.34000000,266315,13938927,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",52.34000000,52.34000000
20131212,52.20000000,55.87000000,50.69000000,55.33000000,234469,12973170,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",55.33000000,55.33000000
20131213,56.20000000,59.41000000,55.45000000,59.00000000,389796,22997964,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",59.00000000,59.00000000
20131216,57.86000000,60.24000000,55.76000000,56.61000000,393108,22253844,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",56.61000000,56.61000000
20131217,56.97000000,57.38000000,54.62000000,56.45000000,221152,12484030,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",56.45000000,56.45000000
20131218,57.00000000,57.00000000,54.23000000,55.51000000,166598,9247855,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",55.51000000,55.51000000
20131219,55.08000000,57.75000000,55.00000000,57.49000000,131525,7561372,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",57.49000000,57.49000000
20131220,58.51000000,60.25000000,58.01000000,60.01000000,262074,15727061,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",60.01000000,60.01000000
20131223,59.85000000,64.99000000,59.70000000,64.54000000,221638,14304517,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",64.54000000,64.54000000
20131224,66.34000000,70.87000000,65.56000000,69.96000000,358027,25047569,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",69.96000000,69.96000000
20131225,66.34000000,70.87000000,65.56000000,69.96000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Internet","Common Stock",69.96000000,69.96000000
