Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19920319,0.15778552,0.17713658,0.15480844,0.17564803,1916199,336577,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.17564803,0.17564803
19920320,0.18011366,0.19202200,0.17564803,0.19053346,302149,57569,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.19053346,0.19053346
19920323,0.19202200,0.20690743,0.19202200,0.20690743,138244,28604,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.20690743,0.20690743
19920324,0.20839597,0.21137306,0.18160221,0.19351055,182458,35308,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.19351055,0.19351055
19920325,0.18904492,0.19351055,0.18457929,0.18457929,38732,7149,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18457929,0.18457929
19920326,0.19053346,0.19053346,0.17564803,0.17564803,77344,13585,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.17564803,0.17564803
19920327,0.17564803,0.18457929,0.17564803,0.18457929,76140,14054,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18457929,0.18457929
19920330,0.18755638,0.18755638,0.18160221,0.18160221,32106,5831,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18160221,0.18160221
19920331,0.18309075,0.18755638,0.18160221,0.18160221,19216,3490,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18160221,0.18160221
19920401,0.18457929,0.18755638,0.18160221,0.18160221,33733,6126,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18160221,0.18160221
19920402,0.18160221,0.18755638,0.18160221,0.18755638,12288,2305,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.18755638,0.18755638
19920403,0.18160221,0.18755638,0.17564803,0.17564803,38732,6803,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.17564803,0.17564803
19920406,0.18160221,0.18160221,0.17564803,0.17564803,47346,8316,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.17564803,0.17564803
19920407,0.17564803,0.18160221,0.17564803,0.17564803,46563,8179,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.17564803,0.17564803
19920408,0.17862512,0.17862512,0.16373969,0.16373969,141436,23159,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920409,0.16969386,0.17267095,0.16076261,0.16671678,140653,23449,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16671678,0.16671678
19920410,0.16671678,0.16969386,0.16373969,0.16671678,74634,12443,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16671678,0.16671678
19920413,0.16522824,0.16969386,0.16373969,0.16373969,39937,6539,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920414,0.16373969,0.16671678,0.16373969,0.16373969,40540,6638,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920415,0.16671678,0.16671678,0.16373969,0.16373969,27107,4438,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920416,0.16373969,0.16671678,0.16076261,0.16373969,32167,5267,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920417,0.16373969,0.16671678,0.16076261,0.16373969,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",13.75000000,0.16373969
19920420,0.16373969,0.16373969,0.15778552,0.16076261,11686,1879,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16076261,0.16076261
19920421,0.15778552,0.15778552,0.14587718,0.14587718,20601,3005,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14587718,0.14587718
19920422,0.14587718,0.14587718,0.12801467,0.12801467,143244,18337,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.12801467,0.12801467
19920423,0.13396884,0.14290010,0.12950321,0.13694593,152159,20838,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920424,0.13694593,0.13694593,0.13099175,0.13694593,11746,1609,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920427,0.13694593,0.13694593,0.13099175,0.13099175,25059,3283,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13099175,0.13099175
19920428,0.13099175,0.13694593,0.13099175,0.13545738,20119,2725,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13545738,0.13545738
19920429,0.13099175,0.13694593,0.13099175,0.13694593,1446,198,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920430,0.13694593,0.14290010,0.13694593,0.13992301,39515,5529,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13992301,0.13992301
19920501,0.14290010,0.15183135,0.14290010,0.14587718,15180,2214,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14587718,0.14587718
19920504,0.15183135,0.16373969,0.14587718,0.16076261,12529,2014,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16076261,0.16076261
19920505,0.15778552,0.16076261,0.15183135,0.15480844,17890,2770,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15480844,0.15480844
19920506,0.15480844,0.15778552,0.14290010,0.14885427,47888,7128,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14885427,0.14885427
19920507,0.14438864,0.14885427,0.14290010,0.14290010,24276,3469,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14290010,0.14290010
19920508,0.15183135,0.15183135,0.14587718,0.14587718,3915,571,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14587718,0.14587718
19920511,0.15183135,0.15183135,0.14587718,0.15183135,12168,1847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15183135,0.15183135
19920512,0.14587718,0.15183135,0.14290010,0.14290010,12590,1799,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14290010,0.14290010
19920513,0.14290010,0.14885427,0.14141155,0.14290010,10240,1463,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14290010,0.14290010
19920514,0.14290010,0.14290010,0.13694593,0.13843447,44334,6137,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13843447,0.13843447
19920515,0.13396884,0.13992301,0.13396884,0.13992301,5542,775,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13992301,0.13992301
19920518,0.13992301,0.13992301,0.13099175,0.13694593,16625,2277,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920519,0.13099175,0.13694593,0.13099175,0.13248030,14457,1915,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13248030,0.13248030
19920520,0.13694593,0.13992301,0.13396884,0.13396884,6325,847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13396884,0.13396884
19920521,0.13396884,0.13992301,0.13396884,0.13694593,21384,2928,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920522,0.13396884,0.13992301,0.13396884,0.13694593,7108,973,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13694593,0.13694593
19920525,0.13396884,0.13992301,0.13396884,0.13694593,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",11.50000000,0.13694593
19920526,0.13992301,0.13992301,0.13099175,0.13396884,32829,4398,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13396884,0.13396884
19920527,0.13099175,0.13694593,0.12801467,0.13099175,36745,4813,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13099175,0.13099175
19920528,0.12801467,0.13396884,0.12801467,0.12950321,184867,23941,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.12950321,0.12950321
19920529,0.13396884,0.14885427,0.13099175,0.14885427,393830,58623,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14885427,0.14885427
19920601,0.15183135,0.16373969,0.14736572,0.16373969,18192,2979,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920602,0.16671678,0.16969386,0.16076261,0.16373969,31082,5089,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920603,0.16671678,0.16671678,0.16373969,0.16373969,6927,1134,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16373969,0.16373969
19920604,0.16373969,0.16671678,0.16076261,0.16671678,28673,4780,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16671678,0.16671678
19920605,0.16671678,0.16671678,0.16076261,0.16076261,18011,2895,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16076261,0.16076261
19920608,0.16373969,0.16373969,0.16076261,0.16225115,58550,9500,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.16225115,0.16225115
19920609,0.16671678,0.16671678,0.15480844,0.15480844,48431,7498,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15480844,0.15480844
19920610,0.16076261,0.16373969,0.15480844,0.15778552,13433,2120,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15778552,0.15778552
19920611,0.15778552,0.15778552,0.15480844,0.15480844,25842,4001,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15480844,0.15480844
19920612,0.15778552,0.15778552,0.15480844,0.15480844,8433,1305,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15480844,0.15480844
19920615,0.15480844,0.15778552,0.15331989,0.15778552,24938,3935,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15778552,0.15778552
19920616,0.15183135,0.15778552,0.15183135,0.15778552,2349,371,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15778552,0.15778552
19920617,0.15480844,0.15480844,0.14885427,0.15034281,2289,344,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15034281,0.15034281
19920618,0.14885427,0.15183135,0.14290010,0.15183135,8313,1262,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.15183135,0.15183135
19920619,0.15183135,0.15183135,0.14290010,0.14290010,5241,749,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14290010,0.14290010
19920622,0.13992301,0.14587718,0.13992301,0.13992301,12710,1778,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.13992301,0.13992301
19920623,0.14885427,0.15183135,0.14587718,0.14587718,37347,5448,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.14587718,0.14587718
