Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130718,14.75000000,15.17000000,13.74000000,14.00000000,78758,1102612,N/A,N/A,0,0,"NYSE","","","Common Stock",14.00000000,14.00000000
20130719,14.00000000,14.44000000,13.89000000,14.20000000,6136,87131,N/A,N/A,0,0,"NYSE","","","Common Stock",14.20000000,14.20000000
20130722,14.24000000,14.30000000,14.01000000,14.10000000,927,13071,N/A,N/A,0,0,"NYSE","","","Common Stock",14.10000000,14.10000000
20130723,14.18000000,14.23000000,13.55000000,14.13000000,809,11431,N/A,N/A,0,0,"NYSE","","","Common Stock",14.13000000,14.13000000
20130724,14.23000000,14.37000000,14.03000000,14.30000000,2376,33977,N/A,N/A,0,0,"NYSE","","","Common Stock",14.30000000,14.30000000
20130725,14.33000000,14.33000000,13.84000000,13.95000000,4427,61757,N/A,N/A,0,0,"NYSE","","","Common Stock",13.95000000,13.95000000
20130726,14.02000000,14.07000000,13.90000000,13.96000000,1349,18832,N/A,N/A,0,0,"NYSE","","","Common Stock",13.96000000,13.96000000
20130729,14.33000000,14.33000000,14.14000000,14.23000000,246,3501,N/A,N/A,0,0,"NYSE","","","Common Stock",14.23000000,14.23000000
20130730,14.40000000,14.40000000,14.25000000,14.25000000,861,12269,N/A,N/A,0,0,"NYSE","","","Common Stock",14.25000000,14.25000000
20130731,14.28000000,14.30000000,14.20000000,14.20000000,417,5921,N/A,N/A,0,0,"NYSE","","","Common Stock",14.20000000,14.20000000
20130801,14.25000000,14.27000000,14.13000000,14.13000000,792,11191,N/A,N/A,0,0,"NYSE","","","Common Stock",14.13000000,14.13000000
20130802,14.15000000,14.15000000,14.00000000,14.04000000,711,9982,N/A,N/A,0,0,"NYSE","","","Common Stock",14.04000000,14.04000000
20130805,14.00000000,14.03000000,13.85000000,13.88000000,1241,17225,N/A,N/A,0,0,"NYSE","","","Common Stock",13.88000000,13.88000000
20130806,13.80000000,13.90000000,13.55000000,13.55000000,797,10799,N/A,N/A,0,0,"NYSE","","","Common Stock",13.55000000,13.55000000
20130807,13.50000000,13.51000000,13.08000000,13.28000000,1116,14820,N/A,N/A,0,0,"NYSE","","","Common Stock",13.28000000,13.28000000
20130808,13.62000000,14.01000000,13.39000000,13.40000000,786,10532,N/A,N/A,0,0,"NYSE","","","Common Stock",13.40000000,13.40000000
20130809,13.44000000,13.90000000,13.34000000,13.69000000,1320,18071,N/A,N/A,0,0,"NYSE","","","Common Stock",13.69000000,13.69000000
20130812,13.60000000,13.98000000,13.32000000,13.83000000,1665,23027,N/A,N/A,0,0,"NYSE","","","Common Stock",13.83000000,13.83000000
20130813,13.88000000,13.90000000,13.63000000,13.74000000,1485,20404,N/A,N/A,0,0,"NYSE","","","Common Stock",13.74000000,13.74000000
20130814,13.70000000,13.80000000,13.54000000,13.67000000,148,2023,N/A,N/A,0,0,"NYSE","","","Common Stock",13.67000000,13.67000000
20130815,13.65000000,13.99000000,13.41000000,13.81000000,806,11131,N/A,N/A,0,0,"NYSE","","","Common Stock",13.81000000,13.81000000
20130816,13.84000000,14.00000000,13.75000000,13.76000000,1036,14255,N/A,N/A,0,0,"NYSE","","","Common Stock",13.76000000,13.76000000
20130819,13.79000000,13.92000000,13.47000000,13.51000000,224,3026,N/A,N/A,0,0,"NYSE","","","Common Stock",13.51000000,13.51000000
20130820,13.45000000,13.91000000,13.29000000,13.44000000,952,12795,N/A,N/A,0,0,"NYSE","","","Common Stock",13.44000000,13.44000000
20130821,13.37000000,13.57000000,13.35000000,13.46000000,120,1615,N/A,N/A,0,0,"NYSE","","","Common Stock",13.46000000,13.46000000
20130822,13.46000000,13.62000000,13.38000000,13.41000000,103,1381,N/A,N/A,0,0,"NYSE","","","Common Stock",13.41000000,13.41000000
20130823,13.48000000,13.48000000,12.90000000,13.07000000,577,7541,N/A,N/A,0,0,"NYSE","","","Common Stock",13.07000000,13.07000000
20130826,13.05000000,13.34000000,12.97000000,13.34000000,232,3095,N/A,N/A,0,0,"NYSE","","","Common Stock",13.34000000,13.34000000
20130827,13.30000000,13.48000000,13.28000000,13.36000000,762,10180,N/A,N/A,0,0,"NYSE","","","Common Stock",13.36000000,13.36000000
20130828,13.24000000,13.50000000,13.05000000,13.48000000,395,5325,N/A,N/A,0,0,"NYSE","","","Common Stock",13.48000000,13.48000000
20130829,13.48000000,13.56000000,13.40000000,13.52000000,358,4840,N/A,N/A,0,0,"NYSE","","","Common Stock",13.52000000,13.52000000
20130830,13.59000000,13.90000000,13.54000000,13.65000000,158,2157,N/A,N/A,0,0,"NYSE","","","Common Stock",13.65000000,13.65000000
20130902,13.59000000,13.90000000,13.54000000,13.65000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.65000000,13.65000000
20130903,13.73000000,13.87000000,13.40000000,13.41000000,742,9950,N/A,N/A,0,0,"NYSE","","","Common Stock",13.41000000,13.41000000
20130904,13.60000000,13.66000000,13.33000000,13.61000000,704,9581,N/A,N/A,0,0,"NYSE","","","Common Stock",13.61000000,13.61000000
20130905,13.55000000,13.62000000,13.44000000,13.50000000,89,1202,N/A,N/A,0,0,"NYSE","","","Common Stock",13.50000000,13.50000000
20130906,13.57000000,13.64000000,13.06000000,13.56000000,240,3254,N/A,N/A,0,0,"NYSE","","","Common Stock",13.56000000,13.56000000
20130909,13.56000000,13.99000000,13.50000000,13.97000000,478,6678,N/A,N/A,0,0,"NYSE","","","Common Stock",13.97000000,13.97000000
20130910,13.97000000,13.97000000,13.77000000,13.86000000,125,1732,N/A,N/A,0,0,"NYSE","","","Common Stock",13.86000000,13.86000000
20130911,13.76000000,13.96000000,13.76000000,13.88000000,134,1860,N/A,N/A,0,0,"NYSE","","","Common Stock",13.88000000,13.88000000
20130912,13.88000000,14.10000000,13.70000000,13.99000000,586,8198,N/A,N/A,0,0,"NYSE","","","Common Stock",13.99000000,13.99000000
20130913,13.99000000,14.20000000,13.94000000,14.19000000,284,4030,N/A,N/A,0,0,"NYSE","","","Common Stock",14.19000000,14.19000000
20130916,14.22000000,14.67000000,14.08000000,14.43000000,792,11429,N/A,N/A,0,0,"NYSE","","","Common Stock",14.43000000,14.43000000
20130917,14.52000000,14.81000000,14.33000000,14.50000000,3466,50257,N/A,N/A,0,0,"NYSE","","","Common Stock",14.50000000,14.50000000
20130918,14.45000000,15.00000000,14.23000000,14.99000000,762,11422,N/A,N/A,0,0,"NYSE","","","Common Stock",14.99000000,14.99000000
20130919,14.92000000,15.00000000,14.69000000,14.74000000,262,3862,N/A,N/A,0,0,"NYSE","","","Common Stock",14.74000000,14.74000000
20130920,14.68000000,14.68000000,13.78000000,13.78000000,1481,20408,N/A,N/A,0,0,"NYSE","","","Common Stock",13.78000000,13.78000000
20130923,13.80000000,14.71000000,13.78000000,14.24000000,2187,31143,N/A,N/A,0,0,"NYSE","","","Common Stock",14.24000000,14.24000000
20130924,14.30000000,14.78000000,14.29000000,14.42000000,2714,39136,N/A,N/A,0,0,"NYSE","","","Common Stock",14.42000000,14.42000000
20130925,14.45000000,14.91000000,14.29000000,14.77000000,827,12215,N/A,N/A,0,0,"NYSE","","","Common Stock",14.77000000,14.77000000
20130926,14.88000000,14.88000000,14.73000000,14.81000000,730,10811,N/A,N/A,0,0,"NYSE","","","Common Stock",14.81000000,14.81000000
20130927,14.84000000,14.95000000,14.53000000,14.91000000,692,10318,N/A,N/A,0,0,"NYSE","","","Common Stock",14.91000000,14.91000000
20130930,14.86000000,14.94000000,14.58000000,14.84000000,4779,70920,N/A,N/A,0,0,"NYSE","","","Common Stock",14.84000000,14.84000000
20131001,14.83000000,15.09000000,14.56000000,14.77000000,2033,30027,N/A,N/A,0,0,"NYSE","","","Common Stock",14.77000000,14.77000000
20131002,14.80000000,14.86000000,14.60000000,14.74000000,310,4569,N/A,N/A,0,0,"NYSE","","","Common Stock",14.74000000,14.74000000
20131003,14.69000000,14.82000000,14.69000000,14.71000000,325,4781,N/A,N/A,0,0,"NYSE","","","Common Stock",14.71000000,14.71000000
20131004,14.68000000,14.98000000,14.68000000,14.90000000,549,8180,N/A,N/A,0,0,"NYSE","","","Common Stock",14.90000000,14.90000000
20131007,14.90000000,15.06000000,14.69000000,14.71000000,481,7076,N/A,N/A,0,0,"NYSE","","","Common Stock",14.71000000,14.71000000
20131008,14.77000000,14.87000000,14.52000000,14.71000000,2154,31685,N/A,N/A,0,0,"NYSE","","","Common Stock",14.71000000,14.71000000
20131009,14.80000000,14.83000000,14.51000000,14.72000000,1437,21153,N/A,N/A,0,0,"NYSE","","","Common Stock",14.72000000,14.72000000
20131010,14.85000000,15.08000000,14.81000000,14.92000000,370,5520,N/A,N/A,0,0,"NYSE","","","Common Stock",14.92000000,14.92000000
