Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19841017,0.11985199,0.12309123,0.11985199,0.11985199,98688,11828,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11985199,0.11985199
19841018,0.12309123,0.12956971,0.12309123,0.12309123,53248,6554,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.12309123,0.12309123
19841019,0.12309123,0.12309123,0.11985199,0.11985199,30432,3647,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11985199,0.11985199
19841022,0.11985199,0.12309123,0.11985199,0.11985199,23264,2788,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11985199,0.11985199
19841023,0.11985199,0.11985199,0.11661274,0.11661274,7872,918,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841024,0.11985199,0.12309123,0.11985199,0.11985199,2304,276,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11985199,0.11985199
19841025,0.11985199,0.12309123,0.11661274,0.11661274,15872,1851,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841026,0.11661274,0.11985199,0.11661274,0.11661274,7584,884,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841029,0.11661274,0.11985199,0.11661274,0.11661274,6144,716,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841030,0.11661274,0.12309123,0.11661274,0.11661274,1920,224,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841031,0.11985199,0.12309123,0.11985199,0.11985199,2976,357,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11985199,0.11985199
19841101,0.11985199,0.11985199,0.11661274,0.11661274,3520,410,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841102,0.11661274,0.11985199,0.11661274,0.11661274,16384,1911,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11661274,0.11661274
19841105,0.11661274,0.11661274,0.11337350,0.11337350,5344,606,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841106,0.11337350,0.11661274,0.11337350,0.11337350,5440,617,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841107,0.11337350,0.11661274,0.11337350,0.11337350,768,87,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841108,0.11337350,0.11661274,0.11337350,0.11337350,448,51,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841109,0.11337350,0.11661274,0.11337350,0.11337350,8960,1016,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841112,0.11337350,0.11661274,0.11337350,0.11337350,3008,341,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841113,0.11337350,0.11661274,0.11337350,0.11337350,4640,526,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11337350,0.11337350
19841114,0.11337350,0.11661274,0.11013426,0.11013426,15232,1678,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11013426,0.11013426
19841115,0.11013426,0.11337350,0.11013426,0.11013426,1568,173,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",0.11013426,0.11013426
