Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20181126,9.63087962,9.68026875,9.51234572,9.51234572,1007,9579,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181127,9.51234572,9.51234572,9.51234572,9.51234572,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181128,9.51234572,9.51234572,9.51234572,9.51234572,1,10,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181129,9.51234572,9.51234572,9.51234572,9.51234572,8,76,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181130,9.48271224,9.51234572,9.48271224,9.51234572,5902,56142,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181203,9.51234572,9.51234572,9.51234572,9.51234572,12,114,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181204,9.48271224,9.58642941,9.48271224,9.51234572,1202,11434,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181205,9.48271224,9.58642941,9.48271224,9.51234572,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.63000000,9.51234572
20181206,9.63087962,9.75929135,9.49259007,9.51234572,2794,26577,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181207,9.51234572,9.51234572,9.51234572,9.51234572,8,76,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181210,9.50246789,9.51234572,9.48271224,9.51234572,2064,19633,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181211,9.52222354,9.52222354,9.51234572,9.51234572,10,95,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181212,9.63087962,9.63087962,9.63087962,9.63087962,2,19,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.63087962,9.63087962
20181213,9.51234572,9.51234572,9.51234572,9.51234572,4514,42939,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20181214,9.52222354,9.57161267,9.52222354,9.53210137,138,1315,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.53210137,9.53210137
20181217,9.45307877,9.53210137,9.45307877,9.48271224,5997,56868,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.48271224,9.48271224
20181218,9.54197919,9.54197919,9.45307877,9.45307877,52,492,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.45307877,9.45307877
20181219,9.45307877,9.45307877,9.43332311,9.43332311,98,924,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.43332311,9.43332311
20181220,9.43332311,9.43332311,9.43332311,9.43332311,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.43332311,9.43332311
20181221,9.52222354,9.53210137,9.51234572,9.52222354,1004,9560,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.52222354,9.52222354
20181224,9.52222354,9.52222354,9.52222354,9.52222354,4,38,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.52222354,9.52222354
20181225,9.52222354,9.52222354,9.52222354,9.52222354,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.64000000,9.52222354
20181226,9.52222354,9.52222354,9.52222354,9.52222354,1,10,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.52222354,9.52222354
20181227,9.53210137,9.53210137,9.53210137,9.53210137,8,76,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.53210137,9.53210137
20181228,9.48271224,9.53210137,9.48271224,9.53210137,5,48,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.53210137,9.53210137
20181231,9.53210137,9.53210137,9.53210137,9.53210137,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.53210137,9.53210137
20190101,9.53210137,9.53210137,9.53210137,9.53210137,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.53210137
20190102,9.53210137,9.53210137,9.52222354,9.53210137,5,48,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.53210137,9.53210137
20190103,9.51234572,9.51234572,9.51234572,9.51234572,17,162,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20190104,9.52222354,9.52222354,9.52222354,9.52222354,15,143,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.52222354,9.52222354
20190107,9.52222354,9.52222354,9.52222354,9.52222354,10,95,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.52222354,9.52222354
20190108,9.51234572,9.51234572,9.51234572,9.51234572,1866,17750,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20190109,9.51234572,9.51234572,9.51234572,9.51234572,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20190110,9.59433167,9.59433167,9.59433167,9.59433167,1,10,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59433167,9.59433167
20190111,9.59136832,9.59136832,9.58149049,9.58149049,6,57,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190114,9.58149049,9.58149049,9.58149049,9.58149049,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190115,9.58149049,9.58149049,9.58149049,9.58149049,1,10,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190116,9.59136832,9.59136832,9.51234572,9.51234572,2,19,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.51234572,9.51234572
20190117,9.58149049,9.58149049,9.58149049,9.58149049,1500,14372,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190118,9.61112397,9.66051310,9.61112397,9.63087962,782,7531,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.63087962,9.63087962
20190121,9.61112397,9.66051310,9.61112397,9.63087962,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.63087962
20190122,9.65063527,9.67434205,9.65063527,9.67434205,1001,9684,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.67434205,9.67434205
20190123,9.67928096,9.68026875,9.66051310,9.66051310,20,193,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.66051310,9.66051310
20190124,9.65063527,9.65063527,9.58149049,9.58149049,10,96,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190125,9.58149049,9.58149049,9.58149049,9.58149049,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190128,9.65656197,9.65656197,9.65063527,9.65063527,6,58,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65063527,9.65063527
20190129,9.65063527,9.65063527,9.65063527,9.65063527,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65063527,9.65063527
20190130,9.65063527,9.65063527,9.65063527,9.65063527,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65063527,9.65063527
20190131,9.65063527,9.65063527,9.65063527,9.65063527,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65063527,9.65063527
20190201,9.63087962,9.63087962,9.63087962,9.63087962,924,8899,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.63087962,9.63087962
20190204,9.58149049,9.58149049,9.58149049,9.58149049,1,10,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58149049,9.58149049
20190205,9.63087962,9.63087962,9.63087962,9.63087962,2251,21679,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.63087962,9.63087962
20190206,9.68026875,9.68026875,9.63087962,9.68026875,175,1694,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.68026875,9.68026875
