Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070815,43.28933458,49.73579852,42.78258934,47.94142196,106785,5119425,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",47.94142196,47.94142196
20070816,50.66621600,51.08158094,43.78777251,47.34329644,69195,3275919,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",47.34329644,47.34329644
20070817,49.01306352,49.01306352,45.23324252,46.14704540,30861,1424144,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",46.14704540,46.14704540
20070820,46.56241034,47.76696868,46.19688919,47.62574460,21409,1019620,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",47.62574460,47.62574460
20070821,47.55928621,55.31830338,46.93623879,54.81986545,73697,4040060,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",54.81986545,54.81986545
20070822,58.30062369,61.43247538,55.29338149,55.53429316,101444,5633621,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",55.53429316,55.53429316
20070823,56.54778362,58.88213461,54.00575016,58.31723829,43470,2535050,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",58.31723829,58.31723829
20070824,58.31723829,60.35252652,57.69419087,59.23104117,38124,2258124,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",59.23104117,59.23104117
20070827,59.58825502,60.93403744,58.99012950,60.06177106,23933,1437458,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",60.06177106,60.06177106
20070828,59.72947910,59.89562508,55.24353769,57.96833173,36641,2124018,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",57.96833173,57.96833173
20070829,59.81255209,60.21130244,55.78351212,56.65577851,35807,2028673,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",56.65577851,56.65577851
