Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.20981763,0.21105915,0.20609306,0.20857610,2057,429,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20857610,0.20857610
19800804,0.20857610,0.21105915,0.20733458,0.21105915,3843,811,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21105915,0.21105915
19800805,0.21602525,0.22471592,0.21602525,0.22223287,6024,1339,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22223287,0.22223287
19800806,0.22347440,0.22844049,0.22347440,0.22719897,3012,684,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22719897,0.22719897
19800807,0.22719897,0.23216507,0.22347440,0.22471592,2389,537,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22471592,0.22471592
19800808,0.22471592,0.22719897,0.22347440,0.22347440,3157,706,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22347440,0.22347440
19800811,0.22347440,0.22347440,0.21602525,0.21974982,1433,315,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21974982,0.21974982
19800812,0.21974982,0.22099135,0.21478373,0.21478373,1163,250,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21478373,0.21478373
19800813,0.21478373,0.21850830,0.21105915,0.21354220,1828,390,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21354220,0.21354220
19800814,0.21602525,0.22223287,0.21602525,0.22223287,1745,388,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22223287,0.22223287
19800815,0.22223287,0.22719897,0.21478373,0.21726678,2597,564,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21726678,0.21726678
19800818,0.21602525,0.21602525,0.20857610,0.20857610,2825,589,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20857610,0.20857610
19800819,0.20981763,0.21478373,0.20981763,0.21230068,935,199,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21230068,0.21230068
19800820,0.21230068,0.21230068,0.20609306,0.21105915,2721,574,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21105915,0.21105915
19800821,0.21105915,0.21354220,0.20981763,0.21230068,1662,353,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21230068,0.21230068
19800822,0.21230068,0.22099135,0.21230068,0.21354220,5193,1109,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21354220,0.21354220
19800825,0.21354220,0.21850830,0.21105915,0.21850830,3739,817,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21850830,0.21850830
19800826,0.21850830,0.21850830,0.20857610,0.21105915,1849,390,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21105915,0.21105915
19800827,0.21105915,0.21105915,0.20733458,0.20857610,1226,256,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20857610,0.20857610
19800828,0.20857610,0.21105915,0.20609306,0.20733458,1766,366,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20733458,0.20733458
19800829,0.20733458,0.21105915,0.20733458,0.20733458,1786,370,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20733458,0.20733458
19800901,0.20733458,0.21105915,0.20733458,0.20733458,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",20.87500000,0.20733458
19800902,0.20733458,0.20981763,0.20485153,0.20609306,1724,355,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20609306,0.20609306
19800903,0.20609306,0.22347440,0.20609306,0.22347440,3241,724,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.22347440,0.22347440
19800904,0.22347440,0.22347440,0.21478373,0.21478373,1018,219,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21478373,0.21478373
19800905,0.21478373,0.21602525,0.21354220,0.21354220,2160,461,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21354220,0.21354220
19800908,0.21354220,0.21478373,0.21105915,0.21105915,2908,614,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21105915,0.21105915
19800909,0.21105915,0.21230068,0.20609306,0.21105915,976,206,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21105915,0.21105915
19800910,0.21478373,0.21726678,0.21478373,0.21602525,1766,382,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21602525,0.21602525
19800911,0.21478373,0.21478373,0.21105915,0.21354220,1163,248,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.21354220,0.21354220
19800912,0.21105915,0.21105915,0.20857610,0.20857610,1433,299,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",0.20857610,0.20857610
