Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940825,3.59223263,3.59223263,3.59223263,3.59223263,16569,59520,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940826,3.59223263,3.59223263,3.59223263,3.59223263,2773,9961,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940829,3.59223263,3.59223263,3.59223263,3.59223263,421,1512,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940830,3.59223263,3.59223263,3.59223263,3.59223263,1701,6110,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940831,3.59223263,3.61826330,3.59223263,3.59223263,290,1042,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940901,3.59223263,3.61826330,3.59223263,3.59223263,215,772,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940902,3.59223263,3.61826330,3.59223263,3.61826330,406,1469,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.61826330,3.61826330
19940905,3.59223263,3.61826330,3.59223263,3.61826330,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",17.37500000,3.61826330
19940906,3.59223263,3.59223263,3.59223263,3.59223263,176,632,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
19940907,3.59223263,3.61826330,3.59223263,3.59223263,303,1088,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.59223263,3.59223263
