Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20141001,17.01000000,18.71000000,16.01000000,16.01000000,248002,3970512,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",16.01000000,16.01000000
20141002,16.25000000,16.38000000,14.50000000,14.70000000,62657,921058,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",14.70000000,14.70000000
20141003,15.30000000,15.30000000,13.52000000,13.75000000,30923,425191,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.75000000,13.75000000
20141006,13.75000000,14.00000000,12.00000000,13.05000000,31514,411258,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.05000000,13.05000000
20141007,12.95000000,14.65000000,12.77000000,13.93000000,21018,292781,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.93000000,13.93000000
20141008,14.34000000,14.74000000,13.60000000,13.77000000,11693,161013,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.77000000,13.77000000
20141009,13.65000000,14.00000000,12.24000000,12.37000000,14820,183323,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",12.37000000,12.37000000
20141010,12.37000000,12.82000000,11.56000000,11.83000000,11241,132981,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",11.83000000,11.83000000
20141013,11.62000000,12.50000000,11.00000000,11.09000000,8514,94420,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",11.09000000,11.09000000
20141014,11.10000000,11.45000000,10.56000000,10.78000000,10477,112942,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",10.78000000,10.78000000
20141015,10.70000000,10.70000000,9.66000000,10.47000000,13487,141209,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",10.47000000,10.47000000
20141016,10.00000000,11.99000000,9.94000000,11.88000000,7707,91559,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",11.88000000,11.88000000
20141017,12.32000000,13.68000000,12.26000000,12.61000000,10087,127197,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",12.61000000,12.61000000
20141020,12.48000000,12.94000000,12.12000000,12.53000000,4820,60395,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",12.53000000,12.53000000
20141021,12.81000000,13.68000000,12.56000000,13.66000000,5378,73463,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.66000000,13.66000000
20141022,13.97000000,13.97000000,13.10000000,13.16000000,5548,73012,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.16000000,13.16000000
20141023,13.49000000,13.54700000,12.87600000,13.07000000,3252,42504,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.07000000,13.07000000
20141024,13.01000000,13.83000000,13.01000000,13.64000000,3439,46908,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.64000000,13.64000000
20141027,14.10000000,14.70000000,13.60000000,13.74000000,9068,124594,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.74000000,13.74000000
20141028,13.66000000,14.14000000,13.65000000,14.03000000,3752,52641,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",14.03000000,14.03000000
20141029,14.21000000,14.21000000,13.57000000,13.72000000,2337,32064,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.72000000,13.72000000
20141030,14.04000000,14.19000000,13.61000000,13.75000000,3519,48386,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",13.75000000,13.75000000
20141031,13.99000000,14.35000000,13.71000000,14.08000000,6458,90929,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",14.08000000,14.08000000
20141103,14.05000000,15.45000000,13.99000000,14.96000000,10235,153116,N/A,N/A,1575335,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.96000000,14.96000000
20141104,14.88000000,15.30000000,14.54000000,14.96000000,6293,94143,N/A,N/A,1575335,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.96000000,14.96000000
20141105,15.10000000,15.14000000,13.64000000,14.12000000,9064,127984,N/A,N/A,1486880,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.12000000,14.12000000
20141106,14.09000000,14.48000000,13.74000000,14.18000000,4664,66136,N/A,N/A,1493198,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.18000000,14.18000000
20141107,14.00000000,14.26000000,13.86000000,14.24000000,4304,61289,N/A,N/A,1499516,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.24000000,14.24000000
20141110,14.21000000,15.00000000,14.20000000,14.74000000,9270,136640,N/A,N/A,1552168,105303,"NYSE","Technology","Technology/Hardware","Common Stock",14.74000000,14.74000000
20141111,13.00000000,13.00000000,11.18000000,11.42000000,42735,488034,N/A,N/A,1202562,105303,"NYSE","Technology","Technology/Hardware","Common Stock",11.42000000,11.42000000
20141112,11.67000000,12.40000000,11.56000000,12.33000000,15220,187663,N/A,N/A,1298387,105303,"NYSE","Technology","Technology/Hardware","Common Stock",12.33000000,12.33000000
20141113,12.48000000,12.57000000,11.60000000,11.70000000,8286,96946,N/A,N/A,1232047,105303,"NYSE","Technology","Technology/Hardware","Common Stock",11.70000000,11.70000000
20141114,11.91000000,12.19000000,11.78000000,11.93000000,6508,77640,N/A,N/A,1256266,105303,"NYSE","Technology","Technology/Hardware","Common Stock",11.93000000,11.93000000
20141117,11.90000000,12.00000000,11.31000000,11.37000000,6937,78874,N/A,N/A,1197296,105303,"NYSE","Technology","Technology/Hardware","Common Stock",11.37000000,11.37000000
20141118,11.30000000,11.76000000,11.22000000,11.25000000,6212,69885,N/A,N/A,1184660,105303,"NYSE","Technology","Technology/Hardware","Common Stock",11.25000000,11.25000000
20141119,11.18000000,11.34000000,10.65000000,10.71000000,7486,80175,N/A,N/A,1127796,105303,"NYSE","Technology","Technology/Hardware","Common Stock",10.71000000,10.71000000
