Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150206,38.00000000,38.55000000,37.72000000,37.72000000,9178,346194,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",37.72000000,37.72000000
20150209,38.48000000,38.48000000,36.98000000,37.39000000,21684,810765,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",37.39000000,37.39000000
20150210,37.02000000,41.06000000,37.00000000,39.30000000,22012,865072,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",39.30000000,39.30000000
20150211,39.75000000,42.50000000,39.50000000,41.44000000,21081,873597,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",41.44000000,41.44000000
20150212,42.50000000,43.37000000,42.05000000,43.00000000,17530,753790,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",43.00000000,43.00000000
20150213,43.28000000,44.44000000,39.92000000,41.02000000,18370,753537,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",41.02000000,41.02000000
20150216,43.28000000,44.44000000,39.92000000,41.02000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",41.02000000,41.02000000
20150217,40.15000000,43.34000000,39.60000000,43.26000000,7793,337125,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",43.26000000,43.26000000
20150218,43.42000000,46.56000000,43.06600000,45.00000000,12839,577755,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",45.00000000,45.00000000
20150219,44.50000000,45.15500000,43.80000000,43.88000000,6515,285878,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",43.88000000,43.88000000
20150220,43.75000000,45.72000000,43.44000000,45.64000000,2915,133041,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",45.64000000,45.64000000
20150223,45.05000000,45.64000000,44.49000000,44.82000000,3328,149161,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",44.82000000,44.82000000
20150224,44.51000000,45.24000000,43.59000000,44.98000000,4150,186667,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",44.98000000,44.98000000
20150225,44.75000000,45.00000000,44.26800000,44.51000000,6823,303692,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",44.51000000,44.51000000
20150226,44.80000000,45.00000000,44.06000000,44.45000000,4767,211893,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",44.45000000,44.45000000
20150227,44.11000000,44.49000000,43.14000000,43.66000000,6864,299682,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",43.66000000,43.66000000
20150302,43.66000000,44.44000000,42.59000000,42.93000000,7631,327599,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",42.93000000,42.93000000
20150303,42.90000000,43.62800000,42.80000000,43.00000000,4296,184728,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",43.00000000,43.00000000
