Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20160923,22.15366244,22.53055047,21.23442333,21.23442333,352971,7495136,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.23442333,21.23442333
20160926,21.22523094,22.07093092,21.20684616,22.04335374,30029,661940,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",22.04335374,22.04335374
20160927,22.06173853,22.50297330,21.74000484,21.76758201,39805,866459,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.76758201,21.76758201
20160928,21.69404288,22.13068146,21.51938745,21.92385266,18055,395835,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.92385266,21.92385266
20160929,21.92385266,22.05254614,21.14249942,21.60211897,28872,623696,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.60211897,21.60211897
20160930,21.82273636,21.92385266,21.57454180,21.59292658,16865,364165,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.59292658,21.59292658
20161003,21.64808093,21.76758201,21.14249942,21.33553963,12652,269937,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.33553963,21.33553963
20161004,21.31715485,21.63888854,21.19765377,21.26200050,7405,157445,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.26200050,21.26200050
20161005,21.37230920,21.40907876,21.14249942,21.14249942,8527,180282,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.14249942,21.14249942
20161006,20.79318856,21.32634724,20.79318856,21.20684616,21673,459616,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.20684616,21.20684616
20161007,21.00461356,21.18846138,20.77480378,20.91268964,23515,491762,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.91268964,20.91268964
