Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201120,10.20000000,10.60000000,9.85000000,9.85000000,115,1133,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20201123,10.25000000,10.31000000,10.03300000,10.03300000,76,763,N/A,N/A,0,0,"NYSE","","","Common Stock",10.03300000,10.03300000
20201124,10.04600000,10.38000000,10.04600000,10.25000000,100,1025,N/A,N/A,0,0,"NYSE","","","Common Stock",10.25000000,10.25000000
20201125,10.29000000,10.70000000,10.09000000,10.11000000,326,3296,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20201126,10.29000000,10.70000000,10.09000000,10.11000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20201127,10.78700000,10.78700000,10.00000000,10.24500000,189,1936,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24500000,10.24500000
20201130,10.12000000,10.56000000,10.09000000,10.34000000,592,6121,N/A,N/A,0,0,"NYSE","","","Common Stock",10.34000000,10.34000000
20201201,10.20000000,10.50000000,10.09000000,10.50000000,908,9534,N/A,N/A,0,0,"NYSE","","","Common Stock",10.50000000,10.50000000
20201202,10.48000000,10.48000000,10.10000000,10.24000000,66,676,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24000000,10.24000000
20201203,10.30000000,10.30000000,10.24000000,10.28000000,1376,14145,N/A,N/A,0,0,"NYSE","","","Common Stock",10.28000000,10.28000000
20201204,10.49000000,10.49000000,10.01000000,10.29000000,9492,97673,N/A,N/A,0,0,"NYSE","","","Common Stock",10.29000000,10.29000000
20201207,10.68600000,10.68600000,10.30000000,10.30000000,766,7890,N/A,N/A,0,0,"NYSE","","","Common Stock",10.30000000,10.30000000
20201208,10.41000000,10.45000000,10.01000000,10.35000000,904,9356,N/A,N/A,0,0,"NYSE","","","Common Stock",10.35000000,10.35000000
20201209,10.42000000,10.70500000,10.33000000,10.40000000,2673,27799,N/A,N/A,0,0,"NYSE","","","Common Stock",10.40000000,10.40000000
20201210,10.59000000,10.75000000,10.55000000,10.59000000,2124,22493,N/A,N/A,0,0,"NYSE","","","Common Stock",10.59000000,10.59000000
20201211,10.75000000,11.11000000,10.50000000,10.66000000,8761,93392,N/A,N/A,0,0,"NYSE","","","Common Stock",10.66000000,10.66000000
20201214,10.80000000,10.80000000,10.51000000,10.60000000,95,1007,N/A,N/A,0,0,"NYSE","","","Common Stock",10.60000000,10.60000000
20201215,10.55000000,10.55000000,10.35000000,10.45000000,2924,30556,N/A,N/A,0,0,"NYSE","","","Common Stock",10.45000000,10.45000000
20201216,10.42000000,10.74500000,10.35700000,10.51000000,405,4257,N/A,N/A,0,0,"NYSE","","","Common Stock",10.51000000,10.51000000
20201217,10.64000000,10.64000000,10.48500000,10.54000000,518,5460,N/A,N/A,0,0,"NYSE","","","Common Stock",10.54000000,10.54000000
20201218,10.55000000,10.60000000,10.53000000,10.57500000,266,2813,N/A,N/A,0,0,"NYSE","","","Common Stock",10.57500000,10.57500000
20201221,10.77300000,10.89000000,10.41000000,10.57000000,238,2516,N/A,N/A,0,0,"NYSE","","","Common Stock",10.57000000,10.57000000
20201222,10.88000000,10.90000000,10.48500000,10.78000000,4865,52445,N/A,N/A,0,0,"NYSE","","","Common Stock",10.78000000,10.78000000
20201223,10.69000000,10.90000000,10.66000000,10.90000000,7022,76540,N/A,N/A,0,0,"NYSE","","","Common Stock",10.90000000,10.90000000
20201224,10.99000000,10.99000000,10.59000000,10.61000000,1959,20785,N/A,N/A,0,0,"NYSE","","","Common Stock",10.61000000,10.61000000
20201225,10.99000000,10.99000000,10.59000000,10.61000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.61000000,10.61000000
20201228,10.79000000,10.96000000,10.64500000,10.68000000,995,10627,N/A,N/A,0,0,"NYSE","","","Common Stock",10.68000000,10.68000000
20201229,10.71000000,10.71000000,10.36500000,10.40000000,1069,11118,N/A,N/A,0,0,"NYSE","","","Common Stock",10.40000000,10.40000000
20201230,10.35000000,10.59000000,9.63000000,10.53000000,19021,200291,N/A,N/A,0,0,"NYSE","","","Common Stock",10.53000000,10.53000000
20201231,10.61000000,10.61000000,10.40000000,10.42000000,380,3960,N/A,N/A,0,0,"NYSE","","","Common Stock",10.42000000,10.42000000
20210101,10.61000000,10.61000000,10.40000000,10.42000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.42000000,10.42000000
