Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19950616,6.93631927,7.39874055,6.87851661,6.93631927,62124,430912,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.93631927,6.93631927
19950619,6.99412193,7.05192459,6.53170064,6.64730597,15282,101584,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.64730597,6.64730597
19950620,6.70510863,6.76291129,6.64730597,6.64730597,8630,57366,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.64730597,6.64730597
19950621,6.70510863,6.70510863,6.47389798,6.53170064,6290,41084,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.53170064,6.53170064
19950622,6.53170064,6.99412193,6.47389798,6.76291129,5462,36939,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.76291129,6.76291129
19950623,6.82071395,6.87851661,6.70510863,6.76291129,3650,24685,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.76291129,6.76291129
19950626,6.76291129,6.82071395,6.47389798,6.53170064,5154,33664,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.53170064,6.53170064
19950627,6.58950331,6.58950331,6.47389798,6.47389798,2708,17531,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.47389798,6.47389798
19950628,6.53170064,6.53170064,6.47389798,6.47389798,5004,32395,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.47389798,6.47389798
19950629,6.47389798,6.58950331,6.47389798,6.47389798,3092,20017,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.47389798,6.47389798
19950630,6.53170064,6.64730597,6.53170064,6.58950331,950,6260,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.58950331,6.58950331
19950703,6.53170064,6.58950331,6.53170064,6.53170064,92,601,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.53170064,6.53170064
19950704,6.53170064,6.58950331,6.53170064,6.53170064,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",14.12500000,6.53170064
19950705,6.58950331,6.58950331,6.53170064,6.53170064,756,4938,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.53170064,6.53170064
19950706,6.53170064,6.58950331,6.53170064,6.53170064,814,5317,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.53170064,6.53170064
19950707,6.53170064,7.05192459,6.53170064,6.99412193,4750,33222,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",6.99412193,6.99412193
19950710,6.93631927,7.16752991,6.93631927,7.16752991,2414,17302,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",7.16752991,7.16752991
19950711,7.05192459,7.91896450,7.05192459,7.86116184,5386,42340,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",7.86116184,7.86116184
19950712,7.86116184,8.38138578,7.74555652,8.32358312,4962,41302,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.32358312,8.32358312
19950713,8.32358312,8.32358312,8.15017514,8.26578046,3840,31741,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.26578046,8.26578046
19950714,8.26578046,8.26578046,8.09237248,8.26578046,1022,8448,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.26578046,8.26578046
19950717,8.38138578,8.78600441,8.38138578,8.72820175,4802,41913,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.72820175,8.72820175
19950718,8.72820175,8.72820175,8.32358312,8.38138578,3592,30106,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.38138578,8.38138578
19950719,8.32358312,8.32358312,8.15017514,8.20797780,1016,8339,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.20797780,8.20797780
19950720,8.09237248,8.09237248,7.80335918,8.03456982,1196,9609,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.03456982,8.03456982
19950721,8.09237248,8.09237248,8.03456982,8.03456982,130,1044,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.03456982,8.03456982
19950724,8.03456982,8.15017514,7.91896450,7.91896450,1120,8869,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",7.91896450,7.91896450
19950725,7.91896450,8.15017514,7.91896450,8.09237248,2010,16266,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.09237248,8.09237248
19950726,8.20797780,8.49699110,8.20797780,8.43918844,2878,24288,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.43918844,8.43918844
19950727,8.49699110,8.67039909,8.49699110,8.61259643,1016,8750,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.61259643,8.61259643
19950728,8.67039909,8.72820175,8.61259643,8.61259643,1004,8647,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.61259643,8.61259643
19950731,8.67039909,8.67039909,8.38138578,8.55479376,608,5201,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Railroads","Common Stock",8.55479376,8.55479376
