Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210419,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210420,9.76000000,10.00000000,9.73000000,10.00000000,2010,20100,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210421,9.71000000,9.71000000,9.71000000,9.71000000,9,87,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210422,9.85000000,9.85000000,9.85000000,9.85000000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210423,9.85000000,9.85000000,9.79000000,9.80000000,14,137,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210426,9.79000000,9.79000000,9.71000000,9.71000000,35,340,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210427,9.77000000,9.79000000,9.77000000,9.79000000,21,206,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210428,9.80000000,9.80000000,9.80000000,9.80000000,10,98,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210429,9.80000000,9.84000000,9.73500000,9.80000000,124,1215,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210430,9.80400000,9.80400000,9.80100000,9.80100000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80100000,9.80100000
20210503,10.00000000,10.00000000,9.73000000,9.73500000,54,526,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73500000,9.73500000
20210504,9.73000000,9.73000000,9.73000000,9.73000000,15,146,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210505,9.77000000,9.77000000,9.77000000,9.77000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210506,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210507,10.00000000,10.00000000,9.72000000,9.73000000,532,5176,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210510,9.73000000,9.74000000,9.73000000,9.74000000,296,2883,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210511,9.71000000,9.73000000,9.71000000,9.73000000,17,165,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210512,9.71000000,9.71000000,9.71000000,9.71000000,6,58,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210513,9.71000000,9.74500000,9.70000000,9.70000000,963,9341,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210514,9.70000000,9.70000000,9.69300000,9.69300000,111,1076,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69300000,9.69300000
20210517,9.70000000,9.74000000,9.55000000,9.55000000,581,5549,N/A,N/A,0,0,"NYSE","","","Common Stock",9.55000000,9.55000000
20210518,9.63000000,9.69000000,9.63000000,9.69000000,23,223,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210519,9.70000000,9.70000000,9.70000000,9.70000000,12,116,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210520,9.74000000,9.74000000,9.69000000,9.70000000,149,1445,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210521,9.69000000,9.72000000,9.69000000,9.69000000,157,1521,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210524,9.74000000,9.74000000,9.68000000,9.72000000,41,399,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210525,9.65000000,9.72000000,9.65000000,9.70000000,184,1785,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210526,9.73000000,9.74000000,9.66000000,9.70000000,261,2532,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210527,9.69000000,9.70000000,9.69000000,9.70000000,54,524,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210528,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210531,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210601,9.71500000,9.71500000,9.69000000,9.70000000,49,475,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210602,9.69000000,9.70000000,9.69000000,9.69000000,247,2393,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20210603,9.70000000,9.70000000,9.66000000,9.67000000,280,2708,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210604,9.68000000,9.70000000,9.67000000,9.67000000,790,7639,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210607,9.67000000,9.79000000,9.67000000,9.79000000,343,3358,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210608,9.71000000,9.75000000,9.67000000,9.70000000,256,2483,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210609,9.72000000,9.76000000,9.70000000,9.70000000,850,8245,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210610,9.70000000,9.72500000,9.70000000,9.70000000,851,8255,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210611,9.71000000,9.73000000,9.71000000,9.71000000,438,4253,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
