Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070801,47.18633797,49.05024737,46.38191391,48.06924242,19073,916825,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",48.06924242,48.06924242
20070802,48.06924242,48.11829267,46.79393599,47.18633797,18891,891397,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",47.18633797,47.18633797
20070803,47.57873995,47.95152183,46.79393599,47.07842743,13637,642009,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",47.07842743,47.07842743
20070806,45.91103154,47.23538822,45.91103154,46.25438327,9915,458612,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.25438327,46.25438327
20070807,44.90059644,46.69583550,44.61610501,46.59773500,14873,693048,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.59773500,46.59773500
20070808,45.12622758,47.38253896,44.85154620,46.29362347,15504,717736,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.29362347,46.29362347
20070809,45.42052907,47.08823748,44.88097634,45.46957931,10156,461789,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.46957931,45.46957931
20070810,44.66515526,47.08823748,43.11516744,46.00913203,31001,1426329,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.00913203,46.00913203
20070813,45.41071902,48.25563336,45.37147882,47.28443847,14241,673378,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",47.28443847,47.28443847
20070814,46.89203649,48.50088460,46.35248377,47.50025955,6142,291747,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",47.50025955,47.50025955
20070815,46.84298624,48.26544341,40.22120284,45.98951193,2848,130978,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.98951193,45.98951193
20070816,44.93002659,44.93002659,43.45851917,43.45851917,10694,464745,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",43.45851917,43.45851917
20070817,44.39047387,45.11641753,43.65472016,43.89997140,12096,531014,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",43.89997140,43.89997140
20070820,43.99807189,45.96989184,43.65472016,45.03793714,6876,309681,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.03793714,45.03793714
20070821,45.11641753,46.35248377,44.87116629,46.03856218,7494,345013,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.03856218,46.03856218
20070822,46.59773500,46.84298624,45.75407075,46.23476317,6720,310698,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.23476317,46.23476317
20070823,46.10723253,46.90184654,45.45976926,45.77369085,5681,260040,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.77369085,45.77369085
20070824,45.68540040,46.10723253,44.51800451,46.08761243,4691,216197,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",46.08761243,46.08761243
20070827,45.89141144,45.95027174,44.65534521,44.91040649,3342,150091,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.91040649,44.91040649
20070828,44.91040649,44.97907684,41.39840878,43.84111110,3966,173874,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",43.84111110,43.84111110
20070829,43.89997140,44.28256333,43.46832922,44.16484273,10435,460860,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.16484273,44.16484273
20070830,44.21396937,44.30239730,43.72270304,44.14519208,3727,164529,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.14519208,44.14519208
20070831,44.21396937,45.15720071,44.21396937,44.46942786,2443,108639,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.46942786,44.46942786
20070903,44.21396937,45.15720071,44.21396937,44.46942786,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.26000000,44.46942786
20070904,44.60698243,45.66811769,44.41047590,45.19650202,3576,161623,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",45.19650202,45.19650202
20070905,44.80348896,45.29475528,44.36134926,44.46942786,2396,106549,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.46942786,44.46942786
20070906,44.56768112,44.56768112,44.06658947,44.40065057,2622,116419,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.40065057,44.40065057
20070907,44.16484273,44.51855449,44.09606545,44.51855449,4579,203850,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",44.51855449,44.51855449
20070910,44.51855449,44.95086885,43.46724455,43.69322706,2236,97698,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",43.69322706,43.69322706
20070911,42.54366386,43.52619651,42.44541059,42.82859833,4361,186776,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",42.82859833,42.82859833
20070912,42.53383853,43.36899128,42.28820537,43.36899128,6148,266633,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",43.36899128,43.36899128
