Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19980522,2.45976276,2.57157016,2.45976276,2.55479905,131944,337090,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.55479905,2.55479905
19980525,2.45976276,2.57157016,2.45976276,2.55479905,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",14.28125000,2.55479905
19980526,2.52684720,2.72810052,2.52684720,2.68337756,9133,24507,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.68337756,2.68337756
19980527,2.59393164,2.68337756,2.57157016,2.59393164,9958,25830,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.59393164,2.59393164
19980528,2.61629312,2.86226939,2.59393164,2.68337756,5407,14509,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.68337756,2.68337756
19980529,2.72810052,2.78400422,2.70573904,2.71691978,4091,11115,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.71691978,2.71691978
19980601,2.71691978,2.78400422,2.71691978,2.71691978,2055,5583,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.71691978,2.71691978
19980602,2.77282348,2.77282348,2.71691978,2.75046200,10338,28434,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.75046200,2.75046200
19980603,2.72810052,3.15296863,2.72810052,2.92935383,3944,11553,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.92935383,2.92935383
19980604,2.92935383,3.10824567,2.90699235,3.04116123,3275,9960,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.04116123,3.04116123
19980605,3.15296863,3.22005307,3.06352271,3.15296863,8338,26289,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.15296863,3.15296863
19980608,3.22005307,3.22005307,3.15296863,3.15296863,1367,4310,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.15296863,3.15296863
19980609,3.19769159,3.19769159,2.90699235,2.90699235,3498,10169,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.90699235,2.90699235
19980610,2.90699235,2.99643827,2.72810052,2.88463087,5867,16924,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.88463087,2.88463087
19980611,2.88463087,2.97407679,2.88463087,2.92935383,1640,4804,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.92935383,2.92935383
19980612,2.95171531,2.95171531,2.86226939,2.95171531,1640,4841,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.95171531,2.95171531
19980615,2.99643827,2.99643827,2.92935383,2.97407679,648,1927,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",2.97407679,2.97407679
19980616,3.01879975,3.35422195,2.95171531,3.35422195,2197,7369,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.35422195,3.35422195
19980617,3.35422195,3.65610192,3.26477603,3.57783674,5503,19689,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.57783674,3.57783674
19980618,3.66728266,3.71200562,3.39894491,3.51075230,4571,16048,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.51075230,3.51075230
19980619,3.51075230,3.51075230,3.28713751,3.30949899,1210,4004,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.30949899,3.30949899
19980622,3.39894491,3.39894491,3.24241455,3.30949899,1666,5514,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.30949899,3.30949899
19980623,3.22005307,3.26477603,3.20887233,3.22005307,4668,15031,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.22005307,3.22005307
19980624,3.22005307,3.39894491,3.22005307,3.35422195,2101,7047,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.35422195,3.35422195
19980625,3.30949899,3.64492118,3.30949899,3.55547526,4592,16327,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.55547526,3.55547526
19980626,3.53311378,3.60019822,3.44366786,3.44366786,456,1570,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.44366786,3.44366786
19980629,3.55547526,3.71200562,3.55547526,3.57783674,972,3478,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.57783674,3.57783674
19980630,3.62255970,3.62255970,3.55547526,3.55547526,729,2592,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.55547526,3.55547526
19980701,3.57783674,3.64492118,3.55547526,3.64492118,1615,5887,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.64492118,3.64492118
19980702,3.61137896,3.62255970,3.53311378,3.55547526,2060,7324,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.55547526,3.55547526
19980703,3.61137896,3.62255970,3.53311378,3.55547526,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",19.87500000,3.55547526
19980706,3.55547526,3.55547526,3.46602934,3.48839082,1104,3851,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.48839082,3.48839082
19980707,3.51075230,3.51075230,3.35422195,3.35422195,542,1818,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.35422195,3.35422195
19980708,3.33186047,3.35422195,3.17533011,3.24241455,5189,16825,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.24241455,3.24241455
19980709,3.33186047,3.37658343,3.30949899,3.30949899,921,3048,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.30949899,3.30949899
19980710,3.30949899,3.44366786,3.30949899,3.44366786,354,1219,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.44366786,3.44366786
19980713,3.48839082,3.48839082,3.42130638,3.46602934,1863,6457,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.46602934,3.46602934
19980714,3.46602934,3.48839082,3.39894491,3.44366786,147,506,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.44366786,3.44366786
19980715,3.51075230,3.62255970,3.48839082,3.62255970,1736,6289,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.62255970,3.62255970
19980716,3.48839082,3.48839082,3.44366786,3.44366786,162,558,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.44366786,3.44366786
19980717,3.57783674,3.60019822,3.44366786,3.60019822,329,1184,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",3.60019822,3.60019822
