Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.57986858,0.62625806,0.57986858,0.57986858,30,17,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800804,0.57986858,0.61466069,0.57986858,0.57986858,30,17,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800805,0.57986858,0.57986858,0.57986858,0.57986858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800806,0.57986858,0.57986858,0.57986858,0.57986858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800807,0.57986858,0.57986858,0.57986858,0.57986858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800808,0.57986858,0.57986858,0.57986858,0.57986858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800811,0.57986858,0.57986858,0.57986858,0.57986858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800812,0.57986858,0.60306332,0.57986858,0.57986858,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800813,0.57986858,0.60306332,0.57986858,0.57986858,6,3,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57986858,0.57986858
19800814,0.57986858,0.60306332,0.55667383,0.55667383,12,7,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.55667383,0.55667383
19800815,0.55667383,0.60306332,0.55667383,0.55667383,3,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.55667383,0.55667383
19800818,0.55667383,0.55667383,0.55667383,0.55667383,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.55667383,0.55667383
19800819,0.55667383,0.57986858,0.54507646,0.54507646,26,14,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800820,0.54507646,0.57986858,0.54507646,0.54507646,5,3,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800821,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800822,0.54507646,0.57986858,0.54507646,0.54507646,15,8,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800825,0.54507646,0.57986858,0.54507646,0.54507646,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800826,0.54507646,0.57986858,0.54507646,0.54507646,8,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800827,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800828,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800829,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800901,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.75000000,0.54507646
19800902,0.54507646,0.57986858,0.54507646,0.54507646,3,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800903,0.54507646,0.56827121,0.54507646,0.54507646,3,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800904,0.54507646,0.57986858,0.54507646,0.54507646,9,5,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800905,0.54507646,0.57986858,0.54507646,0.54507646,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800908,0.54507646,0.54507646,0.54507646,0.54507646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.54507646,0.54507646
19800909,0.54507646,0.55667383,0.52188172,0.52188172,24,13,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19800910,0.52188172,0.52188172,0.52188172,0.52188172,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19800911,0.52188172,0.54507646,0.52188172,0.52188172,6,3,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19800912,0.53347909,0.55667383,0.53347909,0.53347909,11,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800915,0.53347909,0.55667383,0.53347909,0.53347909,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800916,0.53347909,0.55667383,0.53347909,0.53347909,5,3,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800917,0.53347909,0.53347909,0.53347909,0.53347909,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800918,0.53347909,0.55667383,0.53347909,0.53347909,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800919,0.53347909,0.56827121,0.53347909,0.53347909,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800922,0.53347909,0.53347909,0.53347909,0.53347909,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800923,0.53347909,0.53347909,0.53347909,0.53347909,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800924,0.53347909,0.53347909,0.53347909,0.53347909,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800925,0.53347909,0.56827121,0.53347909,0.53347909,5,3,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800926,0.53347909,0.55667383,0.53347909,0.53347909,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
19800929,0.53347909,0.55667383,0.51028435,0.51028435,21,11,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.51028435,0.51028435
19800930,0.52188172,0.55667383,0.52188172,0.52188172,2,1,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19801001,0.52188172,0.55667383,0.52188172,0.52188172,8,4,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19801002,0.52188172,0.52188172,0.52188172,0.52188172,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.52188172,0.52188172
19801003,0.53347909,0.55667383,0.53347909,0.53347909,3,2,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.53347909,0.53347909
