Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.64965193,0.72608157,0.64965193,0.68786675,1752,1205,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.68786675,0.68786675
19800804,0.68786675,0.72608157,0.68786675,0.68786675,406,279,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.68786675,0.68786675
19800805,0.68786675,0.72608157,0.68786675,0.72608157,186,135,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.72608157,0.72608157
19800806,0.72608157,0.72608157,0.64965193,0.68786675,734,505,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.68786675,0.68786675
19800807,0.68786675,0.72608157,0.68786675,0.72608157,464,337,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.72608157,0.72608157
19800808,0.72608157,0.72608157,0.68786675,0.72608157,676,491,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.72608157,0.72608157
19800811,0.72608157,0.76429639,0.68786675,0.76429639,1864,1425,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.76429639,0.76429639
19800812,0.76429639,0.80251121,0.76429639,0.76429639,512,391,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.76429639,0.76429639
19800813,0.76429639,0.80251121,0.76429639,0.80251121,364,292,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.80251121,0.80251121
19800814,0.80251121,0.80251121,0.76429639,0.76429639,306,234,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.76429639,0.76429639
19800815,0.76429639,0.84072603,0.76429639,0.84072603,424,356,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.84072603,0.84072603
19800818,0.84072603,0.87894085,0.76429639,0.80251121,1242,997,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Recreation","Common Stock",0.80251121,0.80251121
