Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,3.71959791,3.71959791,3.69834306,3.71959791,194,722,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19800804,3.71959791,3.71959791,3.67708822,3.69834306,294,1087,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.69834306,3.69834306
19800805,3.69834306,3.76210760,3.67708822,3.76210760,362,1362,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.76210760,3.76210760
19800806,3.74085275,3.74085275,3.69834306,3.69834306,376,1391,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.69834306,3.69834306
19800807,3.69834306,3.71959791,3.67708822,3.71959791,646,2403,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19800808,3.71959791,3.71959791,3.63457853,3.69834306,2016,7456,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.69834306,3.69834306
19800811,3.69834306,3.82587213,3.67708822,3.78336244,344,1301,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19800812,3.78336244,3.84712698,3.78336244,3.80461729,332,1263,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.80461729,3.80461729
19800813,3.80461729,3.84712698,3.78336244,3.82587213,296,1132,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.82587213,3.82587213
19800814,3.82587213,3.82587213,3.69834306,3.74085275,730,2731,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.74085275,3.74085275
19800815,3.74085275,3.78336244,3.67708822,3.71959791,800,2976,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19800818,3.71959791,3.71959791,3.65583337,3.65583337,422,1543,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.65583337,3.65583337
19800819,3.61332368,3.61332368,3.44328492,3.52830430,1888,6661,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.52830430,3.52830430
19800820,3.50704946,3.50704946,3.44328492,3.44328492,144,496,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.44328492,3.44328492
19800821,3.44328492,3.63457853,3.44328492,3.57081399,3690,13176,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.57081399,3.57081399
19800822,3.59206884,3.71959791,3.59206884,3.69834306,2016,7456,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.69834306,3.69834306
19800825,3.63457853,3.63457853,3.50704946,3.54955915,486,1725,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.54955915,3.54955915
19800826,3.54955915,3.57081399,3.48579461,3.52830430,740,2611,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.52830430,3.52830430
19800827,3.52830430,3.54955915,3.40077523,3.40077523,1262,4292,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.40077523,3.40077523
19800828,3.40077523,3.44328492,3.37952039,3.44328492,746,2569,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.44328492,3.44328492
19800829,3.44328492,3.44328492,3.40077523,3.44328492,36,124,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.44328492,3.44328492
19800901,3.44328492,3.44328492,3.40077523,3.44328492,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",20.25000000,3.44328492
19800902,3.44328492,3.48579461,3.40077523,3.48579461,166,579,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.48579461,3.48579461
19800903,3.48579461,3.59206884,3.46453977,3.59206884,422,1516,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.59206884,3.59206884
19800904,3.61332368,3.69834306,3.61332368,3.61332368,1142,4126,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.61332368,3.61332368
19800905,3.61332368,3.71959791,3.59206884,3.71959791,186,692,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19800908,3.74085275,3.80461729,3.74085275,3.76210760,962,3619,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.76210760,3.76210760
19800909,3.76210760,3.76210760,3.67708822,3.69834306,568,2101,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.69834306,3.69834306
19800910,3.69834306,3.74085275,3.61332368,3.61332368,1542,5572,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.61332368,3.61332368
19800911,3.61332368,3.61332368,3.48579461,3.61332368,1128,4076,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.61332368,3.61332368
19800912,3.61332368,3.61332368,3.57081399,3.57081399,1104,3942,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.57081399,3.57081399
19800915,3.57081399,3.65583337,3.52830430,3.65583337,554,2025,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.65583337,3.65583337
19800916,3.65583337,3.74085275,3.65583337,3.71959791,1306,4858,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19800917,3.74085275,3.78336244,3.74085275,3.78336244,394,1491,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19800918,3.78336244,3.91089152,3.78336244,3.78336244,1400,5297,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19800919,3.78336244,3.80461729,3.74085275,3.80461729,404,1537,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.80461729,3.80461729
19800922,3.80461729,3.82587213,3.76210760,3.80461729,302,1149,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.80461729,3.80461729
19800923,3.80461729,3.86838183,3.65583337,3.65583337,380,1389,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.65583337,3.65583337
19800924,3.65583337,3.69834306,3.61332368,3.67708822,250,919,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.67708822,3.67708822
19800925,3.63457853,3.63457853,3.61332368,3.63457853,288,1047,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.63457853,3.63457853
19800926,3.63457853,3.63457853,3.57081399,3.59206884,806,2895,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.59206884,3.59206884
19800929,3.54955915,3.54955915,3.46453977,3.46453977,590,2044,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.46453977,3.46453977
19800930,3.46453977,3.48579461,3.44328492,3.48579461,792,2761,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.48579461,3.48579461
19801001,3.48579461,3.57081399,3.46453977,3.57081399,1030,3678,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.57081399,3.57081399
19801002,3.57081399,3.74085275,3.57081399,3.71959791,714,2656,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19801003,3.71959791,3.71959791,3.67708822,3.71959791,394,1466,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.71959791,3.71959791
19801006,3.71959791,3.76210760,3.71959791,3.76210760,554,2084,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.76210760,3.76210760
19801007,3.76210760,3.80461729,3.76210760,3.78336244,204,772,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19801008,3.78336244,3.82587213,3.78336244,3.78336244,2064,7809,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19801009,3.78336244,3.91089152,3.78336244,3.88963667,1546,6013,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.88963667,3.88963667
19801010,3.88963667,3.91089152,3.84712698,3.84712698,652,2508,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.84712698,3.84712698
19801013,3.82587213,3.82587213,3.76210760,3.76210760,76,286,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.76210760,3.76210760
19801014,3.76210760,3.82587213,3.76210760,3.76210760,440,1655,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.76210760,3.76210760
19801015,3.76210760,3.84712698,3.76210760,3.82587213,1334,5104,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.82587213,3.82587213
19801016,3.82587213,3.84712698,3.78336244,3.78336244,208,787,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.78336244,3.78336244
19801017,3.78336244,3.80461729,3.65583337,3.65583337,1044,3817,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.65583337,3.65583337
19801020,3.61332368,3.61332368,3.52830430,3.52830430,1058,3733,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.52830430,3.52830430
19801021,3.52830430,3.52830430,3.46453977,3.46453977,766,2654,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.46453977,3.46453977
19801022,3.46453977,3.46453977,3.40077523,3.42203008,596,2040,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.42203008,3.42203008
19801023,3.42203008,3.44328492,3.40077523,3.40077523,908,3088,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.40077523,3.40077523
19801024,3.40077523,3.40077523,3.33701070,3.40077523,898,3054,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.40077523,3.40077523
19801027,3.40077523,3.40077523,3.23073647,3.27324616,1570,5139,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.27324616,3.27324616
19801028,3.27324616,3.27324616,3.20948162,3.25199131,632,2055,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.25199131,3.25199131
19801029,3.25199131,3.25199131,3.20948162,3.23073647,616,1990,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.23073647,3.23073647
19801030,3.18822678,3.18822678,3.16697193,3.18822678,786,2506,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.18822678,3.18822678
19801031,3.18822678,3.18822678,3.06069771,3.18822678,4940,15750,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.18822678,3.18822678
19801103,3.18822678,3.18822678,3.14571709,3.18822678,580,1849,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",3.18822678,3.18822678
19801104,3.18822678,3.18822678,3.14571709,3.18822678,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",18.75000000,3.18822678
