Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180619,2.99000000,2.99000000,2.98000000,2.99000000,14,42,N/A,N/A,48970,16378,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.99000000,2.99000000
20180620,2.90000000,2.94500000,2.90000000,2.94000000,142,417,N/A,N/A,48296,16427,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.94000000,2.94000000
20180621,3.00000000,3.23000000,2.90000000,3.23000000,241,778,N/A,N/A,55513,17187,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.23000000,3.23000000
20180622,3.25000000,3.25000000,3.10000000,3.19000000,64,204,N/A,N/A,54855,17196,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.19000000,3.19000000
20180625,3.19000000,3.22000000,3.00000000,3.05000000,467,1424,N/A,N/A,51836,16995,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.05000000,3.05000000
20180626,3.02500000,3.19000000,2.99800000,3.01000000,90,271,N/A,N/A,50662,16831,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.01000000,3.01000000
20180627,3.01000000,3.05000000,2.89000000,3.05000000,233,711,N/A,N/A,51892,17014,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.05000000,3.05000000
20180628,2.89000000,3.03000000,2.81000000,3.03000000,122,370,N/A,N/A,51553,17014,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.03000000,3.03000000
20180629,3.09000000,3.09000000,3.02000000,3.07000000,46,141,N/A,N/A,52274,17027,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.07000000,3.07000000
20180702,3.00000000,3.11000000,3.00000000,3.11000000,13,40,N/A,N/A,53066,17063,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.11000000,3.11000000
20180703,2.88000000,3.00000000,2.76000000,3.00000000,179,537,N/A,N/A,51338,17113,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180704,2.88000000,3.00000000,2.76000000,3.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180705,3.05000000,3.05000000,2.91000000,2.91000000,19,55,N/A,N/A,49830,17124,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.91000000,2.91000000
20180706,2.90000000,3.03000000,2.80000000,3.02000000,121,365,N/A,N/A,51853,17170,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.02000000,3.02000000
20180709,2.80000000,3.04000000,2.80000000,3.00000000,96,288,N/A,N/A,52462,17487,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180710,3.00000000,3.00000000,3.00000000,3.00000000,1,3,N/A,N/A,53337,17779,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180711,3.00000000,3.06000000,2.71000000,3.03000000,77,233,N/A,N/A,54316,17926,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.03000000,3.03000000
20180712,3.00000000,3.05000000,3.00000000,3.00000000,8,24,N/A,N/A,53839,17946,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180713,3.03000000,3.03000000,3.03000000,3.03000000,7,21,N/A,N/A,54825,18094,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.03000000,3.03000000
20180716,2.91000000,3.00000000,2.75000000,3.00000000,139,417,N/A,N/A,55393,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",3.00000000,3.00000000
20180717,2.85000000,2.95000000,2.75000000,2.90000000,201,583,N/A,N/A,53547,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.90000000,2.90000000
20180718,2.86000000,2.90000000,2.86000000,2.90000000,9,26,N/A,N/A,53547,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.90000000,2.90000000
20180719,2.85000000,2.89000000,2.71000000,2.82000000,66,186,N/A,N/A,52070,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.82000000,2.82000000
20180720,2.90000000,2.90000000,2.72000000,2.87000000,14,40,N/A,N/A,52993,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.87000000,2.87000000
20180723,2.74000000,2.74000000,2.69000000,2.69000000,92,247,N/A,N/A,49669,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.69000000,2.69000000
20180724,2.85000000,2.88000000,2.76000000,2.88000000,26,75,N/A,N/A,53177,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.88000000,2.88000000
20180725,2.87000000,2.87000000,2.87000000,2.87000000,10,29,N/A,N/A,52993,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.87000000,2.87000000
20180726,2.76000000,2.87000000,2.75000000,2.87000000,29,83,N/A,N/A,52993,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.87000000,2.87000000
20180727,2.75000000,2.82500000,2.75000000,2.75000000,20,55,N/A,N/A,50777,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.75000000,2.75000000
20180730,2.80000000,2.80000000,2.72000000,2.72000000,32,87,N/A,N/A,50223,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.72000000,2.72000000
20180731,2.70000000,2.74000000,2.50000000,2.74000000,214,586,N/A,N/A,50592,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.74000000,2.74000000
20180801,2.68500000,2.73000000,2.63000000,2.73000000,33,90,N/A,N/A,50408,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.73000000,2.73000000
20180802,2.65000000,2.70000000,2.59000000,2.70000000,4775,12893,N/A,N/A,49854,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.70000000,2.70000000
20180803,2.60000000,2.60000000,2.60000000,2.60000000,2,5,N/A,N/A,48007,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.60000000,2.60000000
20180806,2.64000000,2.64000000,2.64000000,2.64000000,15,40,N/A,N/A,48746,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.64000000,2.64000000
20180807,2.64000000,2.64000000,2.64000000,2.64000000,0,0,N/A,N/A,48746,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.64000000,2.64000000
20180808,2.61000000,2.61000000,2.50000000,2.54000000,275,699,N/A,N/A,46900,18464,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.54000000,2.54000000
20180809,2.46000000,2.55000000,2.33000000,2.45000000,193,473,N/A,N/A,45323,18499,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.45000000,2.45000000
20180810,2.41000000,2.45000000,2.40000000,2.45000000,27,66,N/A,N/A,45323,18499,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.45000000,2.45000000
20180813,2.36000000,2.45000000,2.32000000,2.40000000,492,1181,N/A,N/A,44398,18499,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.40000000,2.40000000
20180814,2.30000000,2.31000000,2.07000000,2.10000000,331,695,N/A,N/A,38848,18499,"NYSE MKTS LLC","Industrials","Industrials/Diversified Industrials","Common Stock",2.10000000,2.10000000
