Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19951010,5.54455548,5.54455548,5.43583870,5.54455548,2210,12253,N/A,N/A,0,0,"NYSE","","","Common Stock",5.54455548,5.54455548
19951011,5.54455548,5.65327225,5.49019709,5.65327225,529,2991,N/A,N/A,0,0,"NYSE","","","Common Stock",5.65327225,5.65327225
19951012,5.70763064,6.35993128,5.65327225,5.97942257,2992,17890,N/A,N/A,0,0,"NYSE","","","Common Stock",5.97942257,5.97942257
19951013,6.08813935,6.30557290,6.08813935,6.25121451,1558,9739,N/A,N/A,0,0,"NYSE","","","Common Stock",6.25121451,6.25121451
19951016,6.41428967,6.41428967,6.03378096,6.12211334,1004,6147,N/A,N/A,0,0,"NYSE","","","Common Stock",6.12211334,6.12211334
19951017,6.25121451,6.41428967,6.25121451,6.35993128,3924,24956,N/A,N/A,0,0,"NYSE","","","Common Stock",6.35993128,6.35993128
19951018,6.35993128,6.41428967,6.25121451,6.35993128,2304,14653,N/A,N/A,0,0,"NYSE","","","Common Stock",6.35993128,6.35993128
19951019,6.35993128,6.41428967,6.25121451,6.25121451,1446,9039,N/A,N/A,0,0,"NYSE","","","Common Stock",6.25121451,6.25121451
19951020,6.41428967,6.41428967,6.25121451,6.35993128,856,5444,N/A,N/A,0,0,"NYSE","","","Common Stock",6.35993128,6.35993128
19951023,6.35993128,6.35993128,6.19685612,6.19685612,218,1351,N/A,N/A,0,0,"NYSE","","","Common Stock",6.19685612,6.19685612
19951024,6.30557290,6.30557290,6.08813935,6.08813935,382,2326,N/A,N/A,0,0,"NYSE","","","Common Stock",6.08813935,6.08813935
19951025,6.14249773,6.14249773,5.92506419,5.94544858,700,4162,N/A,N/A,0,0,"NYSE","","","Common Stock",5.94544858,5.94544858
19951026,5.97942257,6.03378096,5.65327225,5.65327225,409,2312,N/A,N/A,0,0,"NYSE","","","Common Stock",5.65327225,5.65327225
19951027,5.59891386,5.92506419,5.38148032,5.92506419,985,5836,N/A,N/A,0,0,"NYSE","","","Common Stock",5.92506419,5.92506419
19951030,5.97942257,6.03378096,5.87070580,5.97942257,304,1818,N/A,N/A,0,0,"NYSE","","","Common Stock",5.97942257,5.97942257
19951031,5.97942257,6.03378096,5.87070580,5.92506419,1509,8941,N/A,N/A,0,0,"NYSE","","","Common Stock",5.92506419,5.92506419
