Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.01233421,1.03244681,1.01233421,1.01233421,1235,1250,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.01233421,1.01233421
19800804,1.01233421,1.02574261,1.01233421,1.01233421,1127,1141,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.01233421,1.01233421
19800805,1.01233421,1.02574261,1.01233421,1.01233421,1053,1066,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.01233421,1.01233421
19800806,1.01903841,1.02574261,1.01903841,1.01903841,1505,1534,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.01903841,1.01903841
19800807,1.01903841,1.02574261,1.01233421,1.01233421,182,184,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.01233421,1.01233421
19800808,1.03244681,1.03915101,1.03244681,1.03244681,574,593,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.03244681,1.03244681
19800811,1.04585521,1.05926361,1.04585521,1.04585521,547,572,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.04585521,1.04585521
19800812,1.05255941,1.05926361,1.05255941,1.05255941,500,526,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.05255941,1.05255941
19800813,1.09948881,1.11289721,1.09948881,1.09948881,1789,1967,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.09948881,1.09948881
19800814,1.12630561,1.13971401,1.12630561,1.12630561,1512,1703,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.12630561,1.12630561
19800815,1.12630561,1.13971401,1.12630561,1.12630561,1202,1354,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.12630561,1.12630561
19800818,1.11289721,1.11289721,1.09948881,1.09948881,824,906,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.09948881,1.09948881
19800819,1.09948881,1.11289721,1.09948881,1.09948881,682,750,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.09948881,1.09948881
19800820,1.09948881,1.11289721,1.09948881,1.09948881,702,772,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.09948881,1.09948881
19800821,1.10619301,1.11289721,1.10619301,1.10619301,270,299,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.10619301,1.10619301
19800822,1.11960141,1.12630561,1.11960141,1.11960141,1087,1217,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11960141,1.11960141
19800825,1.11960141,1.12630561,1.11960141,1.11960141,547,612,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11960141,1.11960141
19800826,1.11960141,1.11960141,1.11289721,1.11289721,1127,1254,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11289721,1.11289721
19800827,1.11289721,1.12630561,1.11289721,1.11289721,1067,1187,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11289721,1.11289721
19800828,1.11289721,1.12630561,1.11289721,1.11289721,1195,1330,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11289721,1.11289721
19800829,1.11289721,1.11289721,1.10619301,1.10619301,513,567,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.10619301,1.10619301
19800901,1.11289721,1.11289721,1.10619301,1.10619301,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",20.62500000,1.10619301
19800902,1.10619301,1.11289721,1.10619301,1.10619301,230,254,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.10619301,1.10619301
19800903,1.11289721,1.11960141,1.11289721,1.11289721,331,368,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11289721,1.11289721
19800904,1.11960141,1.13971401,1.11960141,1.11960141,1337,1497,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.11960141,1.11960141
19800905,1.13971401,1.14641821,1.13971401,1.13971401,1235,1408,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.13971401,1.13971401
19800908,1.13971401,1.14641821,1.13971401,1.13971401,898,1023,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.13971401,1.13971401
19800909,1.13971401,1.15312241,1.13971401,1.13971401,2383,2716,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.13971401,1.13971401
19800910,1.15312241,1.16653081,1.15312241,1.15312241,682,786,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.15312241,1.15312241
19800911,1.16653081,1.17993921,1.16653081,1.16653081,864,1008,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.16653081,1.16653081
19800912,1.21346021,1.23357282,1.21346021,1.21346021,2052,2490,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.21346021,1.21346021
19800915,1.24027702,1.24698122,1.24027702,1.24027702,1222,1516,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.24027702,1.24027702
19800916,1.27379802,1.28050222,1.27379802,1.27379802,3557,4531,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.27379802,1.27379802
19800917,1.27379802,1.28720642,1.27379802,1.27379802,3740,4764,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Steel","Common Stock",1.27379802,1.27379802
