Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.56842842,0.56842842,0.56842842,0.56842842,71,40,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56842842,0.56842842
19800804,0.56842842,0.56842842,0.56842842,0.56842842,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56842842,0.56842842
19800805,0.57226915,0.57418951,0.57226915,0.57418951,41,24,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57418951,0.57418951
19800806,0.57610988,0.58379135,0.57610988,0.58379135,101,59,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58379135,0.58379135
19800807,0.58379135,0.58379135,0.58379135,0.58379135,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58379135,0.58379135
19800808,0.58763208,0.58763208,0.58763208,0.58763208,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58763208,0.58763208
19800811,0.58571171,0.58571171,0.58379135,0.58379135,30,18,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58379135,0.58379135
19800812,0.58571171,0.58571171,0.58571171,0.58571171,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800813,0.58571171,0.58571171,0.58571171,0.58571171,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800814,0.58187098,0.58187098,0.57995061,0.57995061,30,17,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57995061,0.57995061
19800815,0.58379135,0.58571171,0.58379135,0.58571171,71,42,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800818,0.58571171,0.58571171,0.58571171,0.58571171,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800819,0.58571171,0.58571171,0.58187098,0.58187098,30,17,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58187098,0.58187098
19800820,0.58571171,0.58571171,0.58571171,0.58571171,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800821,0.58571171,0.58571171,0.58571171,0.58571171,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58571171,0.58571171
19800822,0.58571171,0.58571171,0.58379135,0.58379135,30,18,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58379135,0.58379135
19800825,0.57995061,0.57995061,0.57995061,0.57995061,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57995061,0.57995061
19800826,0.57803025,0.57803025,0.57418951,0.57610988,203,117,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57610988,0.57610988
19800827,0.57610988,0.57610988,0.57610988,0.57610988,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57610988,0.57610988
19800828,0.57610988,0.57610988,0.57034878,0.57034878,51,29,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57034878,0.57034878
19800829,0.57034878,0.57034878,0.57034878,0.57034878,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57034878,0.57034878
19800901,0.57034878,0.57034878,0.57034878,0.57034878,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",37.12500000,0.57034878
19800902,0.56842842,0.56842842,0.56266732,0.56458768,91,51,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56458768,0.56458768
19800903,0.57418951,0.57418951,0.57418951,0.57418951,51,29,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57418951,0.57418951
19800904,0.57418951,0.57803025,0.57418951,0.57418951,20,11,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57418951,0.57418951
19800905,0.57418951,0.57995061,0.57034878,0.57034878,132,75,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57034878,0.57034878
19800908,0.56842842,0.56842842,0.56266732,0.56650805,132,75,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56650805,0.56650805
19800909,0.56842842,0.56842842,0.56842842,0.56842842,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56842842,0.56842842
19800910,0.56842842,0.56842842,0.56842842,0.56842842,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56842842,0.56842842
19800911,0.56842842,0.57418951,0.56650805,0.57418951,101,58,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57418951,0.57418951
19800912,0.57803025,0.58187098,0.57803025,0.58187098,71,41,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58187098,0.58187098
19800915,0.58187098,0.58187098,0.58187098,0.58187098,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58187098,0.58187098
19800916,0.58187098,0.58187098,0.58187098,0.58187098,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58187098,0.58187098
19800917,0.57803025,0.57803025,0.57803025,0.57803025,20,12,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57803025,0.57803025
19800918,0.57803025,0.57803025,0.57610988,0.57803025,41,24,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57803025,0.57803025
19800919,0.57418951,0.57418951,0.57034878,0.57034878,101,58,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57034878,0.57034878
19800922,0.56842842,0.56842842,0.56842842,0.56842842,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.56842842,0.56842842
19800923,0.57226915,0.57803025,0.57226915,0.57803025,111,64,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57803025,0.57803025
19800924,0.58187098,0.58763208,0.58187098,0.58763208,41,24,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58763208,0.58763208
19800925,0.58955244,0.59123276,0.58955244,0.59123276,20,12,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.59123276,0.59123276
19800926,0.58763208,0.58763208,0.58763208,0.58763208,10,6,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.58763208,0.58763208
19800929,0.58379135,0.58379135,0.57995061,0.57995061,41,24,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57995061,0.57995061
19800930,0.57610988,0.57610988,0.57610988,0.57610988,20,12,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",0.57610988,0.57610988
