Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.54909735,0.54909735,0.53166569,0.53166569,272,145,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.53166569,0.53166569
19800804,0.54038152,0.54909735,0.54038152,0.54038152,928,501,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.54038152,0.54038152
19800805,0.54038152,0.54909735,0.54038152,0.54038152,448,242,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.54038152,0.54038152
19800806,0.57524484,0.58396067,0.57524484,0.57524484,1440,828,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.57524484,0.57524484
19800807,0.57524484,0.57524484,0.57524484,0.57524484,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.57524484,0.57524484
19800808,0.57524484,0.58396067,0.55781318,0.55781318,384,214,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.55781318,0.55781318
19800811,0.55781318,0.58396067,0.55781318,0.55781318,512,286,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.55781318,0.55781318
19800812,0.60139233,0.62753983,0.60139233,0.60139233,5696,3426,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.60139233,0.60139233
19800813,0.62753983,0.65368732,0.62753983,0.62753983,5984,3755,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800814,0.62753983,0.64497149,0.62753983,0.62753983,2240,1406,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800815,0.62753983,0.63625566,0.61010817,0.61010817,432,264,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.61010817,0.61010817
19800818,0.61010817,0.61882400,0.59267650,0.59267650,656,389,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.59267650,0.59267650
19800819,0.59267650,0.60139233,0.57524484,0.57524484,1248,718,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.57524484,0.57524484
19800820,0.57524484,0.59267650,0.56652901,0.56652901,2608,1478,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.56652901,0.56652901
19800821,0.57524484,0.58396067,0.57524484,0.57524484,3216,1850,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.57524484,0.57524484
19800822,0.59267650,0.60139233,0.59267650,0.59267650,7776,4609,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.59267650,0.59267650
19800825,0.60139233,0.61010817,0.60139233,0.60139233,2976,1790,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.60139233,0.60139233
19800826,0.62753983,0.64497149,0.62753983,0.62753983,7840,4920,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800827,0.62753983,0.64497149,0.62753983,0.62753983,3200,2008,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800828,0.62753983,0.63625566,0.62753983,0.62753983,4928,3093,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800829,0.62753983,0.64497149,0.62753983,0.62753983,1776,1115,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.62753983,0.62753983
19800901,0.62753983,0.64497149,0.62753983,0.62753983,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",18.00000000,0.62753983
19800902,0.66240315,0.67111898,0.66240315,0.66240315,3296,2183,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.66240315,0.66240315
19800903,0.68855064,0.69726648,0.68855064,0.68855064,6720,4627,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.68855064,0.68855064
19800904,0.67983481,0.67983481,0.67111898,0.67111898,6048,4059,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.67111898,0.67111898
19800905,0.67111898,0.68855064,0.67111898,0.67111898,1808,1213,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.67111898,0.67111898
19800908,0.67111898,0.67983481,0.66240315,0.66240315,1648,1092,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.66240315,0.66240315
19800909,0.66240315,0.67111898,0.65368732,0.65368732,848,554,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.65368732,0.65368732
19800910,0.68855064,0.70598231,0.68855064,0.68855064,4752,3272,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.68855064,0.68855064
19800911,0.71469814,0.73212980,0.71469814,0.71469814,5792,4140,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.71469814,0.71469814
19800912,0.71469814,0.73212980,0.71469814,0.71469814,4256,3042,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.71469814,0.71469814
19800915,0.71469814,0.72341397,0.70598231,0.70598231,2624,1852,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.70598231,0.70598231
19800916,0.74084563,0.74956146,0.74084563,0.74084563,4464,3307,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.74084563,0.74084563
19800917,0.76699312,0.77570895,0.76699312,0.76699312,7008,5375,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.76699312,0.76699312
19800918,0.74956146,0.74956146,0.73212980,0.73212980,2992,2191,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.73212980,0.73212980
19800919,0.74956146,0.76699312,0.74956146,0.74956146,1552,1163,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.74956146,0.74956146
19800922,0.74956146,0.76699312,0.74956146,0.74956146,640,480,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.74956146,0.74956146
19800923,0.74084563,0.74084563,0.72341397,0.72341397,1872,1354,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.72341397,0.72341397
19800924,0.72341397,0.73212980,0.72341397,0.72341397,672,486,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.72341397,0.72341397
19800925,0.72341397,0.72341397,0.70598231,0.70598231,1072,757,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.70598231,0.70598231
19800926,0.70598231,0.70598231,0.68855064,0.68855064,608,419,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.68855064,0.68855064
19800929,0.67983481,0.67983481,0.66240315,0.66240315,896,594,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.66240315,0.66240315
19800930,0.67111898,0.68855064,0.67111898,0.67111898,3072,2062,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.67111898,0.67111898
19801001,0.67111898,0.67983481,0.66240315,0.66240315,1440,954,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.66240315,0.66240315
19801002,0.67111898,0.68855064,0.67111898,0.67111898,880,591,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.67111898,0.67111898
19801003,0.71469814,0.73212980,0.71469814,0.71469814,1216,869,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.71469814,0.71469814
19801006,0.74084563,0.75827729,0.74084563,0.74084563,912,676,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.74084563,0.74084563
19801007,0.74084563,0.75827729,0.73212980,0.73212980,2448,1792,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.73212980,0.73212980
19801008,0.73212980,0.75827729,0.73212980,0.73212980,976,715,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.73212980,0.73212980
19801009,0.73212980,0.74956146,0.73212980,0.73212980,1760,1289,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.73212980,0.73212980
19801010,0.73212980,0.74956146,0.73212980,0.73212980,208,152,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.73212980,0.73212980
19801013,0.73212980,0.74956146,0.72341397,0.72341397,800,579,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.72341397,0.72341397
19801014,0.72341397,0.74084563,0.71469814,0.71469814,672,480,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",0.71469814,0.71469814
