Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19910719,7.18211844,7.33174591,7.09234196,7.18211844,138082,991721,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.18211844,7.18211844
19910722,7.15219294,7.18211844,7.09234196,7.18211844,45318,325479,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.18211844,7.18211844
19910723,7.15219294,7.18211844,7.12226745,7.18211844,20282,145668,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.18211844,7.18211844
19910724,7.15219294,7.24196943,7.15219294,7.24196943,8058,58356,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.24196943,7.24196943
19910725,7.21204393,7.45144788,7.21204393,7.39159689,9696,71669,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.39159689,7.39159689
19910726,7.42152239,7.48137337,7.36167140,7.39159689,7814,57758,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.39159689,7.39159689
19910729,7.36167140,7.39159689,7.27189492,7.30182041,4674,34129,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.30182041,7.30182041
19910730,7.33174591,7.42152239,7.33174591,7.42152239,6608,49041,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.42152239,7.42152239
19910731,7.45144788,7.66092633,7.45144788,7.57114985,8352,63234,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.57114985,7.57114985
19910801,7.57114985,7.66092633,7.57114985,7.57114985,16432,124409,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.57114985,7.57114985
19910802,7.66092633,7.66092633,7.48137337,7.60107535,12374,94056,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.60107535,7.60107535
19910805,7.57114985,7.57114985,7.39159689,7.42152239,5666,42050,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.42152239,7.42152239
19910806,7.39159689,7.54122436,7.39159689,7.54122436,4234,31930,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.54122436,7.54122436
19910807,7.54122436,7.63100084,7.42152239,7.42152239,6546,48581,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.42152239,7.42152239
19910808,7.42152239,7.42152239,7.30182041,7.33174591,2940,21555,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.33174591,7.33174591
19910809,7.33174591,7.36167140,7.24196943,7.24196943,2770,20060,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.24196943,7.24196943
19910812,7.24196943,7.24196943,7.18211844,7.18211844,3048,21891,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.18211844,7.18211844
19910813,7.18211844,7.30182041,7.15219294,7.15219294,5464,39080,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.15219294,7.15219294
19910814,7.18211844,7.21204393,7.12226745,7.21204393,3016,21752,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",7.21204393,7.21204393
