Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20111013,10.44778097,11.28360345,8.98509164,9.61195850,8481,81519,N/A,N/A,0,0,"NYSE","","","Common Stock",9.61195850,9.61195850
20111014,9.65374962,9.69554074,9.06867389,9.27762950,4137,38382,N/A,N/A,0,0,"NYSE","","","Common Stock",9.27762950,9.27762950
20111017,9.19404726,9.19404726,8.77613602,8.90986761,6689,59598,N/A,N/A,0,0,"NYSE","","","Common Stock",8.90986761,8.90986761
20111018,8.86807649,9.46986867,8.60897152,9.15225613,2250,20593,N/A,N/A,0,0,"NYSE","","","Common Stock",9.15225613,9.15225613
20111019,9.27762950,9.52837625,8.85136004,8.95165874,2439,21833,N/A,N/A,0,0,"NYSE","","","Common Stock",8.95165874,8.95165874
20111020,8.94330051,9.19404726,8.77613602,8.91822584,5781,51556,N/A,N/A,0,0,"NYSE","","","Common Stock",8.91822584,8.91822584
20111021,8.91822584,9.16061436,8.65912087,8.85971827,5095,45140,N/A,N/A,0,0,"NYSE","","","Common Stock",8.85971827,8.85971827
20111024,8.94330051,8.98509164,8.78449424,8.87643472,1961,17407,N/A,N/A,0,0,"NYSE","","","Common Stock",8.87643472,8.87643472
20111025,8.91822584,8.91822584,8.53374750,8.60897152,8546,73572,N/A,N/A,0,0,"NYSE","","","Common Stock",8.60897152,8.60897152
20111026,8.52538927,8.75941957,8.52538927,8.58389685,15844,136003,N/A,N/A,0,0,"NYSE","","","Common Stock",8.58389685,8.58389685
20111027,8.65076265,8.89315116,8.60897152,8.74270312,16933,148040,N/A,N/A,0,0,"NYSE","","","Common Stock",8.74270312,8.74270312
20111028,8.85971827,9.24419661,8.44180703,9.12718146,14907,136059,N/A,N/A,0,0,"NYSE","","","Common Stock",9.12718146,9.12718146
20111031,8.65076265,10.12181021,8.65076265,9.44479400,354228,3345610,N/A,N/A,0,0,"NYSE","","","Common Stock",9.44479400,9.44479400
20111101,8.63404620,9.90449636,8.55046395,9.77912299,127919,1250936,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77912299,9.77912299
20111102,9.80419767,9.84598879,9.16897258,9.60360027,50567,485625,N/A,N/A,0,0,"NYSE","","","Common Stock",9.60360027,9.60360027
