Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20050516,195.71240117,197.34333785,195.54930750,195.71240117,1970,385553,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.71240117,195.71240117
20050517,195.71240117,195.87549484,185.11131277,190.00412280,775,147253,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",190.00412280,190.00412280
20050518,190.00412280,190.81959114,186.74224945,190.00412280,75,14250,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",190.00412280,190.00412280
20050519,189.18865446,191.30887214,188.21009246,190.16721647,53,10079,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",190.16721647,190.16721647
20050520,190.00412280,193.26599615,190.00412280,191.63505948,95,18205,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",191.63505948,191.63505948
20050523,190.81959114,193.59218349,187.55771779,192.28743415,116,22305,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",192.28743415,192.28743415
20050524,190.81959114,193.75527716,188.37318613,190.81959114,45,8587,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",190.81959114,190.81959114
20050525,190.81959114,192.93980882,190.81959114,192.45052782,32,6158,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",192.45052782,192.45052782
20050526,191.63505948,195.38621383,191.63505948,194.89693283,17,3313,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",194.89693283,194.89693283
20050527,194.57074550,196.52786951,193.75527716,194.73383916,48,9347,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",194.73383916,194.73383916
20050530,194.57074550,196.52786951,193.75527716,194.73383916,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",11.94000000,194.73383916
20050531,193.10290249,196.85405684,190.81959114,194.89693283,39,7601,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",194.89693283,194.89693283
20050601,194.89693283,196.85405684,193.26599615,195.06002650,72,14044,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.06002650,195.06002650
20050602,193.42908982,196.69096317,192.12434048,196.69096317,43,8458,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.69096317,196.69096317
20050603,195.71240117,196.69096317,193.59218349,195.71240117,27,5284,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.71240117,195.71240117
20050606,194.08146449,197.34333785,192.45052782,196.52786951,55,10809,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.52786951,196.52786951
20050607,195.06002650,197.34333785,194.57074550,196.52786951,53,10416,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.52786951,196.52786951
20050608,194.89693283,197.18024418,194.89693283,196.52786951,58,11399,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.52786951,196.52786951
20050609,194.89693283,197.99571252,194.08146449,196.52786951,36,7075,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.52786951,196.52786951
20050610,196.52786951,196.52786951,193.26599615,195.71240117,14,2740,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.71240117,195.71240117
20050613,194.08146449,196.36477584,194.08146449,196.03858850,26,5097,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",196.03858850,196.03858850
20050614,195.71240117,195.71240117,194.08146449,195.71240117,10,1957,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.71240117,195.71240117
20050615,195.38621383,196.36477584,193.26599615,194.89693283,37,7211,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",194.89693283,194.89693283
20050616,194.08146449,196.20168217,193.26599615,195.38621383,24,4689,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.38621383,195.38621383
20050617,194.89693283,194.89693283,188.37318613,193.59218349,51,9873,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",193.59218349,193.59218349
20050620,192.93980882,196.36477584,190.81959114,195.87549484,47,9206,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.87549484,195.87549484
20050621,195.71240117,195.71240117,193.26599615,195.71240117,31,6067,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",195.71240117,195.71240117
20050622,195.38621383,195.38621383,185.92678111,191.63505948,48,9198,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",191.63505948,191.63505948
20050623,190.81959114,190.81959114,185.92678111,189.51484180,19,3601,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",189.51484180,189.51484180
