Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19970917,3.77880553,3.97596060,3.77880553,3.82809430,291854,1117245,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.82809430,3.82809430
19970918,3.87738307,3.95953102,3.84452389,3.95953102,67319,266552,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.95953102,3.95953102
19970919,3.95131622,4.07453814,3.95131622,3.97596060,34402,136781,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.97596060,3.97596060
19970922,3.94310143,3.99239019,3.93488663,3.94310143,58311,229926,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.94310143,3.94310143
19970923,3.94310143,3.95953102,3.93488663,3.94310143,27386,107986,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.94310143,3.94310143
19970924,3.95131622,3.95953102,3.93488663,3.94310143,25756,101559,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",3.94310143,3.94310143
19970925,3.94310143,4.00060499,3.94310143,4.00060499,10060,40246,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.00060499,4.00060499
19970926,3.99239019,4.10739732,3.98417540,4.09918252,16364,67079,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.09918252,4.09918252
19970929,4.10739732,4.15668609,4.10739732,4.15668609,17081,71000,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.15668609,4.15668609
19970930,4.19776006,4.38670034,4.18954527,4.25526362,46393,197414,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.25526362,4.25526362
19971001,4.26347842,4.26347842,4.07453814,4.07453814,35259,143664,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.07453814,4.07453814
19971002,4.09096773,4.09918252,4.00881978,4.05810855,18706,75911,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.05810855,4.05810855
19971003,4.09918252,4.14025650,4.07453814,4.11561211,20654,85004,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.11561211,4.11561211
