Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130807,7.38547013,8.04649011,7.12432643,7.34466643,54441,399851,N/A,N/A,0,0,"NYSE","","","Common Stock",7.34466643,7.34466643
20130808,7.45891679,7.50788123,7.14064791,7.23857680,4098,29664,N/A,N/A,0,0,"NYSE","","","Common Stock",7.23857680,7.23857680
20130809,7.41811309,7.42627383,7.18145162,7.32018420,3178,23264,N/A,N/A,0,0,"NYSE","","","Common Stock",7.32018420,7.32018420
20130812,7.29570198,7.50788123,7.26305902,7.42627383,1944,14437,N/A,N/A,0,0,"NYSE","","","Common Stock",7.42627383,7.42627383
20130813,7.42627383,7.56500642,7.34466643,7.42627383,2771,20578,N/A,N/A,0,0,"NYSE","","","Common Stock",7.42627383,7.42627383
20130814,7.42627383,7.45891679,6.95295088,7.34466643,3794,27866,N/A,N/A,0,0,"NYSE","","","Common Stock",7.34466643,7.34466643
20130815,7.27938050,7.38547013,7.26305902,7.26305902,338,2455,N/A,N/A,0,0,"NYSE","","","Common Stock",7.26305902,7.26305902
20130816,7.26305902,7.38547013,7.26305902,7.30386272,1656,12095,N/A,N/A,0,0,"NYSE","","","Common Stock",7.30386272,7.30386272
20130819,7.27121976,7.32834494,7.26305902,7.28754124,240,1749,N/A,N/A,0,0,"NYSE","","","Common Stock",7.28754124,7.28754124
20130820,7.27938050,7.27938050,7.14880865,7.18145162,828,5946,N/A,N/A,0,0,"NYSE","","","Common Stock",7.18145162,7.18145162
20130821,7.20593384,7.26305902,7.18145162,7.18145162,902,6478,N/A,N/A,0,0,"NYSE","","","Common Stock",7.18145162,7.18145162
20130822,7.22225532,7.27938050,7.09984421,7.09984421,1781,12645,N/A,N/A,0,0,"NYSE","","","Common Stock",7.09984421,7.09984421
20130823,7.11616569,7.11616569,7.01823681,7.01823681,795,5579,N/A,N/A,0,0,"NYSE","","","Common Stock",7.01823681,7.01823681
20130826,7.07536199,7.15696939,6.96927236,6.97743310,682,4759,N/A,N/A,0,0,"NYSE","","","Common Stock",6.97743310,6.97743310
