Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140411,25.65000000,26.14000000,23.73000000,24.72000000,1998,49391,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",24.72000000,24.72000000
20140414,26.19000000,27.74000000,25.10000000,25.10000000,7879,197763,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",25.10000000,25.10000000
20140415,25.50000000,26.33000000,24.64000000,25.20000000,3327,83840,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",25.20000000,25.20000000
20140416,25.13000000,29.95000000,25.10000000,28.21000000,7345,207202,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.21000000,28.21000000
20140417,28.86000000,31.43000000,27.61000000,27.89000000,7081,197489,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.89000000,27.89000000
20140418,28.86000000,31.43000000,27.61000000,27.89000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.89000000,27.89000000
20140421,28.50000000,28.72000000,26.67000000,26.95000000,3404,91738,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.95000000,26.95000000
20140422,26.63000000,26.88000000,25.68000000,26.30000000,3658,96205,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.30000000,26.30000000
20140423,26.69000000,27.14000000,26.26000000,27.00000000,3061,82647,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.00000000,27.00000000
20140424,27.00000000,27.25900000,25.86000000,26.80000000,1637,43872,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.80000000,26.80000000
20140425,26.65000000,27.83000000,26.34000000,27.83000000,2984,83045,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.83000000,27.83000000
20140428,27.57000000,28.00000000,26.70000000,27.58000000,1773,48899,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.58000000,27.58000000
20140429,27.74000000,28.10000000,27.00000000,27.74000000,1622,44994,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.74000000,27.74000000
20140430,27.65000000,27.68500000,26.20000000,26.69000000,2811,75026,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.69000000,26.69000000
20140501,26.50000000,26.97000000,26.45100000,26.77000000,1672,44759,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.77000000,26.77000000
20140502,26.62000000,27.92000000,26.61000000,27.65000000,1288,35613,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.65000000,27.65000000
20140505,28.05000000,29.00000000,27.38000000,28.99000000,2606,75548,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.99000000,28.99000000
20140506,28.91000000,29.72600000,27.25000000,27.67000000,3165,87576,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.67000000,27.67000000
20140507,27.77000000,28.00000000,27.00000000,27.26000000,1400,38164,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.26000000,27.26000000
20140508,27.01000000,28.31000000,26.35000000,26.38000000,1307,34479,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.38000000,26.38000000
20140509,26.59000000,26.99000000,25.98000000,25.99000000,1300,33787,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",25.99000000,25.99000000
20140512,26.00000000,26.25000000,25.79000000,25.99000000,2318,60245,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",25.99000000,25.99000000
20140513,26.60000000,27.81000000,26.45000000,26.69000000,1563,41716,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",26.69000000,26.69000000
20140514,27.00000000,28.47500000,26.99000000,27.57000000,1648,45435,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.57000000,27.57000000
20140515,27.69000000,27.95000000,27.20000000,27.44000000,745,20443,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",27.44000000,27.44000000
20140516,27.40000000,28.87000000,27.40000000,28.46000000,1607,45735,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.46000000,28.46000000
20140519,28.52000000,29.11000000,28.01000000,28.55000000,1144,32661,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.55000000,28.55000000
20140520,28.87000000,29.06000000,28.15000000,28.49000000,1123,31994,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.49000000,28.49000000
20140521,28.68000000,29.74000000,28.43400000,29.11000000,1968,57288,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.11000000,29.11000000
20140522,29.31000000,29.31000000,28.57000000,28.57000000,716,20456,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.57000000,28.57000000
20140523,28.87000000,29.09000000,28.65000000,28.83000000,524,15107,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.83000000,28.83000000
20140526,28.87000000,29.09000000,28.65000000,28.83000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.83000000,28.83000000
20140527,29.19000000,30.21000000,28.81000000,29.00000000,1317,38193,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.00000000,29.00000000
20140528,28.97000000,29.51000000,28.32000000,28.85000000,1222,35255,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.85000000,28.85000000
20140529,29.00000000,30.15000000,28.71000000,29.09000000,2424,70514,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.09000000,29.09000000
20140530,29.07000000,29.52000000,28.80900000,29.30000000,745,21829,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.30000000,29.30000000
20140602,29.87000000,29.89000000,28.99000000,29.13000000,1502,43753,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.13000000,29.13000000
20140603,29.01000000,29.01000000,27.44000000,28.31000000,1527,43229,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.31000000,28.31000000
20140604,28.05000000,29.04000000,28.05000000,28.52000000,1486,42381,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.52000000,28.52000000
20140605,28.92000000,28.99000000,28.40000000,28.80000000,2830,81504,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",28.80000000,28.80000000
20140606,28.83000000,29.84500000,28.10100000,29.09000000,5114,148766,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.09000000,29.09000000
20140609,29.20000000,29.90000000,28.95000000,29.57000000,2500,73925,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",29.57000000,29.57000000
20140610,29.54000000,31.98000000,29.37200000,31.61000000,3855,121857,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",31.61000000,31.61000000
20140611,31.73000000,31.73000000,30.58000000,31.10000000,2438,75822,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",31.10000000,31.10000000
20140612,31.13000000,32.41000000,31.03000000,32.12000000,4443,142709,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",32.12000000,32.12000000
20140613,32.00000000,34.24000000,31.97000000,33.65000000,3971,133624,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",33.65000000,33.65000000
20140616,33.62000000,34.13000000,29.98000000,31.79000000,6566,208733,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",31.79000000,31.79000000
20140617,31.76000000,32.00000000,29.62000000,31.25000000,6170,192813,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",31.25000000,31.25000000
20140618,31.33000000,31.48500000,30.34000000,31.08000000,3745,116395,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",31.08000000,31.08000000
20140619,31.08000000,31.12000000,29.60000000,30.38000000,3546,107727,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",30.38000000,30.38000000
20140620,30.26000000,30.96000000,29.95000000,30.34000000,3657,110953,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",30.34000000,30.34000000
20140623,30.00000000,32.97000000,30.00000000,32.31000000,4791,154797,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",32.31000000,32.31000000
20140624,32.12000000,33.98000000,32.01000000,32.48000000,4227,137293,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",32.48000000,32.48000000
20140625,32.29000000,35.00000000,32.12000000,34.62000000,3039,105210,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",34.62000000,34.62000000
20140626,34.50000000,35.59000000,33.69000000,34.50000000,2998,103431,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",34.50000000,34.50000000
20140627,34.48000000,35.11000000,33.40000000,33.95000000,8942,303581,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",33.95000000,33.95000000
20140630,34.21000000,34.72000000,33.80000000,34.38000000,1956,67247,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",34.38000000,34.38000000
20140701,34.59000000,35.50000000,33.50000000,33.79000000,3444,116373,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",33.79000000,33.79000000
