Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180412,20.00000000,21.85000000,19.12000000,20.00000000,131024,2620480,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.00000000,20.00000000
20180413,19.80000000,20.82000000,19.60000000,20.60000000,18647,384128,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.60000000,20.60000000
20180416,20.88000000,20.88000000,19.90000000,20.60000000,9079,187027,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.60000000,20.60000000
20180417,20.55000000,20.66000000,19.00000000,19.55000000,11525,225314,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.55000000,19.55000000
20180418,19.61000000,20.42000000,19.07400000,19.56000000,8858,173262,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.56000000,19.56000000
20180419,19.57000000,19.72000000,19.21100000,19.65000000,4634,91058,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.65000000,19.65000000
20180420,19.55000000,19.73000000,19.45000000,19.72000000,3001,59180,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.72000000,19.72000000
20180423,19.83000000,20.10000000,19.61800000,20.00000000,3417,68340,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.00000000,20.00000000
20180424,20.12000000,20.12000000,19.41000000,19.70000000,3085,60774,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.70000000,19.70000000
20180425,19.72000000,19.73000000,19.40000000,19.61000000,2728,53496,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.61000000,19.61000000
20180426,19.68000000,20.28000000,19.60200000,20.28000000,2188,44373,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.28000000,20.28000000
20180427,19.87000000,20.22000000,19.55000000,19.61000000,5739,112542,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.61000000,19.61000000
20180430,19.55000000,19.88000000,19.20000000,19.26000000,2118,40793,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.26000000,19.26000000
20180501,19.37000000,19.89100000,19.28000000,19.67000000,1497,29446,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.67000000,19.67000000
20180502,19.92000000,20.19000000,19.50000000,19.59000000,2200,43098,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.59000000,19.59000000
20180503,19.59000000,20.02000000,19.20000000,19.66000000,2830,55638,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.66000000,19.66000000
20180504,19.87000000,19.98000000,19.37900000,19.55000000,1456,28465,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.55000000,19.55000000
20180507,19.39000000,19.47000000,18.75000000,19.25000000,4171,80292,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.25000000,19.25000000
20180508,19.28000000,19.66000000,19.11000000,19.51000000,1679,32757,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.51000000,19.51000000
20180509,19.48000000,19.90000000,19.33000000,19.79000000,1234,24421,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.79000000,19.79000000
20180510,19.80000000,20.18000000,19.42000000,20.04000000,1695,33968,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.04000000,20.04000000
20180511,20.08000000,20.35000000,19.51000000,20.16000000,2644,53303,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.16000000,20.16000000
20180514,20.30000000,20.35000000,19.75000000,19.89000000,1600,31824,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.89000000,19.89000000
20180515,19.81000000,19.84500000,19.17000000,19.22000000,1930,37095,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.22000000,19.22000000
20180516,19.23000000,19.71000000,19.20000000,19.36000000,1080,20909,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.36000000,19.36000000
20180517,19.30000000,19.75000000,19.30000000,19.69000000,685,13488,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.69000000,19.69000000
20180518,19.66000000,20.02000000,19.65000000,19.67000000,991,19493,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.67000000,19.67000000
20180521,19.64000000,19.73900000,19.32900000,19.63000000,1538,30191,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.63000000,19.63000000
20180522,19.66000000,19.77000000,19.66000000,19.73000000,1312,25886,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.73000000,19.73000000
20180523,19.60000000,20.29900000,19.58000000,20.01000000,3017,60370,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.01000000,20.01000000
20180524,20.00000000,21.24000000,19.65000000,21.01000000,3090,64921,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",21.01000000,21.01000000
20180525,20.97000000,22.18900000,20.97000000,21.40000000,4100,87740,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",21.40000000,21.40000000
20180528,20.97000000,22.18900000,20.97000000,21.40000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",21.40000000,21.40000000
20180529,21.40000000,21.51000000,20.00000000,20.67000000,3296,68128,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.67000000,20.67000000
20180530,20.90000000,22.01000000,20.67000000,21.94000000,3163,69396,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",21.94000000,21.94000000
20180531,21.84000000,22.96000000,21.67000000,22.18000000,4298,95330,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.18000000,22.18000000
20180601,23.12000000,27.50000000,22.22000000,26.40000000,21369,564142,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.40000000,26.40000000
20180604,29.16000000,29.88000000,27.30000000,28.02000000,19692,551770,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.02000000,28.02000000
20180605,28.71000000,29.93000000,28.17000000,28.54000000,11878,338998,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.54000000,28.54000000
20180606,28.90000000,31.00000000,28.68000000,30.20000000,10761,324982,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",30.20000000,30.20000000
20180607,30.74000000,30.77700000,27.15000000,27.80000000,10505,292039,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.80000000,27.80000000
20180608,28.04000000,29.57000000,28.01000000,29.23000000,5353,156468,N/A,N/A,515621,17640,"NYSE","Technology","Technology/Software","Common Stock",29.23000000,29.23000000
20180611,29.47000000,32.55000000,29.28000000,31.53000000,11684,368397,N/A,N/A,556193,17640,"NYSE","Technology","Technology/Software","Common Stock",31.53000000,31.53000000
20180612,32.29000000,33.08000000,28.97000000,29.00000000,13691,397039,N/A,N/A,511563,17640,"NYSE","Technology","Technology/Software","Common Stock",29.00000000,29.00000000
20180613,29.75000000,30.15000000,29.10000000,29.74000000,10006,297578,N/A,N/A,524617,17640,"NYSE","Technology","Technology/Software","Common Stock",29.74000000,29.74000000
20180614,30.75000000,32.97000000,30.58000000,31.34000000,15254,478060,N/A,N/A,552841,17640,"NYSE","Technology","Technology/Software","Common Stock",31.34000000,31.34000000
20180615,31.55000000,36.00000000,31.25000000,34.63000000,41419,1434340,N/A,N/A,610877,17640,"NYSE","Technology","Technology/Software","Common Stock",34.63000000,34.63000000
20180618,35.06000000,37.78000000,34.11000000,37.09000000,33294,1234874,N/A,N/A,654272,17640,"NYSE","Technology","Technology/Software","Common Stock",37.09000000,37.09000000
20180619,36.06000000,37.69000000,32.66000000,33.51000000,27367,917068,N/A,N/A,591120,17640,"NYSE","Technology","Technology/Software","Common Stock",33.51000000,33.51000000
20180620,35.84000000,35.87000000,32.00000000,32.01000000,17209,550860,N/A,N/A,564660,17640,"NYSE","Technology","Technology/Software","Common Stock",32.01000000,32.01000000
20180621,31.96000000,32.05000000,28.88000000,29.19000000,27594,805469,N/A,N/A,514915,17640,"NYSE","Technology","Technology/Software","Common Stock",29.19000000,29.19000000
20180622,29.64000000,29.91000000,26.60000000,27.64000000,25707,710541,N/A,N/A,487573,17640,"NYSE","Technology","Technology/Software","Common Stock",27.64000000,27.64000000
20180625,26.67000000,29.00000000,26.28000000,28.68000000,18739,537435,N/A,N/A,505919,17640,"NYSE","Technology","Technology/Software","Common Stock",28.68000000,28.68000000
20180626,29.00000000,30.10000000,27.09000000,27.47000000,15538,426829,N/A,N/A,484574,17640,"NYSE","Technology","Technology/Software","Common Stock",27.47000000,27.47000000
20180627,27.60000000,28.49000000,26.46000000,26.96000000,16514,445217,N/A,N/A,475578,17640,"NYSE","Technology","Technology/Software","Common Stock",26.96000000,26.96000000
20180628,26.76000000,28.48000000,26.66000000,28.33000000,10998,311573,N/A,N/A,499745,17640,"NYSE","Technology","Technology/Software","Common Stock",28.33000000,28.33000000
20180629,28.69000000,30.68000000,27.19000000,27.20000000,18422,501078,N/A,N/A,479811,17640,"NYSE","Technology","Technology/Software","Common Stock",27.20000000,27.20000000
20180702,27.54000000,28.68000000,27.18000000,28.49000000,15527,442364,N/A,N/A,502567,17640,"NYSE","Technology","Technology/Software","Common Stock",28.49000000,28.49000000
20180703,28.40000000,28.82500000,27.65000000,28.32000000,6497,183995,N/A,N/A,499568,17640,"NYSE","Technology","Technology/Software","Common Stock",28.32000000,28.32000000
20180704,28.40000000,28.82500000,27.65000000,28.32000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.32000000,28.32000000
20180705,28.37000000,28.99000000,26.68000000,26.74000000,15168,405592,N/A,N/A,471697,17640,"NYSE","Technology","Technology/Software","Common Stock",26.74000000,26.74000000
20180706,27.08000000,27.69000000,25.82000000,26.31000000,12191,320745,N/A,N/A,464112,17640,"NYSE","Technology","Technology/Software","Common Stock",26.31000000,26.31000000
20180709,26.71000000,27.00000000,25.61000000,26.07000000,13314,347096,N/A,N/A,459878,17640,"NYSE","Technology","Technology/Software","Common Stock",26.07000000,26.07000000
20180710,26.41000000,26.50000000,24.55000000,24.78000000,22439,556038,N/A,N/A,437122,17640,"NYSE","Technology","Technology/Software","Common Stock",24.78000000,24.78000000
20180711,24.30000000,25.05000000,24.12000000,24.26000000,16281,394977,N/A,N/A,427949,17640,"NYSE","Technology","Technology/Software","Common Stock",24.26000000,24.26000000
20180712,24.51000000,26.70000000,24.15000000,25.89000000,19344,500816,N/A,N/A,456703,17640,"NYSE","Technology","Technology/Software","Common Stock",25.89000000,25.89000000
20180713,25.79000000,25.94000000,23.87000000,25.69000000,14870,382010,N/A,N/A,453175,17640,"NYSE","Technology","Technology/Software","Common Stock",25.69000000,25.69000000
20180716,25.23000000,25.48000000,24.25000000,24.41000000,10512,256598,N/A,N/A,430595,17640,"NYSE","Technology","Technology/Software","Common Stock",24.41000000,24.41000000
20180717,24.30000000,26.87000000,24.29000000,26.58000000,17406,462651,N/A,N/A,468874,17640,"NYSE","Technology","Technology/Software","Common Stock",26.58000000,26.58000000
20180718,26.85000000,27.99000000,26.12000000,27.18000000,16584,450753,N/A,N/A,479458,17640,"NYSE","Technology","Technology/Software","Common Stock",27.18000000,27.18000000
20180719,27.09000000,27.66000000,25.50000000,25.81000000,14000,361340,N/A,N/A,455291,17640,"NYSE","Technology","Technology/Software","Common Stock",25.81000000,25.81000000
20180720,26.00000000,26.47000000,25.22000000,25.27000000,9299,234986,N/A,N/A,445766,17640,"NYSE","Technology","Technology/Software","Common Stock",25.27000000,25.27000000
20180723,25.22000000,26.64000000,24.62000000,26.54000000,9057,240373,N/A,N/A,468169,17640,"NYSE","Technology","Technology/Software","Common Stock",26.54000000,26.54000000
20180724,26.80000000,27.44100000,25.01000000,25.25000000,10865,274341,N/A,N/A,445413,17640,"NYSE","Technology","Technology/Software","Common Stock",25.25000000,25.25000000
20180725,25.45000000,26.45000000,25.41000000,26.31000000,7524,197956,N/A,N/A,464112,17640,"NYSE","Technology","Technology/Software","Common Stock",26.31000000,26.31000000
